Index,Number,Name,Inning,Description,Balls,Strikes,Hits,Out # TOP,Out # BOTTOM,Pitcher Top,Pitcher Bottom
63,7,Demetrius Sims,TOP,7 Demetrius Sims advances to 1st (single),0,0,1,,,Jose Cruz,
64,9,Marcus Chiu,TOP,"Called Strike, Called Strike, 9 Marcus Chiu advances to 1st (single), 7 Demetrius Sims advances to 3rd (9)",0,2,1,,,Jose Cruz,
65,25,Curtis Terry,TOP,"Ball, Swinging Strike, Swinging Strike, Ball, 25 Curtis Terry advances to 1st (hit by pitch), 9 Marcus Chiu advances to 2nd (25)",2,2,,,,Jose Cruz,
66,17,Thomas Jones,TOP,"Swinging Strike, 17 Thomas Jones advances to 1st (hit by pitch), 25 Curtis Terry advances to 2nd (17), 9 Marcus Chiu advances to 3rd (17), 7 DemetriusSims Scores Earned (17)",0,1,,,,Jose Cruz,
67,12,Dustin Woodcock,TOP,"Ball, Swinging Strike, Swinging Strike, Ball, Ball, Foul, 12 Dustin Woodcock advances to 1st (walk),17 Thomas Jones advances to 2nd (12), 25 Curtis Terry advances to 3rd (12), 9 Marcus Chiu Scores Earned (12)",3,2,,,,Chris LaLonde,
68,15,Kevin Maitan,TOP,"Ball, Swinging Strike, Foul, Ball, Ball, 15 KevinMaitan putout (fly out to center field) for out number 3",3,2,,1,,Chris LaLonde,
69,21,Darnell Sweeney,BOTTOM,"Ball, Foul, Called Strike, 21 Darnell Sweeney advances to 1st (single)",1,2,1,,,,B Kais
70,5,Trevor Achenbach,BOTTOM,"Swinging Strike, Called Strike, 5 Trevor Achenbachadvances to 2nd (double), 21 Darnell Sweeney Scores Earned (5)",0,2,1,,,,B Kais
71,16,Hunter Clanin,BOTTOM,16 Hunter Clanin putout (P4) for out number 1,0,0,,,1,,B Kais
72,15,Welington Dotel,BOTTOM,"Ball, Ball, Ball, Called Strike, 15 Welington Dotel advances to 1st (walk)",3,1,,,,,B Kais
73,29,Spencer Sarringar,BOTTOM,"Foul, Ball, Swinging Strike, 29 Spencer Sarringarputout (fly out to right field) for out number 2",1,2,,,1,,B Kais
74,0,Osvaldo Martinez,BOTTOM,"Called Strike, 0 Osvaldo Martinez putout (L5) forout number 3",0,1,,,1,,B Kais
