Index,Number,Name,Inning,Description,Balls,Strikes,Hits,Out # TOP,Out # BOTTOM
1,9,Odubel Herrera,TOP,"Ball, Ball, Called Strike, Ball, 9 Odubel Herreraadvances to 1st (hit by pitch)",3,1,,,
2,6,Peter Maris,TOP,"Swinging Strike, 9 Odubel Herrera advances to 2nd(stolen base), Ball, Ball, Foul, 6 Peter Maris putout (strike out swinging) for out number 1",2,2,,1,
3,7,Chris Herrmann,TOP,"Ball, Ball, Foul, Swinging Strike, 7 Chris Herrmann putout (strike out swinging) for out number 2",2,2,,1,
4,7,Chris Herrmann,TOP,16 Brian OGrady advances to 1st (CO),0,0,,,
5,14,Micker Adolfo,TOP,14 Micker Adolfo putout (L6) for out number 3,0,0,,1,
6,1,Wyatt Ulrich,BOTTOM,"Ball, Ball, Swinging Strike, Ball, Swinging Strike, Foul, 1 Wyatt Ulrich putout (4-3) for out number1",3,2,,,1
7,21,Darnell Sweeney,BOTTOM,"Called Strike, 21 Darnell Sweeney putout (strike out swinging) for out number 2",0,1,,,1
8,3,Jordan Barth,BOTTOM,3 Jordan Barth putout (6-3) for out number 3,0,0,,,1
9,12,Aaron Whitefield,TOP,"Called Strike, 12 Aaron Whitefield advances to 1st(single)",0,1,1,,
10,47,Jacob Robson,TOP,"Called Strike, Foul, 12 Aaron Whitefield advancesto 2nd (pass ball), Ball, 47 Jacob Robson putout (strike out swinging) for out number 1",1,2,,1,
11,1,Justin Wylie,TOP,"Ball, Ball, Swinging Strike, Foul, 1 Justin Wylieputout (fly out to right field) for out number 2",2,2,,1,
12,4,L.J. Hatch,TOP,"Called Strike, Ball, Called Strike, Ball, Ball, 4L.J. Hatch advances to 1st (walk)",3,2,,,
13,9,Odubel Herrera,TOP,"Foul, Ball, Swinging Strike, Foul, Ball, 9 OdubelHerrera putout (strike out swinging) for out number 3",2,2,,1,
14,11,Jabari Henry,BOTTOM,"Called Strike, 11 Jabari Henry putout (P4) for outnumber 1",0,1,,,1
15,5,Trevor Achenbach,BOTTOM,"Called Strike, Ball, Swinging Strike, Ball, 5 Trevor Achenbach putout (strike out swinging) for outnumber 2",2,2,,,1
16,15,Welington Dotel,BOTTOM,"Ball, Ball, Foul, Foul, 15 Welington Dotel advances to 1st (single)",2,2,1,,
17,16,Hunter Clanin,BOTTOM,"Ball, 15 Welington Dotel advances to 2nd (stolen base), Ball, Ball, 16 Hunter Clanin advances to 1st(walk), 15 Welington Dotel advances to 3rd (stolen base)",3,0,,,
18,35,Shamoy Christopher,BOTTOM,"Foul, Ball, 16 Hunter Clanin advances to 2nd (stolen base), 15 Welington Dotel Scores Earned (35), 16 Hunter Clanin Scores Earned (35), 35 Shamoy Christopher Scores Earned (home run)",1,1,1,,
19,2,Carson Clowers,BOTTOM,"Swinging Strike, Called Strike, 2 Carson Clowers putout (strike out swinging) for out number 3",0,2,,,1
20,6,Peter Maris,TOP,"Called Strike, 6 Peter Maris advances to 2nd (double)",0,1,1,,
21,7,Chris Herrmann,TOP,"Ball, 7 Chris Herrmann putout (fly out to right field) for out number 1",1,0,,1,
22,16,Brian OGrady,TOP,"Called Strike, Ball, Foul, Ball, Ball, 16 Brian OGrady advances to 1st (walk)",3,2,,,
23,14,Micker Adolfo,TOP,"Called Strike, 14 Micker Adolfo advances to 1st (fielder's choice), 16 Brian OGrady advances to 2nd(14), 6 Peter Maris putout (6-5) for out number 2",0,1,,1,
24,12,Aaron Whitefield,TOP,"Called Strike, 12 Aaron Whitefield advances to 1st(fielder's choice), 14 Micker Adolfo putout (6-4)for out number 3",0,1,,1,
25,1,Wyatt Ulrich,BOTTOM,"Ball, 1 Wyatt Ulrich putout (6-3) for out number 1",1,0,,,1
26,21,Darnell Sweeney,BOTTOM,"Foul, Called Strike, Foul, 21 Darnell Sweeney putout (strike out swinging) for out number 2",0,2,,,1
27,3,Jordan Barth,BOTTOM,"Ball, 3 Jordan Barth putout (4-3) for out number 3",1,0,,,1
28,47,Jacob Robson,TOP,"Swinging Strike, Called Strike, Ball, Ball, 47 Jacob Robson putout (strike out swinging) for out number 1",2,2,,1,
29,1,Justin Wylie,TOP,"Called Strike, Called Strike, Ball, 1 Justin Wylieputout (strike out swinging) for out number 2",1,2,,1,
30,4,L.J. Hatch,TOP,4 L.J. Hatch advances to 1st (single),0,0,1,,
31,9,Odubel Herrera,TOP,"Ball, Foul, Ball, Ball, 9 Odubel Herrera advancesto 1st (fielder's choice), 4 L.J. Hatch putout (4U) for out number 3",3,1,,1,
32,11,Jabari Henry,BOTTOM,"Ball, Swinging Strike, Foul, Foul, 11 Jabari Henryadvances to 2nd (double)",1,2,1,,
33,5,Trevor Achenbach,BOTTOM,"5 Trevor Achenbach advances to 1st (single), 5 Trevor Achenbach advances to 2nd (error by the centerfielder), 11 Jabari Henry advances to 3rd (5)",0,0,1,,
34,15,Welington Dotel,BOTTOM,"Foul, Ball, 15 Welington Dotel putout (fly out toleft field) for out number 1",1,1,,,1
35,16,Hunter Clanin,BOTTOM,16 Hunter Clanin advances to 1st (intentional walk),0,0,,,
36,35,Shamoy Christopher,BOTTOM,"Ball, Ball, Swinging Strike, 35 Shamoy Christopheradvances to 1st (single), 16 Hunter Clanin advances to 3rd (35), 11 Jabari Henry Scores Earned (35), 5 Trevor Achenbach Scores Earned (35)",2,1,1,,
37,2,Carson Clowers,BOTTOM,"Swinging Strike, Swinging Strike, 2 Carson Clowersputout (strike out swinging) for out number 2",0,2,,,1
38,1,Wyatt Ulrich,BOTTOM,"Swinging Strike, 1 Wyatt Ulrich putout (fly out toleft field) for out number 3",0,1,,,1
39,6,Peter Maris,TOP,"Called Strike, Called Strike, 6 Peter Maris putout(strike out swinging) for out number 1",0,2,,1,
40,7,Chris Herrmann,TOP,"Foul, Foul, Ball, 7 Chris Herrmann advances to 1st(single)",1,2,1,,
41,16,Brian OGrady,TOP,"Called Strike, Foul, Foul, 7 Chris Herrmann putout(6-5) for out number 2, 16 Brian OGrady putout (6-5-3 DP) for out number 3",0,2,,1,
42,21,Darnell Sweeney,BOTTOM,"Ball, 21 Darnell Sweeney putout (fly out to centerfield) for out number 1",1,0,,,1
43,3,Jordan Barth,BOTTOM,"Ball, 3 Jordan Barth putout (P2) for out number 2",1,0,,,1
44,11,Jabari Henry,BOTTOM,"Called Strike, 11 Jabari Henry putout (fly out toleft field) for out number 3",0,1,,,1
45,14,Micker Adolfo,TOP,"Ball, Foul, Ball, Ball, 14 Micker Adolfo advancesto 1st (walk)",3,1,,,
