Index,Number,Name,Inning,Description,Balls,Strikes,Hits,Out # TOP,Out # BOTTOM
1,9,Odubel Herrera,TOP,"Ball, Foul, 9 Odubel Herrera putout (fly out to the first baseman) for out number 1",1,1,,1,
2,1,Justin Wylie,TOP,"Ball, Ball, Ball, 1 Justin Wylie advances to 1st (walk)",3,0,,,
3,7,Chris Herrmann,TOP,"Ball, Called Strike, 1 Justin Wylie Scores Earned(7), 7 Chris Herrmann Scores Earned (home run)",1,1,1,,
4,17,Gavin Collins,TOP,"Ball, Foul, Ball, Foul, 17 Gavin Collins advancesto 1st (single)",2,2,1,,
5,16,Brian OGrady,TOP,"Ball, Called Strike, Foul, 16 Brian OGrady putout(fly out to center field) for out number 2",1,2,,1,
6,14,Micker Adolfo,TOP,"Ball, Swinging Strike, Foul, Foul, 14 Micker Adolfo putout (strike out swinging) for out number 3",1,2,,1,
7,1,Wyatt Ulrich,BOTTOM,"Called Strike, 1 Wyatt Ulrich putout (1-3) for outnumber 1",0,1,,,1
8,21,Darnell Sweeney,BOTTOM,"Ball, Foul, Foul, 21 Darnell Sweeney putout (4) for out number 2",1,2,,,1
9,3,Jordan Barth,BOTTOM,"Ball, Swinging Strike, Foul, Ball, 3 Jordan Barthputout (6-3) for out number 3",2,2,,,1
10,12,Aaron Whitefield,TOP,"Ball, 12 Aaron Whitefield advances to 1st (single)",1,0,1,,
11,47,Jacob Robson,TOP,"Ball, Ball, 12 Aaron Whitefield putout (caught stealing: CS 2-6) for out number 1, Ball, 47 Jacob Robson advances to 1st (walk)",3,0,,1,
12,4,L.J. Hatch,TOP,"Ball, Ball, 47 Jacob Robson advances to 2nd (wildpitch), Foul, 47 Jacob Robson advances to 3rd (stolen base), Swinging Strike, Foul, 47 Jacob RobsonScores Earned (4), 4 L.J. Hatch putout (sacrificefly to left fielder) for out number 2",2,2,,1,
13,9,Odubel Herrera,TOP,"Called Strike, Ball, Ball, Ball, Foul, 9 Odubel Herrera putout (strike out) for out number 3",3,2,,1,
14,11,Jabari Henry,BOTTOM,"Called Strike, Foul, 11 Jabari Henry putout (strike out swinging) for out number 1",0,2,,,1
15,5,Trevor Achenbach,BOTTOM,"Foul, Ball, 5 Trevor Achenbach putout (fly out tothe catcher) for out number 2",1,1,,,1
16,15,Welington Dotel,BOTTOM,15 Welington Dotel putout (1-3) for out number 3,0,0,,,1
17,1,Justin Wylie,TOP,1 Justin Wylie putout (6-3) for out number 1,0,0,,1,
18,7,Chris Herrmann,TOP,"Ball, Called Strike, Foul, Foul, 7 Chris HerrmannScores Earned (home run)",1,2,1,,
19,17,Gavin Collins,TOP,"Ball, Foul, Swinging Strike, Foul, Ball, 17 GavinCollins putout (fly out to left field) for out number 2",2,2,,1,
20,16,Brian OGrady,TOP,"Ball, 16 Brian OGrady putout (5) for out number 3",1,0,,1,
21,16,Hunter Clanin,BOTTOM,"Called Strike, Swinging Strike, 16 Hunter Clanin putout (strike out swinging) for out number 1",0,2,,,1
22,29,Spencer Sarringar,BOTTOM,"Foul, 29 Spencer Sarringar putout (5-3) for out number 2",0,1,,,1
23,0,Osvaldo Martinez,BOTTOM,"Ball, Called Strike, Ball, 0 Osvaldo Martinez putout (4-3) for out number 3",2,1,,,1
24,14,Micker Adolfo,TOP,14 Micker Adolfo advances to 1st (single),0,0,1,,
25,12,Aaron Whitefield,TOP,"Ball, Called Strike, 12 Aaron Whitefield advancesto 1st (single), 14 Micker Adolfo advances to 2nd(12)",1,1,1,,
