Index,Number,Name,Inning,Description,Balls,Strikes,Hits,Out # TOP,Out # BOTTOM
1,16,Zane Zurbrugg,TOP,"Called Strike, Ball, Ball, Called Strike, Ball, 16Zane Zurbrugg advances to 1st (walk)",3,2,,,
2,3,Drew Devine,TOP,"Called Strike, Called Strike, 16 Zane Zurbrugg putout (6-4) for out number 1, 3 Drew Devine putout (6-4-3 DP) for out number 2",0,2,,1,
3,7,Nick Anderson,TOP,"Ball, Ball, Ball, Called Strike, Called Strike, 7Nick Anderson advances to 1st (walk)",3,2,,,
4,44,Yanio Perez,TOP,"Ball, Foul, Swinging Strike, Foul, 44 Yanio Perezputout (4-3) for out number 3",1,2,,1,
5,21,Darnell Sweeney,BOTTOM,"Ball, 21 Darnell Sweeney putout (fly out to centerfield) for out number 1",1,0,,,1
6,15,Welington Dotel,BOTTOM,"Called Strike, Ball, Ball, Called Strike, 15 Welington Dotel putout (strike out swinging) for out number 2",2,2,,,1
7,3,Jordan Barth,BOTTOM,3 Jordan Barth advances to 1st (single),0,0,1,,
8,20,Mike Hart,BOTTOM,"Foul, Ball, Ball, Foul, Foul, 20 Mike Hart advances to 1st (hit by pitch), 3 Jordan Barth advances to 2nd (20)",2,2,,,
9,11,Jabari Henry,BOTTOM,"Called Strike, Foul, 11 Jabari Henry putout (fly out to center field) for out number 3",0,2,,,1
10,4,Will Kengor,TOP,"Ball, Ball, Called Strike, 4 Will Kengor putout (4-3) for out number 1",2,1,,1,
11,25,Luke Roskam,TOP,"Called Strike, Ball, Called Strike, Ball, 25 LukeRoskam putout (fly out to center field) for out number 2",2,2,,1,
12,5,Nate Samson,TOP,5 Nate Samson putout (4) for out number 3,0,0,,1,
13,1,Wyatt Ulrich,BOTTOM,"Called Strike, Foul, Foul, Ball, 1 Wyatt Ulrich putout (4-3) for out number 1",1,2,,,1
14,16,Hunter Clanin,BOTTOM,"Ball, Foul, Called Strike, Ball, Ball, 16 Hunter Clanin putout (strike out) for out number 2",3,2,,,1
15,35,Shamoy Christopher,BOTTOM,"Called Strike, Ball, Foul, 35 Shamoy Christopher putout (strike out) for out number 3",1,2,,,1
16,11,Connor Panas,TOP,"Called Strike, Called Strike, Ball, Ball, 11 Connor Panas putout (fly out to left field) for out number 1",2,2,,1,
17,10,Aaron Takacs,TOP,"Called Strike, Called Strike, Ball, Foul, Foul, 10Aaron Takacs putout (fly out to center field) forout number 2",1,2,,1,
18,16,Zane Zurbrugg,TOP,"Ball, Called Strike, Ball, Ball, 16 Zane Zurbruggadvances to 1st (walk)",3,1,,,
19,3,Drew Devine,TOP,"Ball, Called Strike, Ball, Ball, Foul, Foul, Foul,Foul, 3 Drew Devine putout (strike out swinging)for out number 3",3,2,,1,
20,5,Trevor Achenbach,BOTTOM,"Called Strike, Foul, 5 Trevor Achenbach putout (strike out swinging) for out number 1",0,2,,,1
21,21,Darnell Sweeney,BOTTOM,"Called Strike, 21 Darnell Sweeney putout (4) for out number 2",0,1,,,1
22,15,Welington Dotel,BOTTOM,"Swinging Strike, Ball, Swinging Strike, Foul, Foul, Foul, Foul, 15 Welington Dotel putout (fly out to right field) for out number 3",1,2,,,1
23,7,Nick Anderson,TOP,7 Nick Anderson advances to 1st (single),0,0,1,,
24,44,Yanio Perez,TOP,"7 Nick Anderson advances to 2nd (44), 44 Yanio Perez putout (2-3) for out number 1",0,0,,1,
25,4,Will Kengor,TOP,"Ball, Foul, Called Strike, 4 Will Kengor putout (1-6-3) for out number 2",1,2,,1,
26,25,Luke Roskam,TOP,"Called Strike, Foul, Foul, Foul, Ball, 25 Luke Roskam advances to 1st (single), 25 Luke Roskam advances to 2nd (25), 7 Nick Anderson Scores Earned (25)",1,2,1,,
27,5,Nate Samson,TOP,"Called Strike, 5 Nate Samson putout (5-3) for outnumber 3",0,1,,1,
28,3,Jordan Barth,BOTTOM,"Called Strike, Ball, Ball, 3 Jordan Barth putout (6-3) for out number 1",2,1,,,1
