Index,Number,Name,Inning,Description,Balls,Strikes,Hits,Out # TOP,Out # BOTTOM
1,1,Bryan Torres,TOP,"Ball, 1 Bryan Torres putout (fly out to center field) for out number 1",1,0,,1,
2,14,Cam Balego,TOP,"Swinging Strike, Swinging Strike, Foul, Foul, Ball, 14 Cam Balego advances to 1st (single)",1,2,1,,
3,7,Roy Morales,TOP,"Swinging Strike, 7 Roy Morales advances to 1st (fielder's choice), 14 Cam Balego putout (5-4) for out number 2",0,1,,1,
4,13,Miguel Gomez,TOP,"Swinging Strike, Ball, Ball, Ball, Foul, Foul, 13Miguel Gomez advances to 1st (single), 7 Roy Morales advances to 3rd (13)",3,2,1,,
5,21,Gabriel Cancel,TOP,"Ball, Called Strike, Ball, Foul, Foul, 21 GabrielCancel advances to 1st (fielder's choice), 13 Miguel Gomez putout (5-4) for out number 3",2,2,,1,
6,0,Osvaldo Martinez,BOTTOM,"Called Strike, 0 Osvaldo Martinez putout (fly outto left field) for out number 1",0,1,,,1
7,3,Jordan Barth,BOTTOM,"Called Strike, Foul, 3 Jordan Barth putout (6-3) for out number 2",0,2,,,1
8,11,Jabari Henry,BOTTOM,"Ball, Foul, Ball, Called Strike, Ball, 11 Jabari Henry putout (strike out) for out number 3",3,2,,,1
9,26,Drew Ward,TOP,"Called Strike, 26 Drew Ward putout (6-3) for out number 1",0,1,,1,
10,11,Aaron Hill,TOP,11 Aaron Hill advances to 1st (hit by pitch),0,0,,,
11,20,Michael Crouse,TOP,"Ball, Called Strike, Called Strike, 11 Aaron HillScores Earned (20), 20 Michael Crouse Scores Earned (home run)",1,2,1,,
12,9,Rudy Martin,TOP,"Ball, 9 Rudy Martin putout (fly out to right field) for out number 2",1,0,,1,
13,1,Bryan Torres,TOP,"Called Strike, Foul, 1 Bryan Torres putout (fly out to center field) for out number 3",0,2,,1,
14,20,Mike Hart,BOTTOM,"Ball, Ball, Called Strike, Ball, Called Strike, 20Mike Hart putout (strike out) for out number 1",3,2,,,1
15,21,Darnell Sweeney,BOTTOM,"Ball, 21 Darnell Sweeney putout (fly out to centerfield) for out number 2",1,0,,,1
16,5,Trevor Achenbach,BOTTOM,"Called Strike, Called Strike, Ball, Ball, Ball, 5Trevor Achenbach advances to 1st (walk)",3,2,,,
17,16,Hunter Clanin,BOTTOM,"Swinging Strike, Called Strike, Ball, 16 Hunter Clanin putout (fly out to left field) for out number3",1,2,,,1
18,14,Cam Balego,TOP,14 Cam Balego putout (fly out to right field) forout number 1,0,0,,1,
19,7,Roy Morales,TOP,"Ball, Ball, Called Strike, Foul, Ball, 7 Roy Morales advances to 1st (single)",3,2,1,,
