Index,Number,Name,Inning,Description,Balls,Strikes,Hits,Out # TOP,Out # BOTTOM
1,1,Wyatt Ulrich,TOP,"Called Strike, 1 Wyatt Ulrich advances to 1st (single), 1 Wyatt Ulrich advances to 2nd (error by thepitcher)",0,1,1,,
2,0,Osvaldo Martinez,TOP,"Called Strike, Ball, Ball, 0 Osvaldo Martinez putout (fly out to left field) for out number 1",2,1,,1,
3,21,Darnell Sweeney,TOP,"Ball, Ball, Called Strike, Foul, Ball, Foul, 21 Darnell Sweeney advances to 2nd (double), 1 Wyatt Ulrich advances to 3rd (), 1 Wyatt Ulrich Scores Earned (21)",3,2,1,,
4,15,Welington Dotel,TOP,"Ball, Called Strike, 21 Darnell Sweeney advances to 3rd (15), 15 Welington Dotel putout (1-4-3) forout number 2",1,1,,1,
5,20,Mike Hart,TOP,"Called Strike, Swinging Strike, Foul, 20 Mike Hartputout (strike out swinging) for out number 3",0,2,,1,
6,9,Johneshwy Fargas,BOTTOM,"Ball, Foul, 9 Johneshwy Fargas advances to 1st (single)",1,1,1,,
7,10,Jan Hernandez,BOTTOM,"Ball, Ball, 10 Jan Hernandez advances to 1st (fielder's choice), 9 Johneshwy Fargas putout (5-4) forout number 1",2,0,,,1
8,7,Chris Herrmann,BOTTOM,"Ball, Swinging Strike, Foul, Ball, 7 Chris Herrmann advances to 1st (single), 10 Jan Hernandez advances to 2nd (), 10 Jan Hernandez advances to 3rd (7)",2,2,1,,
9,17,Gavin Collins,BOTTOM,"Called Strike, Foul, 17 Gavin Collins advances to1st (single), 7 Chris Herrmann advances to 2nd (17), 10 Jan Hernandez Scores Earned (17)",0,2,1,,
10,6,Keon Broxton,BOTTOM,"Ball, Ball, 7 Chris Herrmann Scores Earned (6), 17Gavin Collins Scores Earned (6), 6 Keon Broxton Scores Earned (home run)",2,0,1,,
11,14,Micker Adolfo,BOTTOM,"Ball, Ball, 14 Micker Adolfo advances to 1st (single)",2,0,1,,
12,1,Justin Wylie,BOTTOM,"Foul, Ball, Ball, 1 Justin Wylie putout (fly out to center field) for out number 2",2,1,,,1
13,11,Dylan Rosa,BOTTOM,"Foul, Called Strike, 11 Dylan Rosa putout (strikeout swinging) for out number 3",0,2,,,1
14,16,Hunter Clanin,TOP,"Called Strike, Foul, Ball, Ball, Ball, Foul, Foul,16 Hunter Clanin advances to 1st (single)",3,2,1,,
15,3,Jordan Barth,TOP,"Foul, Ball, 3 Jordan Barth advances to 1st (fielder's choice), 16 Hunter Clanin putout (6-4) for outnumber 1",1,1,,1,
16,5,Trevor Achenbach,TOP,"Called Strike, 3 Jordan Barth putout (5-4) for outnumber 2, 5 Trevor Achenbach putout (5-4-3 DP) for out number 3",0,1,,1,
17,4,L.J. Hatch,BOTTOM,"Ball, Foul, 4 L.J. Hatch advances to 1st (single)",1,1,1,,
18,9,Johneshwy Fargas,BOTTOM,"9 Johneshwy Fargas advances to 1st (single), 4 L.J. Hatch advances to 2nd (9)",0,0,1,,
19,10,Jan Hernandez,BOTTOM,"Called Strike, Ball, Ball, Swinging Strike, Ball,10 Jan Hernandez advances to 1st (walk), 9 Johneshwy Fargas advances to 2nd (10), 4 L.J. Hatch advances to 3rd (10)",3,2,,,
