Index,Number,Name,Inning,Description,Balls,Strikes,Hits,Out # TOP,Out # BOTTOM
49,10,Aaron Takacs,BOTTOM,"Swinging Strike, Ball, Ball, Ball, Called Strike,10 Aaron Takacs advances to 1st (walk)",3,2,,,
50,9,Matt Goodheart,BOTTOM,"Called Strike, Foul, Ball, Ball, Foul, Foul, Pickoff attempt at 2nd base (pitcher to shortstop), 9 Matt Goodheart advances to 1st (hit by pitch), 10 Aaron Takacs advances to 2nd (9), 3 Drew Devine advances to 3rd (9)Pitching Substitution    24 Colby Wyatt subs for Ty Culbreth Pitcher.",2,2,,,
51,5,Nate Samson,BOTTOM,"Ball, Called Strike, 5 Nate Samson advances to 1st(single), 9 Matt Goodheart advances to 2nd (5), 10 Aaron Takacs advances to 3rd (5), 3 Drew DevineScores Earned (5)",1,1,1,,
52,11,Connor Panas,BOTTOM,"Called Strike, Ball, Foul, Ball, Foul, 11 Connor Panas putout (INF5) for out number 1",2,2,,,1
53,7,Nick Anderson,BOTTOM,"Ball, Ball, Ball, Foul, 7 Nick Anderson advances to 1st (walk), 5 Nate Samson advances to 2nd (7), 9Matt Goodheart advances to 3rd (7), 10 Aaron Takacs Scores Earned (7)",3,1,,,
54,44,Yanio Perez,BOTTOM,"Called Strike, Foul, Foul, Ball, 7 Nick Anderson advances to 2nd (wild pitch), 5 Nate Samson advances to 3rd (wild pitch), 9 Matt Goodheart Scores Earned (wild pitch), Ball, Ball, Foul, 44 Yanio Perezadvances to 1st (walk)",3,2,,,
55,4,Will Kengor,BOTTOM,"Ball, Foul, Foul, Ball, Foul, Foul, 4 Will Kengorputout (strike out swinging) for out number 2",2,2,,,1
56,25,Luke Roskam,BOTTOM,"Ball, Foul, Ball, Ball, Foul, 25 Luke Roskam putout (fly out to left field) for out number 3",3,2,,,1
57,0,Osvaldo Martinez,TOP,"Called Strike, 0 Osvaldo Martinez putout (fly outto left field) for out number 1",0,1,,1,
58,16,Hunter Clanin,TOP,"Called Strike, Foul, 16 Hunter Clanin putout (strike out swinging) for out number 2",0,2,,1,
59,33,Tyler Ryan,TOP,"Ball, Swinging Strike, Swinging Strike, 33 Tyler Ryan putout (fly out to center field) for out number 3",1,2,,1,
60,3,Drew Devine,BOTTOM,"Ball, Ball, Swinging Strike, Swinging Strike, Ball, Foul, 3 Drew Devine advances to 1st (walk)",3,2,,,
61,10,Aaron Takacs,BOTTOM,"Ball, Foul, Foul, Ball, Ball, 10 Aaron Takacs advances to 1st (walk), 3 Drew Devine advances to 2nd(10)",3,2,,,
62,9,Matt Goodheart,BOTTOM,"Called Strike, Ball, Ball, Ball, 9 Matt Goodheartadvances to 1st (walk), 10 Aaron Takacs advances to 2nd (9), 3 Drew Devine advances to 3rd (9)",3,1,,,
63,5,Nate Samson,BOTTOM,"3 Drew Devine Scores Earned (5), 5 Nate Samson putout (sacrifice fly to center fielder) for out number 1",0,0,,,1
64,11,Connor Panas,BOTTOM,"Ball, Ball, 11 Connor Panas putout (fly out to right field) for out number 2",2,0,,,1
65,7,Nick Anderson,BOTTOM,"7 Nick Anderson advances to 1st (hit by pitch), 9Matt Goodheart advances to 2nd (7), 10 Aaron Takacs advances to 3rd (7)",0,0,,,
66,44,Yanio Perez,BOTTOM,"Called Strike, Swinging Strike, Ball, 44 Yanio Perez putout (fly out to center field) for out number3",1,2,,,1
67,1,Wyatt Ulrich,TOP,"Called Strike, Ball, Called Strike, 1 Wyatt Ulrichputout (dropped 3rd strike: KS 2) for out number1",1,2,,1,
68,21,Darnell Sweeney,TOP,"Called Strike, Ball, Called Strike, Ball, Foul, Foul, 21 Darnell Sweeney putout (dropped 3rd strike:KS 2) for out number 2",2,2,,1,
69,3,Jordan Barth,TOP,"Called Strike, Ball, Called Strike, Ball, 3 JordanBarth putout (P4) for out number 3",2,2,,1,
70,4,Will Kengor,BOTTOM,"Ball, Foul, Foul, Foul, Ball, Ball, 4 Will Kengorputout (fly out to left field) for out number 1",3,2,,,1
71,25,Luke Roskam,BOTTOM,"Ball, 25 Luke Roskam putout (fly out to center field) for out number 2",1,0,,,1
72,3,Drew Devine,BOTTOM,"Ball, Ball, Called Strike, 3 Drew Devine putout (fly out to right field) for out number 3",2,1,,,1
73,15,Welington Dotel,TOP,"Called Strike, Ball, 15 Welington Dotel putout (6-3) for out number 1",1,1,,1,
74,11,Jabari Henry,TOP,"Ball, 11 Jabari Henry Scores Earned (home run)",1,0,1,,
75,20,Mike Hart,TOP,20 Mike Hart advances to 1st (single),0,0,1,,
76,0,Osvaldo Martinez,TOP,"Ball, Ball, Ball, 0 Osvaldo Martinez advances to 1st (walk), 20 Mike Hart advances to 2nd (0), 0 Osvaldo Martinez advances to 2nd (wild pitch), 20 Mike Hart advances to 3rd (wild pitch)",3,0,,,
77,16,Hunter Clanin,TOP,"Ball, Swinging Strike, Ball, Foul, 20 Mike Hart Scores Earned (16), 16 Hunter Clanin putout (6-3) for out number 2",2,2,,1,
78,33,Tyler Ryan,TOP,"Swinging Strike, Ball, Foul, 33 Tyler Ryan putout(dropped 3rd strike: KS 2-3) for out number 3",1,2,,1,
