Index,Number,Name,Inning,Description,Balls,Strikes,Hits,Out # TOP,Out # BOTTOM,Pitcher Top,Pitcher Bottom
1,37,Kyle Kasser,TOP,"Called Strike, 37 Kyle Kasser putout (fly out to center field) for out number 1",0,1,,1,,Mitchell Walters,
2,8,Vince Fernandez,TOP,"Foul, Ball, Foul, Foul, Ball, Ball, 8 Vince Fernandez advances to 1st (walk)",3,2,,,,Mitchell Walters,
3,7,Matt Lloyd,TOP,"Ball, Ball, 8 Vince Fernandez advances to 2nd (stolen base), Ball, 7 Matt Lloyd advances to 1st (walk)",3,0,,,,Mitchell Walters,
4,4,Miguel Sierra,TOP,"Called Strike, Foul, 4 Miguel Sierra putout (strike out) for out number 2",0,2,,1,,Mitchell Walters,
5,18,Daniel Perez,TOP,"Called Strike, Called Strike, Ball, 18 Daniel Perez putout (6-3) for out number 3",1,2,,1,,Mitchell Walters,
6,1,Wyatt Ulrich,BOTTOM,"Ball, Called Strike, 1 Wyatt Ulrich advances to 1st (single)",1,1,1,,,,J Valles
7,21,Darnell Sweeney,BOTTOM,"Ball, Ball, Ball, 21 Darnell Sweeney putout (fly out to left field) for out number 1",3,0,,,1,,J Valles
8,15,Welington Dotel,BOTTOM,"Called Strike, Swinging Strike, 1 Wyatt Ulrich advances to 2nd (stolen base), 15 Welington Dotel advances to 1st (single), 1 Wyatt Ulrich advances to3rd (15)",0,2,1,,,,J Valles
9,11,Jabari Henry,BOTTOM,"Called Strike, Ball, Ball, Foul, Ball, 15 Welington Dotel advances to 2nd (wild pitch), 11 Jabari Henry advances to 1st (walk)",3,2,,,,,J Valles
10,3,Jordan Barth,BOTTOM,"Called Strike, Foul, 3 Jordan Barth advances to 1st (fielder's choice), 15 Welington Dotel advancesto 3rd (3), 1 Wyatt Ulrich Scores Earned (3), 11 Jabari Henry putout (6-4) for out number 2",0,2,,,1,,J Valles
11,16,Hunter Clanin,BOTTOM,"Ball, Called Strike, 3 Jordan Barth advances to 2nd (stolen base), 16 Hunter Clanin putout (6-3) forout number 3",1,1,,,1,,J Valles
12,1,Chase Harris,TOP,"Called Strike, Ball, Ball, Ball, Foul, 1 Chase Harris advances to 1st (walk)",3,2,,,,Mitchell Walters,
13,3,Jack Kelly,TOP,"Ball, 1 Chase Harris advances to 2nd (stolen base), Ball, Ball, Called Strike, 3 Jack Kelly advancesto 1st (walk)",3,1,,,,Mitchell Walters,
14,5,Eury Perez,TOP,"Called Strike, Swinging Strike, Foul, 5 Eury Perezadvances to 1st (hit by pitch), 3 Jack Kelly advances to 2nd (5), 1 Chase Harris advances to 3rd (5)",0,2,,,,Mitchell Walters,
15,17,Jake Sanford,TOP,"Called Strike, Ball, 5 Eury Perez advances to 2nd(17), 3 Jack Kelly advances to 3rd (17), 1 Chase Harris Scores Earned (17), Ball, 17 Jake Sanford advances to 1st (error by the shortstop)",2,1,,,,Mitchell Walters,
16,37,Kyle Kasser,TOP,"Ball, Foul, Ball, 5 Eury Perez advances to 3rd (37), 3 Jack Kelly Scores Earned (37), 37 Kyle Kasserputout (sacrifice fly to right fielder) for out number 1",2,1,,1,,Mitchell Walters,
17,8,Vince Fernandez,TOP,"Ball, 17 Jake Sanford advances to 2nd (17), 17 Jake Sanford advances to 3rd (pass ball), 5 Eury Perez Scores Earned (balk), Ball, Called Strike, Ball,8 Vince Fernandez putout (fly out to the second baseman) for out number 2",3,1,,1,,Mitchell Walters,
18,7,Matt Lloyd,TOP,"Called Strike, Ball, Foul, Foul, Foul, 7 Matt Lloyd putout (strike out swinging) for out number 3",1,2,,1,,Mitchell Walters,
19,0,Osvaldo Martinez,BOTTOM,"Ball, Ball, Called Strike, 0 Osvaldo Martinez advances to 1st (single)",2,1,1,,,,J Valles
20,5,Trevor Achenbach,BOTTOM,"Ball, 5 Trevor Achenbach advances to 1st (hit by pitch), 0 Osvaldo Martinez advances to 2nd (5)",1,0,,,,,J Valles
21,2,Marshall Rich,BOTTOM,2 Marshall Rich putout (4) for out number 1,0,0,,,1,,J Valles
22,1,Wyatt Ulrich,BOTTOM,"Ball, Called Strike, Foul, 1 Wyatt Ulrich advancesto 2nd (double), 5 Trevor Achenbach advances to 3rd (1), 0 Osvaldo Martinez Scores Earned (1)",1,2,1,,,,J Valles
23,21,Darnell Sweeney,BOTTOM,"Ball, Ball, Ball, 21 Darnell Sweeney advances to 1st (walk)Pitching Substitution    35 Heitor Tokar subs for Jesus Valles Pitcher.",3,0,,,,,J Valles
24,15,Welington Dotel,BOTTOM,"Called Strike, Foul, Foul, 15 Welington Dotel advances to 2nd (double), 21 Darnell Sweeney advancesto 3rd (15), 1 Wyatt Ulrich Scores Earned (15), 5Trevor Achenbach Scores Earned (15), 21 Darnell Sweeney putout (7-5-2) for out number 2",0,2,1,,1,,H Tokar
25,11,Jabari Henry,BOTTOM,"Ball, 15 Welington Dotel advances to 3rd (stolen base), Called Strike, Ball, Foul, Foul, Foul, Ball,11 Jabari Henry putout (strike out swinging) forout number 3",3,2,,,1,,H Tokar
26,4,Miguel Sierra,TOP,"Called Strike, Ball, Ball, 4 Miguel Sierra putout(fly out to left field) for out number 1",2,1,,1,,Angel Lebron,
27,18,Daniel Perez,TOP,"Called Strike, Ball, Ball, 18 Daniel Perez advances to 1st (single)",2,1,1,,,Angel Lebron,
28,1,Chase Harris,TOP,"Foul, 1 Chase Harris putout (fly out to right field) for out number 2",0,1,,1,,Angel Lebron,
29,3,Jack Kelly,TOP,"Called Strike, Ball, Ball, Ball, Called Strike, 3Jack Kelly advances to 1st (walk), 18 Daniel Perezadvances to 2nd (3), 3 Jack Kelly advances to 2nd(5), 18 Daniel Perez advances to 3rd (balk)",3,2,,,,Angel Lebron,
30,5,Eury Perez,TOP,5 Eury Perez putout (5-3) for out number 3,0,0,,1,,Angel Lebron,
31,3,Jordan Barth,BOTTOM,"Ball, Swinging Strike, Ball, Ball, Called Strike,Foul, 3 Jordan Barth putout (strike out swinging)for out number 1",3,2,,,1,,H Tokar
32,16,Hunter Clanin,BOTTOM,16 Hunter Clanin advances to 1st (single),0,0,1,,,,H Tokar
33,0,Osvaldo Martinez,BOTTOM,"Ball, Called Strike, Ball, Ball, Called Strike, 0Osvaldo Martinez advances to 1st (walk), 16 HunterClanin advances to 2nd (0)",3,2,,,,,H Tokar
34,5,Trevor Achenbach,BOTTOM,"Foul, Foul, 5 Trevor Achenbach putout (strike outswinging) for out number 2",0,2,,,1,,H Tokar
35,2,Marshall Rich,BOTTOM,"Ball, Called Strike, Ball, Swinging Strike, 2 Marshall Rich putout (5-3) for out number 3",2,2,,,1,,H Tokar
36,17,Jake Sanford,TOP,"Called Strike, Ball, 17 Jake Sanford putout (fly out to left field) for out number 1",1,1,,1,,Angel Lebron,
37,37,Kyle Kasser,TOP,"Ball, 37 Kyle Kasser advances to 1st (single)",1,0,1,,,Angel Lebron,
38,8,Vince Fernandez,TOP,"Foul, Ball, 37 Kyle Kasser putout (caught stealing: CS 2-6) for out number 2, Ball, Ball, Foul, 8 Vince Fernandez advances to 1st (walk)",3,2,,1,,Angel Lebron,
39,7,Matt Lloyd,TOP,"Ball, Foul, 7 Matt Lloyd putout (4-3) for out number 3",1,1,,1,,Angel Lebron,
40,1,Wyatt Ulrich,BOTTOM,"Ball, Called Strike, Swinging Strike, 1 Wyatt Ulrich putout (strike out swinging) for out number 1",1,2,,,1,,H Tokar
41,21,Darnell Sweeney,BOTTOM,"Ball, Swinging Strike, Swinging Strike, Ball, Ball, 21 Darnell Sweeney advances to 1st (single)",3,2,1,,,,H Tokar
42,15,Welington Dotel,BOTTOM,"Ball, Foul, 15 Welington Dotel advances to 1st (single), 21 Darnell Sweeney advances to 3rd (15)",1,1,1,,,,H Tokar
43,11,Jabari Henry,BOTTOM,"Swinging Strike, Ball, Called Strike, Ball, 15 Welington Dotel advances to 2nd (stolen base), Foul,11 Jabari Henry putout (strike out swinging) for out number 2",2,2,,,1,,H Tokar
44,3,Jordan Barth,BOTTOM,"Called Strike, Swinging Strike, Ball, 3 Jordan Barth putout (1-3) for out number 3",1,2,,,1,,H Tokar
45,4,Miguel Sierra,TOP,"Ball, Ball, Foul, Called Strike, Foul, 4 Miguel Sierra putout (4) for out number 1",2,2,,1,,Angel Lebron,
46,18,Daniel Perez,TOP,"Ball, Ball, Called Strike, Ball, Swinging Strike,18 Daniel Perez putout (strike out swinging) for out number 2",3,2,,1,,Angel Lebron,
47,1,Chase Harris,TOP,"Ball, Ball, Foul, Foul, 1 Chase Harris putout (strike out) for out number 3",2,2,,1,,Angel Lebron,
48,16,Hunter Clanin,BOTTOM,"Swinging Strike, Ball, 16 Hunter Clanin putout (L5) for out number 1",1,1,,,1,,H Tokar
49,0,Osvaldo Martinez,BOTTOM,"Ball, Ball, Called Strike, Foul, Ball, 0 Osvaldo Martinez putout (fly out to center field) for out number 2",3,2,,,1,,H Tokar
50,5,Trevor Achenbach,BOTTOM,"Called Strike, Foul, 5 Trevor Achenbach putout (strike out swinging) for out number 3",0,2,,,1,,H Tokar
51,3,Jack Kelly,TOP,"Called Strike, Called Strike, Ball, Ball, Ball, 3Jack Kelly putout (4-3) for out number 1",3,2,,1,,Bret Barnett,
52,5,Eury Perez,TOP,"Ball, Ball, Called Strike, Ball, 5 Eury Perez putout (fly out to center field) for out number 2",3,1,,1,,Bret Barnett,
53,17,Jake Sanford,TOP,17 Jake Sanford putout (6-3) for out number 3,0,0,,1,,Bret Barnett,
54,2,Marshall Rich,BOTTOM,"Ball, 2 Marshall Rich putout (4-3) for out number1",1,0,,,1,,H Tokar
55,1,Wyatt Ulrich,BOTTOM,"Called Strike, Ball, 1 Wyatt Ulrich putout (5-3) for out number 2",1,1,,,1,,H Tokar
56,21,Darnell Sweeney,BOTTOM,"Swinging Strike, Ball, Ball, Foul, 21 Darnell Sweeney putout (strike out swinging) for out number 3",2,2,,,1,,H Tokar
57,37,Kyle Kasser,TOP,"Foul, Ball, 37 Kyle Kasser putout (4-3) for out number 1",1,1,,1,,Bret Barnett,
58,8,Vince Fernandez,TOP,"Ball, 8 Vince Fernandez putout (L4) for out number2",1,0,,1,,Bret Barnett,
59,7,Matt Lloyd,TOP,"Ball, Ball, 7 Matt Lloyd putout (fly out to left field) for out number 3",2,0,,1,,Bret Barnett,
60,15,Welington Dotel,BOTTOM,"Swinging Strike, 15 Welington Dotel putout (5-3) for out number 1",0,1,,,1,,H Tokar
61,11,Jabari Henry,BOTTOM,"Ball, Ball, Ball, 11 Jabari Henry advances to 1st(walk)Pitching Substitution    28 Kent Hasler subs for Heitor Tokar Pitcher.",3,0,,,,,H Tokar
62,3,Jordan Barth,BOTTOM,"Swinging Strike, Foul, 3 Jordan Barth advances to1st (fielder's choice), 11 Jabari Henry putout (6-4) for out number 2",0,2,,,1,,K Hasler
63,16,Hunter Clanin,BOTTOM,"Foul, Ball, Ball, Swinging Strike, 3 Jordan Barthadvances to 2nd (stolen base), Foul, 16 Hunter Clanin putout (6-3) for out number 3",2,2,,,1,,K Hasler
64,4,Miguel Sierra,TOP,"Ball, Called Strike, Ball, Ball, Swinging Strike,4 Miguel Sierra advances to 1st (walk)",3,2,,,,Jose Cruz,
65,18,Daniel Perez,TOP,"4 Miguel Sierra advances to 2nd (18), 18 Daniel Perez putout (6-3) for out number 1",0,0,,1,,Jose Cruz,
66,1,Chase Harris,TOP,"Foul, Ball, Ball, Ball, Swinging Strike, Foul, 4 Miguel Sierra advances to 3rd (1), 1 Chase Harris putout (fly out to center field) for out number 2",3,2,,1,,Jose Cruz,
67,3,Jack Kelly,TOP,"Ball, Called Strike, Called Strike, 3 Jack Kelly putout (fly out to left field) for out number 3",1,2,,1,,Jose Cruz,
68,0,Osvaldo Martinez,BOTTOM,"Called Strike, Swinging Strike, 0 Osvaldo Martinezadvances to 1st (single)",0,2,1,,,,K Hasler
69,5,Trevor Achenbach,BOTTOM,"Ball, Ball, 0 Osvaldo Martinez advances to 2nd (5), 5 Trevor Achenbach putout (3-4 SH) for out number 1",2,0,,,1,,K Hasler
70,2,Marshall Rich,BOTTOM,"Ball, Ball, Called Strike, Foul, 2 Marshall Rich putout (5-3) for out number 2",2,2,,,1,,K Hasler
71,1,Wyatt Ulrich,BOTTOM,"Ball, Ball, Ball, Called Strike, 1 Wyatt Ulrich advances to 1st (walk)",3,1,,,,,K Hasler
72,21,Darnell Sweeney,BOTTOM,"Ball, 21 Darnell Sweeney putout (fly out to centerfield) for out number 3",1,0,,,1,,K Hasler
73,5,Eury Perez,TOP,"Called Strike, Foul, Foul, 5 Eury Perez putout (4-3) for out number 1",0,2,,1,,Charlie Hasty,
74,17,Jake Sanford,TOP,17 Jake Sanford putout (1-3) for out number 2,0,0,,1,,Charlie Hasty,
75,37,Kyle Kasser,TOP,"Called Strike, Ball, 37 Kyle Kasser putout (4-3) for out number 3",1,1,,1,,Charlie Hasty,
