Index,Number,Name,Inning,Description,Balls,Strikes,Hits,Out # TOP,Out # BOTTOM,Pitcher Top,Pitcher Bottom
1,20,Blake Tiberi,TOP,"Called Strike, Foul, Ball, 20 Blake Tiberi advances to 1st (single)",1,2,1,,,Chris Hardin,
2,13,Brian Rey,TOP,"Called Strike, Ball, 13 Brian Rey putout (fly outto center field) for out number 1",1,1,,1,,Chris Hardin,
3,7,Demetrius Sims,TOP,"Foul, Foul, Ball, 7 Demetrius Sims advances to 1st(single)",1,2,1,,,Chris Hardin,
4,4,Steven Sensley,TOP,"Ball, Ball, 7 Demetrius Sims advances to 2nd (stolen base), 20 Blake Tiberi Scores Earned (error bythe catcher), Foul, Ball, Called Strike, 4 StevenSensley advances to 1st (walk)",3,2,,,,Chris Hardin,
5,9,Marcus Chiu,TOP,"9 Marcus Chiu advances to 1st (single), 4 Steven Sensley advances to 2nd (9), 7 Demetrius Sims advances to 3rd (9)",0,0,1,,,Chris Hardin,
6,17,Thomas Jones,TOP,"Ball, Swinging Strike, Foul, 17 Thomas Jones advances to 1st (hit by pitch), 9 Marcus Chiu advancesto 2nd (17), 4 Steven Sensley advances to 3rd (17), 7 Demetrius Sims Scores Earned (17)",1,2,,,,Chris Hardin,
7,25,Curtis Terry,TOP,"4 Steven Sensley Scores Earned (25), 9 Marcus ChiuScores Earned (25), 17 Thomas Jones Scores Earned(25), 25 Curtis Terry Scores Earned (home run)",0,0,1,,,Chris Hardin,
8,12,Dustin Woodcock,TOP,"Ball, Called Strike, Foul, Foul, 12 Dustin Woodcock putout (strike out swinging) for out number 2",1,2,,1,,Chris Hardin,
9,14,Tyler Hill,TOP,"Ball, Called Strike, Called Strike, 14 Tyler Hillputout (strike out) for out number 3",1,2,,1,,Chris Hardin,
10,1,Wyatt Ulrich,BOTTOM,"Ball, Called Strike, Ball, 1 Wyatt Ulrich putout (fly out to center field) for out number 1",2,1,,,1,,R Delgado
11,3,Jordan Barth,BOTTOM,"Called Strike, Ball, Ball, Called Strike, Ball, Foul, Foul, 3 Jordan Barth advances to 1st (single)",3,2,1,,,,R Delgado
12,11,Jabari Henry,BOTTOM,"Called Strike, Ball, Ball, 3 Jordan Barth advancesto 2nd (wild pitch), Ball, Called Strike, Foul, Foul, Foul, Foul, Foul, Foul, Foul, Foul, Foul, 11Jabari Henry advances to 1st (walk)",3,2,,,,,R Delgado
13,20,Mike Hart,BOTTOM,"Swinging Strike, Ball, Ball, Ball, 20 Mike Hart advances to 1st (walk), 11 Jabari Henry advances to2nd (20), 3 Jordan Barth advances to 3rd (20)",3,1,,,,,R Delgado
14,21,Darnell Sweeney,BOTTOM,"Ball, Ball, Ball, 21 Darnell Sweeney putout (fly out to left field) for out number 2",3,0,,,1,,R Delgado
15,16,Hunter Clanin,BOTTOM,"Ball, Called Strike, Called Strike, Ball, 16 Hunter Clanin putout (strike out) for out number 3",2,2,,,1,,R Delgado
16,20,Blake Tiberi,TOP,"Ball, Called Strike, Foul, Ball, Foul, 20 Blake Tiberi putout (strike out swinging) for out number 1",2,2,,1,,Chris Hardin,
17,13,Brian Rey,TOP,"Swinging Strike, 13 Brian Rey advances to 2nd (double)",0,1,1,,,Chris Hardin,
18,7,Demetrius Sims,TOP,"Ball, Ball, Ball, 7 Demetrius Sims advances to 1st(walk)",3,0,,,,Chris Hardin,
19,4,Steven Sensley,TOP,"Ball, Swinging Strike, Ball, Swinging Strike, 4 Steven Sensley putout (strike out swinging) for outnumber 2",2,2,,1,,Chris Hardin,
20,9,Marcus Chiu,TOP,"Called Strike, Foul, Ball, 9 Marcus Chiu putout (4-3) for out number 3",1,2,,1,,Chris Hardin,
21,35,Shamoy Christopher,BOTTOM,"Ball, 35 Shamoy Christopher putout (4-3) for out number 1",1,0,,,1,,R Delgado
22,15,Welington Dotel,BOTTOM,"Foul, Ball, Foul, Foul, 15 Welington Dotel putout(fly out to center field) for out number 2",1,2,,,1,,R Delgado
23,0,Osvaldo Martinez,BOTTOM,"Ball, Called Strike, 0 Osvaldo Martinez advances to 1st (single)",1,1,1,,,,R Delgado
