Index,Number,Name,Inning,Description,Balls,Strikes,Hits,Out # TOP,Out # BOTTOM,Pitcher Top,Pitcher Bottom
41,5,Nate Samson,BOTTOM,"Foul, Ball, Foul, 5 Nate Samson advances to 1st (fielder's choice), 12 Zack Miller putout (6-4) forout number 1",1,2,,,1,,Akeem Bostick
42,9,Matt Goodheart,BOTTOM,"Ball, Pickoff attempt at 1st base (pitcher to first baseman), Ball, 9 Matt Goodheart advances to 1st(single), 5 Nate Samson advances to 2nd (9)",2,0,1,,,,Akeem Bostick
43,7,Nick Anderson,BOTTOM,"Called Strike, Ball, Foul, Foul, 7 Nick Anderson advances to 1st (fielder's choice), 9 Matt Goodheart advances to 2nd (7), 5 Nate Samson putout (6-5)for out number 2",1,2,,,1,,Akeem Bostick
44,44,Yanio Perez,BOTTOM,"Called Strike, Ball, 44 Yanio Perez advances to 1st (single), 7 Nick Anderson advances to 2nd (44),9 Matt Goodheart advances to 3rd (44)",1,1,1,,,,Akeem Bostick
45,4,Will Kengor,BOTTOM,4 Will Kengor putout (fly out to the third basemanin foul territory) for out number 3,0,0,,,1,,Akeem Bostick
46,5,Trevor Achenbach,TOP,"Foul, Swinging Strike, 5 Trevor Achenbach putout (6-3) for out number 1",0,2,,1,,J Roeder,
47,0,Osvaldo Martinez,TOP,"Called Strike, 0 Osvaldo Martinez putout (5-3) forout number 2",0,1,,1,,J Roeder,
48,11,Jabari Henry,TOP,"Foul, Ball, Foul, 11 Jabari Henry putout (fly outto left field) for out number 3",1,2,,1,,J Roeder,
49,16,Zane Zurbrugg,BOTTOM,"Called Strike, 16 Zane Zurbrugg advances to 2nd (double)",0,1,1,,,,Jose Cruz
50,10,Aaron Takacs,BOTTOM,"Ball, 10 Aaron Takacs advances to 1st (single), 16Zane Zurbrugg advances to 3rd (10)",1,0,1,,,,Jose Cruz
51,3,Drew Devine,BOTTOM,"Ball, 3 Drew Devine advances to 1st (fielder's choice), 10 Aaron Takacs advances to 2nd (3), 16 ZaneZurbrugg putout (5-2) for out number 1",1,0,,,1,,Jose Cruz
52,12,Zack Miller,BOTTOM,"3 Drew Devine putout (6-4) for out number 2, 12 Zack Miller putout (6-4-3 DP) for out number 3",0,0,,,1,,Jose Cruz
53,2,Marshall Rich,TOP,"Ball, Called Strike, 2 Marshall Rich advances to 1st (single)",1,1,1,,,C Hope,
54,16,Hunter Clanin,TOP,"Called Strike, Foul, 16 Hunter Clanin putout (flyout to left field) for out number 1",0,2,,1,,C Hope,
55,1,Wyatt Ulrich,TOP,"Pickoff attempt at 1st base (pitcher to first baseman), Called Strike, 2 Marshall Rich advances to 2nd (stolen base), Ball, Swinging Strike, 1 Wyatt Ulrich putout (1-3) for out number 2",1,2,,1,,C Hope,
56,3,Jordan Barth,TOP,"Ball, Called Strike, Swinging Strike, 3 Jordan Barth putout (fly out to right field) for out number3",1,2,,1,,C Hope,
57,5,Nate Samson,BOTTOM,"Ball, Ball, 5 Nate Samson putout (fly out to rightfield) for out number 1",2,0,,,1,,Hayden Thomas
58,9,Matt Goodheart,BOTTOM,"Called Strike, Ball, Ball, Ball, 9 Matt Goodheartadvances to 1st (walk)",3,1,,,,,Hayden Thomas
59,7,Nick Anderson,BOTTOM,"Foul, Foul, 7 Nick Anderson putout (fly out to left field) for out number 2",0,2,,,1,,Hayden Thomas
60,44,Yanio Perez,BOTTOM,"Swinging Strike, Called Strike, Ball, Foul, 44 Yanio Perez advances to 2nd (double), 9 Matt Goodheart Scores Earned (44)",1,2,1,,,,Hayden Thomas
61,4,Will Kengor,BOTTOM,"Ball, Ball, Ball, 4 Will Kengor advances to 1st (walk)",3,0,,,,,Hayden Thomas
62,16,Zane Zurbrugg,BOTTOM,"Ball, Called Strike, Foul, 16 Zane Zurbrugg advances to 1st (fielder's choice), 4 Will Kengor putout(6U) for out number 3",1,2,,,1,,Hayden Thomas
63,15,Welington Dotel,TOP,"Called Strike, Ball, Swinging Strike, 15 WelingtonDotel putout (strike out swinging) for out number1",1,2,,1,,S Moore,
64,20,Mike Hart,TOP,"Swinging Strike, Swinging Strike, 20 Mike Hart putout (strike out swinging) for out number 2",0,2,,1,,S Moore,
65,5,Trevor Achenbach,TOP,"Ball, 5 Trevor Achenbach putout (fly out to centerfield) for out number 3",1,0,,1,,S Moore,
66,10,Aaron Takacs,BOTTOM,"Foul, Ball, Ball, 10 Aaron Takacs putout (3-1) forout number 1",2,1,,,1,,Brady Stover
67,3,Drew Devine,BOTTOM,"Swinging Strike, Ball, 3 Drew Devine advances to 1st (single)Offensive Substitution   25 Luke Roskam subs for Zack Miller.",1,1,1,,,,Brady Stover
68,25,Luke Roskam,BOTTOM,"Swinging Strike, Ball, Swinging Strike, Ball, Foul, Ball, 25 Luke Roskam advances to 1st (walk), 3 Drew Devine advances to 2nd (25)",3,2,,,,,Brady Stover
69,5,Nate Samson,BOTTOM,"Ball, 5 Nate Samson putout (9 Dp) for out number 2, 3 Drew Devine putout (9-4-6 DP) for out number 3",1,0,,,1,,Brady Stover
70,5,Trevor Achenbach,TOP,5 Trevor Achenbach advances to 2nd (ITB)Defensive Substitution   25 Luke Roskam moves to Catcher.Offensive Substitution   21 Darnell Sweeney subs for Hunter Clanin.,0,0,,,,S Moore,
71,11,Jabari Henry,TOP,"Ball, Ball, Ball, Ball, Ball, Ball, 5 Trevor Achenbach advances to 3rd (0), 0 Osvaldo Martinez putout (5-3 SH) for out number 1, 21 Darnell Sweeney putout (5-3) for out number 3, Swinging Strike, Ball, Ball, 2 Marshall Rich advances to 1st (walk), Foul, Foul, 11 Jabari Henry putout (dropped 3rd strike: KS 2-3) for out number 2",8,2,,1,,S Moore,
72,5,Nate Samson,BOTTOM,5 Nate Samson advances to 2nd (ITB)Defensive Substitution   21 Darnell Sweeney moves to Center Field.Pitching Substitution    34 Charlie Hasty subs for Brady Stover Pitcher.,0,0,,,,,Charlie Hasty
73,7,Nick Anderson,BOTTOM,"Ball, Ball, Swinging Strike, Foul, Ball, Called Strike, Ball, Ball, Foul, Ball, Called Strike, Foul,Called Strike, 9 Matt Goodheart advances to 1st (walk), 44 Yanio Perez advances to 1st (single), 9Matt Goodheart advances to 3rd (44), 5 Nate SamsonScores Earned (44), 7 Nick Anderson advances to 1st (walk), 9 Matt Goodheart advances to 2nd (7), 5Nate Samson advances to 3rd (7)",6,2,1,,,,Charlie Hasty
74,7,Nick Anderson,BOTTOM,7 Nick Anderson advances to 2nd (44),0,0,,,,,Charlie Hasty
