Index,Number,Name,Inning,Description,Balls,Strikes,Hits,Out # TOP,Out # BOTTOM,Pitcher Top,Pitcher Bottom
1,15,Cam Touchette,TOP,"Called Strike, Ball, Ball, Foul, 15 Cam Touchetteputout (strike out swinging) for out number 1",2,2,,1,,Akeem Bostick,
2,5,Nate Samson,TOP,"Ball, 5 Nate Samson putout (3) for out number 2",1,0,,1,,Akeem Bostick,
3,11,Connor Panas,TOP,"Ball, Ball, Foul, Swinging Strike, Foul, Ball, 11Connor Panas putout (strike out swinging) for outnumber 3",3,2,,1,,Akeem Bostick,
4,1,Wyatt Ulrich,BOTTOM,"Called Strike, Ball, 1 Wyatt Ulrich putout (4-3) for out number 1",1,1,,,1,,N Laio
5,21,Darnell Sweeney,BOTTOM,"Swinging Strike, Foul, Ball, 21 Darnell Sweeney putout (4-3) for out number 2",1,2,,,1,,N Laio
6,15,Welington Dotel,BOTTOM,15 Welington Dotel putout (5-3) for out number 3,0,0,,,1,,N Laio
7,25,Luke Roskam,TOP,"Called Strike, Ball, Ball, 25 Luke Roskam putout (1-3) for out number 1",2,1,,1,,Akeem Bostick,
8,7,Nick Anderson,TOP,"Ball, 7 Nick Anderson putout (5-3) for out number2",1,0,,1,,Akeem Bostick,
9,9,Matt Goodheart,TOP,"Called Strike, Ball, Ball, Called Strike, 9 Matt Goodheart putout (strike out swinging) for out number 3",2,2,,1,,Akeem Bostick,
10,11,Jabari Henry,BOTTOM,"Ball, Ball, Called Strike, Called Strike, Foul, Ball, Foul, 11 Jabari Henry advances to 1st (walk)",3,2,,,,,N Laio
11,20,Mike Hart,BOTTOM,"Foul, 20 Mike Hart advances to 1st (hit by pitch),11 Jabari Henry advances to 2nd (20)",0,1,,,,,N Laio
12,16,Hunter Clanin,BOTTOM,"Called Strike, Called Strike, Foul, 16 Hunter Clanin putout (strike out swinging) for out number 1",0,2,,,1,,N Laio
