Index,Number,Name,Inning,Description,Balls,Strikes,Hits,Out # TOP,Out # BOTTOM,Pitcher Top,Pitcher Bottom
1,1,Wyatt Ulrich,TOP,1 Wyatt Ulrich putout (fly out to center field) for out number 1,0,0,,1,,B Finnegan,
2,0,Osvaldo Martinez,TOP,"Ball, Ball, Ball, Swinging Strike, Foul, Foul, 0 Osvaldo Martinez putout (fly out to center field) for out number 2",3,2,,1,,B Finnegan,
3,21,Darnell Sweeney,TOP,"Foul, 21 Darnell Sweeney advances to 1st (single to left field)",0,1,1,,,B Finnegan,
4,15,Welington Dotel,TOP,"Called Strike, Swinging Strike, Foul, Foul, 15 Welington Dotel putout (strike out swinging) for outnumber 3",0,2,,1,,B Finnegan,
5,9,Johneshwy Fargas,BOTTOM,9 Johneshwy Fargas advances to 1st (single),0,0,1,,,,DJ Sharabi
6,47,Jacob Robson,BOTTOM,"Foul, Ball, 47 Jacob Robson putout (4-3) for out number 1",1,1,,,1,,DJ Sharabi
7,10,Jan Hernandez,BOTTOM,"Called Strike, Ball, Foul, 10 Jan Hernandez advances to 2nd (double), 9 Johneshwy Fargas advances to3rd (10), 9 Johneshwy Fargas Scores Earned (9)",1,2,1,,,,DJ Sharabi
8,7,Chris Herrmann,BOTTOM,"Ball, Called Strike, Ball, 7 Chris Herrmann advances to 1st (single), 10 Jan Hernandez Scores Earned(10)",2,1,1,,,,DJ Sharabi
9,17,Gavin Collins,BOTTOM,17 Gavin Collins putout (fly out to center field)for out number 2,0,0,,,1,,DJ Sharabi
10,6,Keon Broxton,BOTTOM,"Called Strike, Ball, Foul, Foul, Foul, Ball, Foul,Ball, 6 Keon Broxton advances to 1st (walk), 7 Chris Herrmann advances to 2nd (6)",3,2,,,,,DJ Sharabi
11,14,Micker Adolfo,BOTTOM,"Foul, Foul, Foul, Ball, Foul, 14 Micker Adolfo putout (fly out to left field) for out number 3",1,2,,,1,,DJ Sharabi
12,20,Mike Hart,TOP,"Called Strike, 20 Mike Hart advances to 1st (single)",0,1,1,,,B Finnegan,
13,16,Hunter Clanin,TOP,"Foul, Swinging Strike, 16 Hunter Clanin advances to 1st (single), 20 Mike Hart advances to 2nd (16)",0,2,1,,,B Finnegan,
14,3,Jordan Barth,TOP,"3 Jordan Barth advances to 1st (single), 16 HunterClanin advances to 2nd (3), 20 Mike Hart advancesto 3rd (3)",0,0,1,,,B Finnegan,
15,5,Trevor Achenbach,TOP,"Foul, Swinging Strike, Foul, Foul, Ball, 5 TrevorAchenbach advances to 1st (hit by pitch), 3 JordanBarth advances to 2nd (5), 16 Hunter Clanin advances to 3rd (5), 20 Mike Hart Scores Earned (5)",1,2,,,,B Finnegan,
16,2,Marshall Rich,TOP,"Called Strike, Foul, Foul, Foul, Ball, Foul, 16 Hunter Clanin Scores Earned (2), 2 Marshall Rich putout (SF) for out number 1",1,2,,1,,B Finnegan,
17,1,Wyatt Ulrich,TOP,"Called Strike, Swinging Strike, Foul, 1 Wyatt Ulrich putout (fly out to left field) for out number 2",0,2,,1,,B Finnegan,
18,0,Osvaldo Martinez,TOP,"Called Strike, Foul, 0 Osvaldo Martinez advances to 1st (single), 5 Trevor Achenbach advances to 2nd(0), 3 Jordan Barth advances to 3rd (0), 3 JordanBarth Scores Earned (3)",0,2,1,,,B Finnegan,
19,21,Darnell Sweeney,TOP,21 Darnell Sweeney putout (fly out to right field)for out number 3,0,0,,1,,B Finnegan,
20,1,Justin Wylie,BOTTOM,"Ball, 1 Justin Wylie putout (fly out to center field) for out number 1",1,0,,,1,,DJ Sharabi
21,4,L.J. Hatch,BOTTOM,"Called Strike, 4 L.J. Hatch putout (5-3) for out number 2",0,1,,,1,,DJ Sharabi
