Index,Number,Name,Inning,Description,Balls,Strikes,Hits,Out # TOP,Out # BOTTOM
1,21,Darnell Sweeney,TOP,"Ball, Called Strike, Called Strike, 21 Darnell Sweeney putout (strike out) for out number 1",1,2,,1,
2,3,Jordan Barth,TOP,"Ball, 3 Jordan Barth putout (P3) for out number 2",1,0,,1,
3,15,Welington Dotel,TOP,"Swinging Strike, Swinging Strike, 15 Welington Dotel putout (strike out swinging) for out number 3",0,2,,1,
4,37,Kyle Kasser,BOTTOM,"Ball, Ball, Called Strike, Ball, 37 Kyle Kasser putout (4-3) for out number 1",3,1,,,1
5,7,Matt Lloyd,BOTTOM,"Ball, Foul, Ball, 7 Matt Lloyd putout (6-3) for out number 2",2,1,,,1
6,8,Vince Fernandez,BOTTOM,8 Vince Fernandez putout (P5) for out number 3,0,0,,,1
7,11,Jabari Henry,TOP,"Called Strike, Ball, Ball, Ball, Foul, 11 Jabari Henry putout (4-1) for out number 1",3,2,,1,
8,5,Trevor Achenbach,TOP,5 Trevor Achenbach putout (P4) for out number 2,0,0,,1,
9,0,Osvaldo Martinez,TOP,"Ball, Called Strike, Ball, 0 Osvaldo Martinez advances to 1st (single to center field)",2,1,1,,
10,16,Hunter Clanin,TOP,"Ball, Foul, 16 Hunter Clanin putout (P3) for out number 3",1,1,,1,
11,6,Tyler Rando,BOTTOM,"Swinging Strike, 6 Tyler Rando putout (fly out toright field) for out number 1",0,1,,,1
12,18,Daniel Perez,BOTTOM,"Called Strike, 18 Daniel Perez putout (4-3) for out number 2",0,1,,,1
13,33,Jake Ortega,BOTTOM,"Called Strike, Ball, Foul, 33 Jake Ortega putout (fly out to right field) for out number 3",1,2,,,1
14,2,Marshall Rich,TOP,"Foul, Swinging Strike, Ball, Ball, 2 Marshall Richputout (fly out to center field) for out number 1",2,2,,1,
15,1,Wyatt Ulrich,TOP,"Called Strike, Foul, 1 Wyatt Ulrich advances to 1st (single to shortstop), 1 Wyatt Ulrich putout (1-3) for out number 2",0,2,1,1,
16,21,Darnell Sweeney,TOP,"Pickoff attempt at 1st base (pitcher to first baseman), Ball, Ball, Swinging Strike, Ball, Foul, 21Darnell Sweeney putout (strike out swinging) for out number 3",3,2,,1,
17,1,Chase Harris,BOTTOM,"Called Strike, Foul, Foul, 1 Chase Harris putout (strike out swinging) for out number 1",0,2,,,1
18,17,Jake Sanford,BOTTOM,"Ball, Called Strike, Ball, Foul, Ball, 17 Jake Sanford advances to 1st (walk)",3,2,,,
19,11,Delvin Zinn,BOTTOM,"Foul, Ball, 17 Jake Sanford advances to 2nd (11),11 Delvin Zinn putout (6-3) for out number 2",1,1,,,1
20,37,Kyle Kasser,BOTTOM,"Ball, Ball, Ball, 37 Kyle Kasser advances to 1st (walk)",3,0,,,
21,7,Matt Lloyd,BOTTOM,"Ball, 7 Matt Lloyd putout (fly out to right field)for out number 3",1,0,,,1
22,3,Jordan Barth,TOP,"Foul, 3 Jordan Barth putout (fly out to left field) for out number 1",0,1,,1,
23,15,Welington Dotel,TOP,15 Welington Dotel putout (1-3) for out number 2,0,0,,1,
24,11,Jabari Henry,TOP,"Ball, Ball, Ball, Called Strike, Called Strike, 11Jabari Henry advances to 1st (walk)",3,2,,,
25,5,Trevor Achenbach,TOP,"Called Strike, Ball, Called Strike, Foul, 5 TrevorAchenbach putout (fly out to center field) for out number 3",1,2,,1,
26,8,Vince Fernandez,BOTTOM,"Ball, Foul, Foul, Foul, Ball, 8 Vince Fernandez Scores Earned (home run)",2,2,1,,
27,6,Tyler Rando,BOTTOM,"Called Strike, Ball, 6 Tyler Rando advances to 1st(single to center field)",1,1,1,,
28,18,Daniel Perez,BOTTOM,"Called Strike, Ball, 18 Daniel Perez putout (P5) for out number 1",1,1,,,1
29,33,Jake Ortega,BOTTOM,"Ball, Ball, Ball, Called Strike, 33 Jake Ortega advances to 1st (walk), 6 Tyler Rando advances to 2nd (33)",3,1,,,
30,1,Chase Harris,BOTTOM,"Ball, Ball, Ball, Called Strike, 1 Chase Harris advances to 1st (walk), 33 Jake Ortega advances to 2nd (1), 6 Tyler Rando advances to 3rd (1)",3,1,,,
31,17,Jake Sanford,BOTTOM,"Ball, Ball, Swinging Strike, Foul, Foul, Foul, 17Jake Sanford putout (P6) for out number 2",2,2,,,1
32,11,Delvin Zinn,BOTTOM,"Ball, Called Strike, Ball, Ball, Called Strike, Foul, 11 Delvin Zinn putout (strike out) for out number 3",3,2,,,1
33,0,Osvaldo Martinez,TOP,"Ball, Ball, Called Strike, Ball, 0 Osvaldo Martinez advances to 1st (single to center field)",3,1,1,,
34,16,Hunter Clanin,TOP,"Swinging Strike, Swinging Strike, Foul, Ball, Ball, Ball, Foul, 16 Hunter Clanin advances to 1st (walk), 0 Osvaldo Martinez advances to 2nd (16)",3,2,,,
35,2,Marshall Rich,TOP,"Ball, 2 Marshall Rich putout (P5) for out number 1",1,0,,1,
