Index,Number,Name,Inning,Description,Balls,Strikes,Hits,Out # TOP,Out # BOTTOM,Pitcher Top,Pitcher Bottom
1,8,Dayson Croes,TOP,"Called Strike, Called Strike, 8 Dayson Croes putout (fly out to center field) for out number 1",0,2,,1,,Mitchell Walters,
2,1,Andy Armstrong,TOP,"Foul, Called Strike, Ball, 1 Andy Armstrong putout(5-3) for out number 2",1,2,,1,,Mitchell Walters,
3,13,Max Murphy,TOP,"Foul, 13 Max Murphy putout (fly out to right field) for out number 3",0,1,,1,,Mitchell Walters,
4,21,Darnell Sweeney,BOTTOM,"Called Strike, Ball, 21 Darnell Sweeney putout (PF7) for out number 1",1,1,,,1,,J Matulovich
5,15,Welington Dotel,BOTTOM,"Called Strike, Ball, 15 Welington Dotel advances to 1st (single)",1,1,1,,,,J Matulovich
6,20,Mike Hart,BOTTOM,"Called Strike, 15 Welington Dotel advances to 2nd(stolen base), Foul, Ball, Foul, Ball, 20 Mike Hart putout (strike out swinging) for out number 2",2,2,,,1,,J Matulovich
7,11,Jabari Henry,BOTTOM,"Ball, Ball, Swinging Strike, 11 Jabari Henry putout (5-3) for out number 3",2,1,,,1,,J Matulovich
8,20,Jacob Bockelie,TOP,"Ball, Called Strike, Ball, 20 Jacob Bockelie putout (fly out to right field) for out number 1",2,1,,1,,Mitchell Walters,
9,26,Sherman Graves,TOP,"Called Strike, Swinging Strike, 26 Sherman Gravesputout (strike out) for out number 2",0,2,,1,,Mitchell Walters,
10,9,Jackson Smith,TOP,"Ball, 9 Jackson Smith putout (5-3) for out number3",1,0,,1,,Mitchell Walters,
11,3,Jordan Barth,BOTTOM,"Swinging Strike, Foul, 3 Jordan Barth advances to2nd (double)",0,2,1,,,,J Matulovich
12,5,Trevor Achenbach,BOTTOM,"Ball, Swinging Strike, Ball, Foul, Foul, 5 TrevorAchenbach advances to 1st (single), 3 Jordan BarthScores Earned (5)",2,2,1,,,,J Matulovich
13,16,Hunter Clanin,BOTTOM,"16 Hunter Clanin advances to 1st (single), 5 Trevor Achenbach advances to 3rd (16)",0,0,1,,,,J Matulovich
14,35,Shamoy Christopher,BOTTOM,"Ball, 16 Hunter Clanin advances to 2nd (stolen base), Called Strike, Foul, Foul, 16 Hunter Clanin advances to 3rd (35), 5 Trevor Achenbach Scores Earned (35), 35 Shamoy Christopher putout (4-3) for out number 1",1,2,,,1,,J Matulovich
15,0,Osvaldo Martinez,BOTTOM,"Swinging Strike, Ball, Foul, Foul, 0 Osvaldo Martinez putout (6-3) for out number 2",1,2,,,1,,J Matulovich
16,21,Darnell Sweeney,BOTTOM,"Swinging Strike, Swinging Strike, Ball, Foul, 21 Darnell Sweeney advances to 1st (single), 16 HunterClanin Scores Earned (21)",1,2,1,,,,J Matulovich
