Index,Number,Name,Inning,Description,Balls,Strikes,Hits,Out # TOP,Out # BOTTOM,Pitcher Top,Pitcher Bottom
1,1,Wyatt Ulrich,TOP,"Called Strike, Called Strike, Ball, Foul, Ball, Ball, 1 Wyatt Ulrich putout (strike out) for out number 1",3,2,,1,,K Pilot,
2,3,Jordan Barth,TOP,"Ball, Ball, Ball, Called Strike, Foul, Foul, Foul,Foul, 3 Jordan Barth putout (3-1) for out number2",3,2,,1,,K Pilot,
3,11,Jabari Henry,TOP,"Ball, Called Strike, Foul, Foul, 11 Jabari Henry putout (strike out swinging) for out number 3",1,2,,1,,K Pilot,
4,11,Evan Alexander,BOTTOM,"Called Strike, Foul, Foul, 11 Evan Alexander putout (3U) for out number 1",0,2,,,1,,Akeem Bostick
5,16,Correlle Prime,BOTTOM,"Called Strike, Ball, Ball, Ball, 16 Correlle Primeadvances to 1st (walk)",3,1,,,,,Akeem Bostick
6,26,Scott Schreiber,BOTTOM,"Swinging Strike, Ball, Ball, Pickoff attempt at 1st base (catcher to first baseman), 26 Scott Schreiber putout (fly out to right field) for out number2",2,1,,,1,,Akeem Bostick
7,13,Manuel Boscan,BOTTOM,"Called Strike, Ball, Called Strike, Ball, 16 Correlle Prime advances to 2nd (stolen base), Ball, 13Manuel Boscan putout (strike out swinging) for outnumber 3",3,2,,,1,,Akeem Bostick
8,20,Mike Hart,TOP,"Called Strike, Ball, Foul, 20 Mike Hart advances to 1st (single to left field)",1,2,1,,,K Pilot,
9,21,Darnell Sweeney,TOP,"Swinging Strike, Foul, 21 Darnell Sweeney putout (strike out swinging) for out number 1",0,2,,1,,K Pilot,
10,5,Trevor Achenbach,TOP,"Ball, Ball, Foul, Swinging Strike, 20 Mike Hart advances to 2nd (balk), Ball, 5 Trevor Achenbach advances to 1st (walk)",3,2,,,,K Pilot,
11,16,Hunter Clanin,TOP,"Ball, Called Strike, Foul, Ball, 16 Hunter Claninputout (strike out swinging) for out number 2",2,2,,1,,K Pilot,
12,15,Welington Dotel,TOP,"Called Strike, Ball, Swinging Strike, 15 WelingtonDotel putout (strike out swinging) for out number3",1,2,,1,,K Pilot,
13,4,Leobaldo Pina,BOTTOM,"Swinging Strike, 4 Leobaldo Pina putout (fly out to center field) for out number 1",0,1,,,1,,Akeem Bostick
14,1,Alec Olund,BOTTOM,"Called Strike, Ball, Ball, Ball, 1 Alec Olund advances to 1st (walk)",3,1,,,,,Akeem Bostick
15,3,Nick Novak,BOTTOM,"1 Alec Olund putout (4-6) for out number 2, 3 NickNovak putout (4-6-3 DP) for out number 3",0,0,,,1,,Akeem Bostick
16,29,Spencer Sarringar,TOP,"Called Strike, Foul, Ball, Ball, Ball, 29 SpencerSarringar advances to 1st (walk)",3,2,,,,K Pilot,
17,1,Wyatt Ulrich,TOP,"Ball, Called Strike, Foul, 1 Wyatt Ulrich advancesto 1st (single to left field), 29 Spencer Sarringar advances to 2nd (1)",1,2,1,,,K Pilot,
18,3,Jordan Barth,TOP,"3 Jordan Barth advances to 1st (hit by pitch), 1 Wyatt Ulrich advances to 2nd (3), 29 Spencer Sarringar advances to 3rd (3)",0,0,,,,K Pilot,
19,11,Jabari Henry,TOP,"Foul, Swinging Strike, Ball, 11 Jabari Henry putout (strike out swinging) for out number 1",1,2,,1,,K Pilot,
20,20,Mike Hart,TOP,"Ball, Foul, Foul, Foul, Ball, 20 Mike Hart putout(strike out swinging) for out number 2",2,2,,1,,K Pilot,
21,21,Darnell Sweeney,TOP,"Foul, 21 Darnell Sweeney putout (fly out to left field) for out number 3",0,1,,1,,K Pilot,
