Index,Number,Name,Inning,Description,Balls,Strikes,Hits,Out # TOP,Out # BOTTOM,Pitcher Top,Pitcher Bottom
1,4,Aaron Whitefield,TOP,"Called Strike, Foul, Foul, Foul, Foul, Ball, Foul,4 Aaron Whitefield putout (strike out swinging) for out number 1",1,2,,1,,J Tripp,
2,3,Jordan Barth,TOP,"Called Strike, 3 Jordan Barth putout (fly out to left field) for out number 2",0,1,,1,,J Tripp,
3,11,Jabari Henry,TOP,"Called Strike, Ball, 11 Jabari Henry putout (3U) for out number 3",1,1,,1,,J Tripp,
4,20,Brian Klein,BOTTOM,"Ball, 20 Brian Klein advances to 1st (single)",1,0,1,,,,Ty Culbreth
5,14,Zach Nehrir,BOTTOM,"Swinging Strike, Swinging Strike, Ball, Ball, Foul, 14 Zach Nehrir advances to 1st (single), 20 Brian Klein advances to 2nd (14)",2,2,1,,,,Ty Culbreth
6,3,Hill Alexander,BOTTOM,"Called Strike, 3 Hill Alexander putout (fly out toright field) for out number 1",0,1,,,1,,Ty Culbreth
7,19,Bret Boswell,BOTTOM,"Ball, Swinging Strike, Ball, 20 Brian Klein advances to 3rd (19), 19 Bret Boswell putout (fly out tocenter field) for out number 2",2,1,,,1,,Ty Culbreth
8,30,Jose Sermo,BOTTOM,"Ball, 30 Jose Sermo putout (4-3) for out number 3",1,0,,,1,,Ty Culbreth
9,21,Darnell Sweeney,TOP,"Ball, Called Strike, 21 Darnell Sweeney putout (3U) for out number 1",1,1,,1,,J Tripp,
10,5,Trevor Achenbach,TOP,"Called Strike, 5 Trevor Achenbach putout (fly outto center field) for out number 2",0,1,,1,,J Tripp,
11,16,Hunter Clanin,TOP,"Called Strike, Swinging Strike, Foul, Ball, 16 Hunter Clanin putout (strike out swinging) for out number 3",1,2,,1,,J Tripp,
12,29,Ryan Hernandez,BOTTOM,"Foul, Ball, Foul, Foul, Ball, Ball, 29 Ryan Hernandez advances to 1st (walk)",3,2,,,,,Ty Culbreth
13,9,Guillermo Quintana,BOTTOM,"Ball, Swinging Strike, Foul, Foul, 9 Guillermo Quintana putout (strike out swinging) for out number1",1,2,,,1,,Ty Culbreth
14,24,Mark Karaviotis,BOTTOM,"Swinging Strike, Called Strike, 24 Mark Karaviotisadvances to 1st (fielder's choice), 29 Ryan Hernandez putout (5-4) for out number 2",0,2,,,1,,Ty Culbreth
15,4,Blaze Brothers,BOTTOM,"Called Strike, Swinging Strike, Ball, 4 Blaze Brothers putout (fly out to left field) for out number3",1,2,,,1,,Ty Culbreth
16,15,Logan Eickhoff,TOP,"Called Strike, Swinging Strike, 15 Logan Eickhoffputout (strike out swinging) for out number 1",0,2,,1,,J Tripp,
