Index,Number,Name,Inning,Description,Balls,Strikes,Hits,Out # TOP,Out # BOTTOM,Pitcher Top,Pitcher Bottom
1,1,Wyatt Ulrich,TOP,"Called Strike, 1 Wyatt Ulrich advances to 1st (single), 1 Wyatt Ulrich advances to 2nd (error by thepitcher)",0,1,1,,,J Miller,
2,0,Osvaldo Martinez,TOP,"Called Strike, Ball, Ball, 0 Osvaldo Martinez putout (fly out to left field) for out number 1",2,1,,1,,J Miller,
3,21,Darnell Sweeney,TOP,"Ball, Ball, Called Strike, Foul, Ball, Foul, 21 Darnell Sweeney advances to 2nd (double), 1 Wyatt Ulrich advances to 3rd (), 1 Wyatt Ulrich Scores Earned (21)",3,2,1,,,J Miller,
4,15,Welington Dotel,TOP,"Ball, Called Strike, 21 Darnell Sweeney advances to 3rd (15), 15 Welington Dotel putout (1-4-3) forout number 2",1,1,,1,,J Miller,
5,20,Mike Hart,TOP,"Called Strike, Swinging Strike, Foul, 20 Mike Hartputout (strike out swinging) for out number 3",0,2,,1,,J Miller,
6,9,Johneshwy Fargas,BOTTOM,"Ball, Foul, 9 Johneshwy Fargas advances to 1st (single)",1,1,1,,,,Neil Lang
7,10,Jan Hernandez,BOTTOM,"Ball, Ball, 10 Jan Hernandez advances to 1st (fielder's choice), 9 Johneshwy Fargas putout (5-4) forout number 1",2,0,,,1,,Neil Lang
8,7,Chris Herrmann,BOTTOM,"Ball, Swinging Strike, Foul, Ball, 7 Chris Herrmann advances to 1st (single), 10 Jan Hernandez advances to 2nd (), 10 Jan Hernandez advances to 3rd (7)",2,2,1,,,,Neil Lang
9,17,Gavin Collins,BOTTOM,"Called Strike, Foul, 17 Gavin Collins advances to1st (single), 7 Chris Herrmann advances to 2nd (17), 10 Jan Hernandez Scores Earned (17)",0,2,1,,,,Neil Lang
10,6,Keon Broxton,BOTTOM,"Ball, Ball, 7 Chris Herrmann Scores Earned (6), 17Gavin Collins Scores Earned (6), 6 Keon Broxton Scores Earned (home run)",2,0,1,,,,Neil Lang
11,14,Micker Adolfo,BOTTOM,"Ball, Ball, 14 Micker Adolfo advances to 1st (single)",2,0,1,,,,Neil Lang
