Index,Number,Name,Inning,Description,Balls,Strikes,Hits,Out # TOP,Out # BOTTOM,Pitcher Top,Pitcher Bottom
1,5,Scott Ota,TOP,"Called Strike, 5 Scott Ota putout (4-3) for out number 1",0,1,,1,,Mitchell Walters,
2,7,Matt Lloyd,TOP,"Ball, Called Strike, Foul, 7 Matt Lloyd putout (strike out) for out number 2",1,2,,1,,Mitchell Walters,
3,25,John Nogowski,TOP,25 John Nogowski advances to 1st (single),0,0,1,,,Mitchell Walters,
4,6,Tyler Rando,TOP,"Called Strike, Ball, 6 Tyler Rando advances to 1st(single), 25 John Nogowski advances to 2nd (6)",1,1,1,,,Mitchell Walters,
5,8,Vince Fernandez,TOP,"Ball, Called Strike, Ball, Swinging Strike, Ball,8 Vince Fernandez advances to 1st (walk), 6 TylerRando advances to 2nd (8), 25 John Nogowski advances to 3rd (8)",3,2,,,,Mitchell Walters,
6,37,Kyle Kasser,TOP,"Foul, Foul, 37 Kyle Kasser putout (strike out) forout number 3",0,2,,1,,Mitchell Walters,
7,0,Osvaldo Martinez,BOTTOM,"Called Strike, Foul, 0 Osvaldo Martinez putout (5-3) for out number 1",0,2,,,1,,J Wetherbee
8,3,Jordan Barth,BOTTOM,"Swinging Strike, Ball, Called Strike, 3 Jordan Barth putout (4-3) for out number 2",1,2,,,1,,J Wetherbee
9,11,Jabari Henry,BOTTOM,"Ball, Ball, Called Strike, Ball, 11 Jabari Henry advances to 1st (walk)",3,1,,,,,J Wetherbee
10,20,Mike Hart,BOTTOM,"Foul, Ball, Called Strike, 20 Mike Hart putout (5-3) for out number 3",1,2,,,1,,J Wetherbee
11,24,Wilfredo Gimenez,TOP,"Ball, Called Strike, 24 Wilfredo Gimenez putout (5-3) for out number 1",1,1,,1,,Mitchell Walters,
12,4,Miguel Sierra,TOP,"Ball, Ball, Ball, Called Strike, Called Strike, 4Miguel Sierra advances to 1st (walk)",3,2,,,,Mitchell Walters,
13,1,Chase Harris,TOP,"Ball, Ball, Ball, 1 Chase Harris advances to 1st (walk), 4 Miguel Sierra advances to 2nd (1)",3,0,,,,Mitchell Walters,
14,5,Scott Ota,TOP,"Called Strike, Foul, 5 Scott Ota advances to 3rd (triple), 4 Miguel Sierra Scores Earned (5), 1 Chase Harris Scores Earned (5)",0,2,1,,,Mitchell Walters,
15,7,Matt Lloyd,TOP,"Swinging Strike, Foul, 7 Matt Lloyd advances to 1st (single), 5 Scott Ota Scores Earned (7)",0,2,1,,,Mitchell Walters,
16,25,John Nogowski,TOP,"Ball, Ball, Ball, Foul, 25 John Nogowski advancesto 1st (single), 7 Matt Lloyd advances to 3rd (26)",3,1,1,,,Mitchell Walters,
17,6,Tyler Rando,TOP,"Ball, Called Strike, 6 Tyler Rando advances to 1st(single), 25 John Nogowski advances to 3rd (6), 7Matt Lloyd Scores Earned (6)",1,1,1,,,Mitchell Walters,
18,8,Vince Fernandez,TOP,"Ball, Foul, Ball, Called Strike, 8 Vince Fernandezputout (strike out swinging) for out number 2",2,2,,1,,Mitchell Walters,
19,37,Kyle Kasser,TOP,"Called Strike, Foul, Foul, 37 Kyle Kasser advancesto 1st (error by the left fielder), 6 Tyler Randoadvances to 3rd (37), 25 John Nogowski Scores Unearned (37)",0,2,,,,Mitchell Walters,
20,24,Wilfredo Gimenez,TOP,"Ball, Ball, Called Strike, Ball, Foul, 24 WilfredoGimenez putout (6-3) for out number 3",3,2,,1,,Mitchell Walters,
21,5,Trevor Achenbach,BOTTOM,"Ball, Ball, Foul, Swinging Strike, Foul, 5 TrevorAchenbach putout (fly out to center field) for outnumber 1",2,2,,,1,,J Wetherbee
22,16,Hunter Clanin,BOTTOM,"Ball, Foul, Foul, 16 Hunter Clanin putout (strikeout swinging) for out number 2",1,2,,,1,,J Wetherbee
23,15,Logan Eickhoff,BOTTOM,"Called Strike, 15 Logan Eickhoff putout (L3) for out number 3",0,1,,,1,,J Wetherbee
24,4,Miguel Sierra,TOP,"Foul, Foul, Ball, 4 Miguel Sierra putout (strike out) for out number 1",1,2,,1,,Mitchell Walters,
25,1,Chase Harris,TOP,"Ball, Called Strike, 1 Chase Harris putout (fly out to left field) for out number 2",1,1,,1,,Mitchell Walters,
26,5,Scott Ota,TOP,"Ball, Called Strike, Foul, 5 Scott Ota putout (4-3) for out number 3",1,2,,1,,Mitchell Walters,
27,35,Shamoy Christopher,BOTTOM,35 Shamoy Christopher putout (fly out to center field) for out number 1,0,0,,,1,,J Wetherbee
28,4,Cole Pengilly,BOTTOM,4 Cole Pengilly advances to 1st (single),0,0,1,,,,J Wetherbee
29,0,Osvaldo Martinez,BOTTOM,"Called Strike, 0 Osvaldo Martinez advances to 1st(fielder's choice), 4 Cole Pengilly putout (4-6) for out number 2",0,1,,,1,,J Wetherbee
30,3,Jordan Barth,BOTTOM,"Ball, 3 Jordan Barth advances to 2nd (double), 0 Osvaldo Martinez Scores Earned (error by the rightfielder)",1,0,1,,,,J Wetherbee
31,11,Jabari Henry,BOTTOM,"Called Strike, Swinging Strike, Ball, Ball, 11 Jabari Henry putout (strike out swinging) for out number 3",2,2,,,1,,J Wetherbee
32,7,Matt Lloyd,TOP,"Called Strike, Called Strike, 7 Matt Lloyd putout(5-3) for out number 1",0,2,,1,,Mitchell Walters,
33,25,John Nogowski,TOP,"Ball, Ball, Called Strike, Ball, 25 John Nogowskiadvances to 1st (walk)",3,1,,,,Mitchell Walters,
34,6,Tyler Rando,TOP,"6 Tyler Rando advances to 2nd (double), 25 John Nogowski advances to 3rd (6)",0,0,1,,,Mitchell Walters,
35,8,Vince Fernandez,TOP,"Ball, Ball, Ball, Called Strike, 8 Vince Fernandezadvances to 1st (walk)",3,1,,,,Mitchell Walters,
36,37,Kyle Kasser,TOP,37 Kyle Kasser putout (P5) for out number 2,0,0,,1,,Mitchell Walters,
37,24,Wilfredo Gimenez,TOP,"Ball, Ball, Ball, Called Strike, 24 Wilfredo Gimenez advances to 2nd (double), 25 John Nogowski Scores Earned (24), 6 Tyler Rando Scores Earned (24),8 Vince Fernandez Scores Earned (24)Pitching Substitution    26 Angel Lebron subs for Mitchell Walters Pitcher.",3,1,1,,,Mitchell Walters,
38,4,Miguel Sierra,TOP,"Called Strike, Called Strike, Ball, Foul, 4 MiguelSierra advances to 2nd (double), 24 Wilfredo Gimenez Scores Earned (4)",1,2,1,,,Angel Lebron,
39,1,Chase Harris,TOP,1 Chase Harris putout (5-3) for out number 3,0,0,,1,,Angel Lebron,
40,20,Mike Hart,BOTTOM,"Ball, Ball, Ball, 20 Mike Hart advances to 1st (walk)",3,0,,,,,J Wetherbee
41,5,Trevor Achenbach,BOTTOM,"Swinging Strike, Ball, Foul, Ball, 20 Mike Hart putout (5-4) for out number 1, 5 Trevor Achenbach putout (5-4-3 DP) for out number 2",2,2,,,1,,J Wetherbee
42,16,Hunter Clanin,BOTTOM,"Called Strike, Swinging Strike, Ball, 16 Hunter Clanin putout (strike out swinging) for out number 3",1,2,,,1,,J Wetherbee
43,5,Scott Ota,TOP,"Ball, Called Strike, Ball, Ball, 5 Scott Ota putout (fly out to center field) for out number 1",3,1,,1,,Angel Lebron,
44,7,Matt Lloyd,TOP,"Ball, Ball, Called Strike, Called Strike, Foul, Ball, 7 Matt Lloyd advances to 1st (hit by pitch)",3,2,,,,Angel Lebron,
45,25,John Nogowski,TOP,"Foul, Ball, 25 John Nogowski putout (fly out to right field) for out number 2",1,1,,1,,Angel Lebron,
46,6,Tyler Rando,TOP,"Ball, Ball, Ball, Called Strike, 6 Tyler Rando advances to 1st (walk), 7 Matt Lloyd advances to 2nd(6)",3,1,,,,Angel Lebron,
47,8,Vince Fernandez,TOP,"Ball, Called Strike, Foul, Ball, Ball, Foul, 6 Tyler Rando advances to 2nd (7), 7 Matt Lloyd advances to 3rd (balk), Foul, Foul, Foul, 8 Vince Fernandez advances to 1st (walk)",3,2,,,,Angel Lebron,
48,37,Kyle Kasser,TOP,"Ball, Called Strike, 37 Kyle Kasser putout (fly out to right field) for out number 3",1,1,,1,,Angel Lebron,
49,15,Logan Eickhoff,BOTTOM,"Called Strike, Ball, Called Strike, 15 Logan Eickhoff putout (P3) for out number 1",1,2,,,1,,B Munoz
50,35,Shamoy Christopher,BOTTOM,"Ball, 35 Shamoy Christopher putout (P3) for out number 2",1,0,,,1,,B Munoz
51,4,Cole Pengilly,BOTTOM,"Called Strike, Foul, Ball, 4 Cole Pengilly advances to 2nd (double)",1,2,1,,,,B Munoz
52,0,Osvaldo Martinez,BOTTOM,"Ball, Swinging Strike, 0 Osvaldo Martinez putout (4-3) for out number 3",1,1,,,1,,B Munoz
53,24,Wilfredo Gimenez,TOP,"Called Strike, Swinging Strike, Ball, Ball, Ball,24 Wilfredo Gimenez putout (6-3) for out number 1",3,2,,1,,Angel Lebron,
54,4,Miguel Sierra,TOP,"Ball, Ball, Swinging Strike, Called Strike, 4 Miguel Sierra putout (strike out swinging) for out number 2",2,2,,1,,Angel Lebron,
55,1,Chase Harris,TOP,"Ball, Called Strike, Ball, Ball, 1 Chase Harris advances to 1st (walk)",3,1,,,,Angel Lebron,
