Index,Number,Name,Inning,Description,Balls,Strikes,Hits,Out # TOP,Out # BOTTOM,Pitcher Top,Pitcher Bottom
1,8,Armond Upshaw,TOP,"Called Strike, Foul, Ball, Ball, Ball, Foul, 8 Armond Upshaw putout (fly out to right field) for outnumber 1",3,2,,1,,Mitchell Walters,
2,2,Cornelius Randolph,TOP,2 Cornelius Randolph putout (4-3) for out number 2,0,0,,1,,Mitchell Walters,
3,33,Todd Lott,TOP,"Ball, Swinging Strike, 33 Todd Lott advances to 1st (single)",1,1,1,,,Mitchell Walters,
4,14,Jonah Davis,TOP,14 Jonah Davis putout (3un) for out number 3,0,0,,1,,Mitchell Walters,
5,0,Osvaldo Martinez,BOTTOM,"Ball, Called Strike, 0 Osvaldo Martinez advances to 1st (single)",1,1,1,,,,N Belzer
6,3,Jordan Barth,BOTTOM,"Ball, Ball, Called Strike, 3 Jordan Barth advancesto 1st (fielder's choice), 0 Osvaldo Martinez putout (6-4) for out number 1",2,1,,,1,,N Belzer
7,11,Jabari Henry,BOTTOM,"Ball, Ball, Ball, Called Strike, 11 Jabari Henry putout (L9 Dp) for out number 2, 3 Jordan Barth putout (9-4-3 DP) for out number 3",3,1,,,1,,N Belzer
8,26,Donivan Williams,TOP,"Called Strike, 26 Donivan Williams putout (fly outto left field) for out number 1",0,1,,1,,Mitchell Walters,
9,7,Josh Allen,TOP,"Ball, Foul, Foul, 7 Josh Allen Scores Earned (homerun)",1,2,,,,Mitchell Walters,
10,15,Hector Sanchez,TOP,"Ball, Ball, Called Strike, 15 Hector Sanchez putout (fly out to right field) for out number 2",2,1,,1,,Mitchell Walters,
11,6,Olivier Basabe,TOP,"Ball, Foul, Ball, Ball, Foul, Foul, 6 Olivier Basabe advances to 1st (walk)",3,2,,,,Mitchell Walters,
12,1,Galli Cribbs,TOP,"Jr.     Foul, 6 Olivier Basabe Scores Earned (1), 1 GalliCribbs Jr. Scores Earned (home run)",0,1,1,,,Mitchell Walters,
13,8,Armond Upshaw,TOP,"Called Strike, Swinging Strike, 8 Armond Upshaw putout (strike out) for out number 3",0,2,,1,,Mitchell Walters,
14,20,Mike Hart,BOTTOM,"Called Strike, Swinging Strike, Ball, Ball, Ball,20 Mike Hart putout (4-3) for out number 1",3,2,,,1,,N Belzer
15,21,Darnell Sweeney,BOTTOM,"Ball, 21 Darnell Sweeney putout (3un) for out number 2",1,0,,,1,,N Belzer
16,5,Trevor Achenbach,BOTTOM,"Called Strike, Foul, Ball, 5 Trevor Achenbach putout (strike out) for out number 3",1,2,,,1,,N Belzer
17,2,Cornelius Randolph,TOP,"Ball, Called Strike, Called Strike, Ball, 2 Cornelius Randolph putout (4-3) for out number 1",2,2,,1,,Mitchell Walters,
18,33,Todd Lott,TOP,"Swinging Strike, Foul, Ball, Foul, Ball, 33 Todd Lott putout (fly out to left field) for out number2",2,2,,1,,Mitchell Walters,
19,14,Jonah Davis,TOP,"Foul, Foul, Foul, 14 Jonah Davis putout (strike out) for out number 3",0,2,,1,,Mitchell Walters,
20,16,Hunter Clanin,BOTTOM,"Ball, Called Strike, Ball, Called Strike, 16 Hunter Clanin advances to 2nd (double)",2,2,1,,,,N Belzer
21,35,Shamoy Christopher,BOTTOM,"Ball, Foul, Foul, Ball, 16 Hunter Clanin advancesto 3rd (35), 35 Shamoy Christopher putout (4-3) for out number 1",2,2,,,1,,N Belzer
22,1,Wyatt Ulrich,BOTTOM,"Ball, Foul, 1 Wyatt Ulrich advances to 1st (single), 16 Hunter Clanin Scores Earned (1)",1,1,1,,,,N Belzer
23,0,Osvaldo Martinez,BOTTOM,"Ball, Ball, Ball, 0 Osvaldo Martinez advances to 1st (walk), 1 Wyatt Ulrich advances to 2nd (0)",3,0,,,,,N Belzer
24,3,Jordan Barth,BOTTOM,"Ball, Ball, Called Strike, Foul, Ball, 3 Jordan Barth putout (strike out swinging) for out number 2",3,2,,,1,,N Belzer
25,11,Jabari Henry,BOTTOM,"0 Osvaldo Martinez Scores Earned (11), 11 Jabari Henry Scores Earned (home run), 1 Wyatt Ulrich Scores Earned (11)",0,0,1,,,,N Belzer
26,20,Mike Hart,BOTTOM,"Called Strike, 20 Mike Hart Scores Earned (home run)",0,1,1,,,,N Belzer
27,21,Darnell Sweeney,BOTTOM,"Foul, Ball, Ball, Ball, 21 Darnell Sweeney advances to 1st (walk)",3,1,,,,,N Belzer
28,5,Trevor Achenbach,BOTTOM,"Called Strike, Foul, Ball, Ball, Ball, 21 DarnellSweeney putout (caught stealing: CS 2-4) for out number 3",3,2,,,1,,N Belzer
29,26,Donivan Williams,TOP,"Ball, Ball, Ball, Called Strike, Called Strike, 26Donivan Williams putout (strike out) for out number 1",3,2,,1,,Mitchell Walters,
30,7,Josh Allen,TOP,"Swinging Strike, Swinging Strike, Ball, 7 Josh Allen putout (fly out to right field) for out number2",1,2,,1,,Mitchell Walters,
