Index,Number,Name,Inning,Description,Balls,Strikes,Hits,Out # TOP,Out # BOTTOM,Pitcher Top,Pitcher Bottom
1,8,Dayson Croes,TOP,"Called Strike, 8 Dayson Croes putout (1-3) for outnumber 1",0,1,,1,,Mitchell Walters,
2,1,Andy Armstrong,TOP,"Ball, Foul, Ball, 1 Andy Armstrong putout (4-3) for out number 2",2,1,,1,,Mitchell Walters,
3,13,Max Murphy,TOP,"Ball, 13 Max Murphy advances to 1st (single)",1,0,1,,,Mitchell Walters,
4,14,Miles Simington,TOP,"Called Strike, Ball, Foul, Foul, 14 Miles Simington putout (fly out to center field) for out number3",1,2,,1,,Mitchell Walters,
5,4,Aaron Whitefield,BOTTOM,"Ball, Ball, Ball, 4 Aaron Whitefield advances to 1st (walk)",3,0,,,,,J Palmer
6,3,Jordan Barth,BOTTOM,"Ball, Ball, Called Strike, 4 Aaron Whitefield advances to 2nd (stolen base), Foul, Ball, 3 Jordan Barth putout (strike out swinging) for out number 1",3,2,,,1,,J Palmer
7,11,Jabari Henry,BOTTOM,"Ball, Ball, Called Strike, 4 Aaron Whitefield advances to 3rd (stolen base), Ball, 11 Jabari Henry advances to 1st (walk)",3,1,,,,,J Palmer
8,20,Mike Hart,BOTTOM,"Ball, Ball, Ball, 20 Mike Hart advances to 1st (walk), 11 Jabari Henry advances to 2nd (20)Pitching Substitution    25 Nolan LaMere subs for James Palmer Pitcher.",3,0,,,,,J Palmer
9,21,Darnell Sweeney,BOTTOM,"Foul, Ball, Foul, Foul, 21 Darnell Sweeney putout(strike out) for out number 2",1,2,,,1,,N LaMere
10,5,Trevor Achenbach,BOTTOM,"Ball, Ball, Called Strike, Ball, 5 Trevor Achenbach advances to 1st (walk), 20 Mike Hart advances to2nd (5), 11 Jabari Henry advances to 3rd (5), 4 Aaron Whitefield Scores Earned (5)",3,1,,,,,N LaMere
11,16,Hunter Clanin,BOTTOM,"Called Strike, Ball, Ball, Foul, 11 Jabari Henry Scores Earned (16), 20 Mike Hart Scores Earned (16), 5 Trevor Achenbach Scores Earned (16), 16 HunterClanin Scores Earned (home run)",2,2,1,,,,N LaMere
12,35,Shamoy Christopher,BOTTOM,"Foul, 35 Shamoy Christopher advances to 1st (single)",0,1,1,,,,N LaMere
13,0,Osvaldo Martinez,BOTTOM,"Ball, Called Strike, Ball, Ball, 0 Osvaldo Martinez advances to 1st (fielder's choice), 35 Shamoy Christopher putout (5-3) for out number 3",3,1,,,1,,N LaMere
14,4,Chris Burgess,TOP,"Called Strike, Ball, 4 Chris Burgess Scores Earned(home run)",1,1,1,,,Mitchell Walters,
15,27,Hidekel Gonzalez,TOP,"Ball, Ball, Swinging Strike, Foul, 27 Hidekel Gonzalez putout (fly out to right field) for out number 1",2,2,,1,,Mitchell Walters,
16,39,Tommy McCarthy,TOP,"Ball, Ball, Ball, Called Strike, 39 Tommy McCarthyadvances to 1st (walk)",3,1,,,,Mitchell Walters,
