Index,Number,Name,Inning,Description,Balls,Strikes,Hits,Out # TOP,Out # BOTTOM,Pitcher Top,Pitcher Bottom
1,2,Michael Woodworth,TOP,"Ball, 2 Michael Woodworth putout (fly out to leftfield) for out number 1",1,0,,1,,Neil Lang,
2,29,Gio Diaz,TOP,"Called Strike, 29 Gio Diaz advances to 2nd (double)",0,1,1,,,Neil Lang,
3,11,Victor Nova,TOP,"Called Strike, Ball, Foul, 11 Victor Nova putout (5) for out number 2, 29 Gio Diaz putout (5-4 DP) for out number 3",1,2,,1,,Neil Lang,
4,21,Darnell Sweeney,BOTTOM,"Foul, Ball, Ball, Ball, Foul, 21 Darnell Sweeney advances to 1st (walk)",3,2,,,,,E Cuello
5,3,Jordan Barth,BOTTOM,"Ball, Foul, Ball, 3 Jordan Barth putout (P6) for out number 1",2,1,,,1,,E Cuello
6,15,Welington Dotel,BOTTOM,"Foul, Ball, 21 Darnell Sweeney advances to 2nd (15), 15 Welington Dotel putout (1-3) for out number2",1,1,,,1,,E Cuello
7,11,Jabari Henry,BOTTOM,"Ball, Ball, 11 Jabari Henry putout (fly out to center field) for out number 3",2,0,,,1,,E Cuello
8,20,LG Castillo,TOP,20 LG Castillo putout (P3) for out number 1,0,0,,1,,Neil Lang,
9,13,Emmanuel Tapia,TOP,"Called Strike, Swinging Strike, Ball, 13 EmmanuelTapia putout (4-3) for out number 2",1,2,,1,,Neil Lang,
10,25,Jesus Marriaga,TOP,"Swinging Strike, Swinging Strike, Ball, Ball, 25 Jesus Marriaga putout (strike out swinging) for outnumber 3",2,2,,1,,Neil Lang,
11,20,Mike Hart,BOTTOM,"Called Strike, Ball, Ball, Foul, 20 Mike Hart putout (strike out swinging) for out number 1",2,2,,,1,,E Cuello
12,5,Trevor Achenbach,BOTTOM,"Ball, Ball, 5 Trevor Achenbach Scores Earned (homerun)",2,0,,,,,E Cuello
13,16,Hunter Clanin,BOTTOM,"Called Strike, 16 Hunter Clanin putout (fly out toright field) for out number 2",0,1,,,1,,E Cuello
14,33,Tyler Ryan,BOTTOM,33 Tyler Ryan putout (fly out to left field) for out number 3,0,0,,,1,,E Cuello
15,22,Francisco Del,TOP,"Valle Called Strike, Ball, Ball, 22 Francisco Del Valleputout (fly out to right field) for out number 1",2,1,,1,,Neil Lang,
16,14,Marco Hernandez,TOP,14 Marco Hernandez putout (P3) for out number 2,0,0,,1,,Neil Lang,
17,17,Daniel Lingua,TOP,"Called Strike, Ball, 17 Daniel Lingua putout (6-3)for out number 3",1,1,,1,,Neil Lang,
18,0,Osvaldo Martinez,BOTTOM,"Ball, Called Strike, Ball, Ball, Foul, 0 Osvaldo Martinez advances to 1st (single)",3,2,1,,,,E Cuello
19,21,Darnell Sweeney,BOTTOM,"Swinging Strike, Ball, Swinging Strike, Foul, 0 Osvaldo Martinez advances to 2nd (21), 21 Darnell Sweeney putout (3-1) for out number 1",1,2,,,1,,E Cuello
20,3,Jordan Barth,BOTTOM,"Foul, 3 Jordan Barth advances to 1st (single), 0 Osvaldo Martinez advances to 3rd (3)",0,1,1,,,,E Cuello
21,15,Welington Dotel,BOTTOM,"Called Strike, Foul, Ball, 3 Jordan Barth putout (6) for out number 2, 15 Welington Dotel putout (6-3 DP) for out number 3",1,2,,,1,,E Cuello
