Index,Number,Name,Inning,Description,Balls,Strikes,Hits,Out # TOP,Out # BOTTOM,Pitcher Top,Pitcher Bottom
1,1,Bryan Torres,TOP,"Called Strike, 1 Bryan Torres advances to 1st (single)",0,1,1,,,Chris Hardin,
2,14,Cam Balego,TOP,"Called Strike, 14 Cam Balego putout (P5) for out number 1",0,1,,1,,Chris Hardin,
3,7,Roy Morales,TOP,"Ball, Swinging Strike, Swinging Strike, 1 Bryan Torres advances to 2nd (stolen base), 7 Roy Moralesputout (strike out swinging) for out number 2",1,2,,1,,Chris Hardin,
4,13,Miguel Gomez,TOP,"Ball, Foul, Ball, Foul, 13 Miguel Gomez putout (fly out to center field) for out number 3",2,2,,1,,Chris Hardin,
5,0,Osvaldo Martinez,BOTTOM,"Ball, Called Strike, 0 Osvaldo Martinez putout (fly out to center field) for out number 1",1,1,,,1,,K Mora
6,3,Jordan Barth,BOTTOM,"Called Strike, Ball, 3 Jordan Barth putout (6-3) for out number 2",1,1,,,1,,K Mora
7,11,Jabari Henry,BOTTOM,"Called Strike, Called Strike, Ball, 11 Jabari Henry putout (strike out swinging) for out number 3",1,2,,,1,,K Mora
8,21,Gabriel Cancel,TOP,"Called Strike, Ball, Ball, 21 Gabriel Cancel advances to 2nd (double)",2,1,1,,,Chris Hardin,
9,26,Drew Ward,TOP,"Called Strike, 26 Drew Ward advances to 1st (single), 21 Gabriel Cancel Scores Earned (26)",0,1,1,,,Chris Hardin,
10,11,Aaron Hill,TOP,"Ball, 26 Drew Ward advances to 2nd (pass ball), Ball, Swinging Strike, Ball, Foul, Foul, 11 Aaron Hill advances to 1st (walk)",3,2,,,,Chris Hardin,
11,20,Michael Crouse,TOP,"Ball, Called Strike, Ball, Ball, 20 Michael Crouseadvances to 1st (walk), 11 Aaron Hill advances to2nd (20), 26 Drew Ward advances to 3rd (20)",3,1,,,,Chris Hardin,
12,22,Reggie Pruitt,TOP,"Jr.   Foul, Ball, Ball, Foul, Ball, 22 Reggie Pruitt Jr.putout (strike out swinging) for out number 1",3,2,,1,,Chris Hardin,
13,1,Bryan Torres,TOP,"26 Drew Ward Scores Earned (1), 1 Bryan Torres putout (sacrifice fly to center fielder) for out number 2",0,0,,1,,Chris Hardin,
14,14,Cam Balego,TOP,"Ball, Ball, 14 Cam Balego putout (fly out to rightfield) for out number 3",2,0,,1,,Chris Hardin,
15,20,Mike Hart,BOTTOM,"Called Strike, Ball, Ball, Foul, Ball, 20 Mike Hart advances to 1st (walk)",3,2,,,,,K Mora
16,21,Darnell Sweeney,BOTTOM,"Swinging Strike, Swinging Strike, Ball, Ball, Ball, 21 Darnell Sweeney advances to 1st (walk), 20 Mike Hart advances to 2nd (21)",3,2,,,,,K Mora
17,5,Trevor Achenbach,BOTTOM,"5 Trevor Achenbach advances to 1st (fielder's choice), 20 Mike Hart putout (5) for out number 1, 21Darnell Sweeney putout (5-4 DP) for out number 2",0,0,,,1,,K Mora
18,16,Hunter Clanin,BOTTOM,"Called Strike, Foul, Foul, Ball, 5 Trevor Achenbach Scores Earned (16), 16 Hunter Clanin Scores Earned (home run)",1,2,1,,,,K Mora
19,35,Shamoy Christopher,BOTTOM,"Called Strike, 35 Shamoy Christopher putout (fly out to center field) for out number 3",0,1,,,1,,K Mora
20,7,Roy Morales,TOP,"Ball, 7 Roy Morales advances to 1st (single)",1,0,1,,,Chris Hardin,
21,13,Miguel Gomez,TOP,"Called Strike, Ball, Ball, Swinging Strike, 13 Miguel Gomez advances to 1st (single), 7 Roy Moralesadvances to 2nd (13)",2,2,1,,,Chris Hardin,
22,21,Gabriel Cancel,TOP,"21 Gabriel Cancel advances to 1st (single), 13 Miguel Gomez advances to 2nd (21), 7 Roy Morales advances to 3rd (21)",0,0,1,,,Chris Hardin,
23,26,Drew Ward,TOP,"Ball, Ball, Ball, 26 Drew Ward advances to 2nd (double), 21 Gabriel Cancel advances to 3rd (26), 7 Roy Morales Scores Earned (26), 13 Miguel Gomez Scores Earned (26)",3,0,1,,,Chris Hardin,
24,11,Aaron Hill,TOP,"Called Strike, 26 Drew Ward advances to 3rd (11),21 Gabriel Cancel Scores Earned (11), 11 Aaron Hill putout (sacrifice fly to left fielder) for out number 1",0,1,,1,,Chris Hardin,
25,20,Michael Crouse,TOP,"Ball, Called Strike, Ball, Foul, Ball, 20 MichaelCrouse putout (3) for out number 2",3,2,,1,,Chris Hardin,
26,22,Reggie Pruitt,TOP,"Jr.   Called Strike, Ball, Foul, 22 Reggie Pruitt Jr. putout (strike out) for out number 3",1,2,,1,,Chris Hardin,
27,1,Wyatt Ulrich,BOTTOM,"Called Strike, 1 Wyatt Ulrich putout (3U) for outnumber 1",0,1,,,1,,K Mora
28,0,Osvaldo Martinez,BOTTOM,"Called Strike, Ball, 0 Osvaldo Martinez putout (5-3) for out number 2",1,1,,,1,,K Mora
29,3,Jordan Barth,BOTTOM,"Ball, Swinging Strike, Ball, 3 Jordan Barth advances to 1st (error by the shortstop)",2,1,,,,,K Mora
30,11,Jabari Henry,BOTTOM,"Swinging Strike, Ball, Swinging Strike, 3 Jordan Barth Scores Unearned (11), 11 Jabari Henry ScoresUnearned (home run)",1,2,1,,,,K Mora
31,20,Mike Hart,BOTTOM,20 Mike Hart advances to 2nd (double),0,0,1,,,,K Mora
32,21,Darnell Sweeney,BOTTOM,"20 Mike Hart Scores Unearned (21), 21 Darnell Sweeney Scores Unearned (home run)",0,0,1,,,,K Mora
