Index,Number,Name,Inning,Description,Balls,Strikes,Hits,Out # TOP,Out # BOTTOM,Pitcher Top,Pitcher Bottom
1,0,Osvaldo Martinez,TOP,"Called Strike, Ball, Foul, 0 Osvaldo Martinez putout (fly out to right field) for out number 1",1,2,,1,,T Jandron,
2,3,Jordan Barth,TOP,"Called Strike, Ball, 3 Jordan Barth advances to 1st (single to center field)",1,1,1,,,T Jandron,
3,11,Jabari Henry,TOP,"Called Strike, Called Strike, 11 Jabari Henry putout (strike out) for out number 2",0,2,,1,,T Jandron,
4,20,Mike Hart,TOP,"Called Strike, Ball, Called Strike, Ball, 20 MikeHart putout (strike out) for out number 3",2,2,,1,,T Jandron,
5,8,Dayson Croes,BOTTOM,"Ball, Called Strike, Foul, Foul, Ball, 8 Dayson Croes advances to 1st (single to center field)",2,2,1,,,,Neil Lang
6,1,Andy Armstrong,BOTTOM,"Called Strike, 8 Dayson Croes advances to 2nd (1),1 Andy Armstrong putout (SH3) for out number 1",0,1,,,1,,Neil Lang
7,13,Max Murphy,BOTTOM,"Ball, Called Strike, 13 Max Murphy putout (fly outto right field) for out number 2",1,1,,,1,,Neil Lang
8,14,Miles Simington,BOTTOM,"Ball, Foul, Foul, Ball, Foul, Ball, 14 Miles Simington putout (P6) for out number 3",3,2,,,1,,Neil Lang
9,21,Darnell Sweeney,TOP,"Foul, Ball, Called Strike, Ball, Foul, 21 DarnellSweeney advances to 2nd (double to left field)",2,2,1,,,T Jandron,
10,5,Trevor Achenbach,TOP,"Ball, Foul, Ball, Ball, Foul, 5 Trevor Achenbach advances to 1st (walk)",3,2,,,,T Jandron,
11,16,Hunter Clanin,TOP,"Called Strike, Foul, 16 Hunter Clanin advances to1st (single to left field), 5 Trevor Achenbach advances to 2nd (16), 21 Darnell Sweeney advances to3rd (16), 21 Darnell Sweeney Scores Earned (16)",0,2,1,,,T Jandron,
12,35,Shamoy Christopher,TOP,"Foul, Foul, Ball, 16 Hunter Clanin advances to 2nd(35), 5 Trevor Achenbach advances to 3rd (35), 35Shamoy Christopher putout (4-3) for out number 1",1,2,,1,,T Jandron,
13,4,Aaron Whitefield,TOP,"Called Strike, Ball, Foul, 5 Trevor Achenbach Scores Earned (4), 4 Aaron Whitefield putout (sacrifice fly to left fielder) for out number 2",1,2,,1,,T Jandron,
14,0,Osvaldo Martinez,TOP,"Ball, 0 Osvaldo Martinez putout (6-3) for out number 3",1,0,,1,,T Jandron,
15,27,Hidekel Gonzalez,BOTTOM,27 Hidekel Gonzalez putout (5-3) for out number 1,0,0,,,1,,Neil Lang
16,4,Chris Burgess,BOTTOM,"Called Strike, 4 Chris Burgess putout (fly out toright field) for out number 2",0,1,,,1,,Neil Lang
17,17,Najee Gaskins,BOTTOM,"Called Strike, 17 Najee Gaskins putout (5-3) for out number 3",0,1,,,1,,Neil Lang
18,3,Jordan Barth,TOP,"Ball, 3 Jordan Barth putout (L9) for out number 1",1,0,,1,,T Jandron,
19,11,Jabari Henry,TOP,"Ball, Ball, Ball, Called Strike, Swinging Strike,11 Jabari Henry putout (fly out to center field) for out number 2",3,2,,1,,T Jandron,
20,20,Mike Hart,TOP,"Ball, Foul, Ball, Foul, Ball, 20 Mike Hart advances to 1st (walk)",3,2,,,,T Jandron,
21,21,Darnell Sweeney,TOP,"Foul, Swinging Strike, Foul, Ball, Ball, Foul, 21Darnell Sweeney putout (strike out swinging) for out number 3",2,2,,1,,T Jandron,
22,3,Javeyan Williams,BOTTOM,"Foul, Ball, Swinging Strike, Foul, 3 Javeyan Williams putout (strike out) for out number 1",1,2,,,1,,Neil Lang
23,19,Brynn Martinez,BOTTOM,"Called Strike, Ball, Foul, Ball, 19 Brynn Martinezadvances to 1st (single to center field)",2,2,1,,,,Neil Lang
24,8,Dayson Croes,BOTTOM,"Ball, Pickoff attempt at 1st base (pitcher to first baseman), 19 Brynn Martinez advances to 2nd (8),8 Dayson Croes putout (SH1-3) for out number 2",1,0,,,1,,Neil Lang
25,1,Andy Armstrong,BOTTOM,"Ball, Foul, Ball, Foul, 1 Andy Armstrong putout (FP5) for out number 3",2,2,,,1,,Neil Lang
26,5,Trevor Achenbach,TOP,"Called Strike, Foul, Ball, 5 Trevor Achenbach Scores Earned (home run)",1,2,1,,,T Jandron,
27,16,Hunter Clanin,TOP,"Swinging Strike, Ball, Swinging Strike, 16 HunterClanin advances to 1st (single to left field)",1,2,1,,,T Jandron,
28,35,Shamoy Christopher,TOP,"Ball, Swinging Strike, Swinging Strike, 16 HunterClanin advances to 2nd (stolen base), Ball, Ball,35 Shamoy Christopher advances to 1st (single to left field), 16 Hunter Clanin Scores Earned (35)",3,2,1,,,T Jandron,
29,4,Aaron Whitefield,TOP,"Foul, Swinging Strike, Foul, Ball, Foul, Ball, 4 Aaron Whitefield putout (strike out swinging) for out number 1",2,2,,1,,T Jandron,
30,0,Osvaldo Martinez,TOP,"Called Strike, Ball, Called Strike, Foul, 0 Osvaldo Martinez putout (4 Dp) for out number 2, 35 Shamoy Christopher putout (4-3 DP) for out number 3",1,2,,1,,T Jandron,
31,13,Max Murphy,BOTTOM,"Ball, Ball, Ball, 13 Max Murphy advances to 1st (walk)",3,0,,,,,Neil Lang
32,14,Miles Simington,BOTTOM,"Called Strike, Pickoff attempt at 1st base (pitcher to first baseman), Foul, Ball, Ball, Foul, 14 Miles Simington advances to 2nd (double to center field), 13 Max Murphy advances to 3rd (14)",2,2,1,,,,Neil Lang
33,27,Hidekel Gonzalez,BOTTOM,"Called Strike, Ball, Called Strike, 13 Max MurphyScores Earned (27), 27 Hidekel Gonzalez putout (5-3) for out number 1",1,2,,,1,,Neil Lang
