Index,Number,Name,Inning,Description,Balls,Strikes,Hits,Out # TOP,Out # BOTTOM,Pitcher Top,Pitcher Bottom
1,1,Wyatt Ulrich,TOP,"Called Strike, Called Strike, Ball, Ball, 1 WyattUlrich advances to 1st (single to third base)",2,2,1,,,L Bourassa,
2,21,Darnell Sweeney,TOP,"21 Darnell Sweeney advances to 1st (error by the second baseman), 21 Darnell Sweeney advances to 2nd(FC)",0,0,,,,L Bourassa,
3,15,Welington Dotel,TOP,"Swinging Strike, Ball, Ball, 15 Welington Dotel putout (L3) for out number 1",2,1,,1,,L Bourassa,
4,11,Jabari Henry,TOP,"Swinging Strike, Ball, Called Strike, 1 Wyatt Ulrich Scores Unearned (11), 11 Jabari Henry putout (6-4) for out number 2",1,2,,1,,L Bourassa,
5,3,Jordan Barth,TOP,"Swinging Strike, 21 Darnell Sweeney putout (caughtstealing: CS 2-5) for out number 3",0,1,,1,,L Bourassa,
6,8,Dayson Croes,BOTTOM,"Foul, Foul, Ball, Foul, Foul, Foul, 8 Dayson Croesadvances to 1st (single to center field)",1,2,1,,,,DJ Sharabi
7,1,Andy Armstrong,BOTTOM,1 Andy Armstrong putout (1-3 SH) for out number 1,0,0,,,1,,DJ Sharabi
8,13,Max Murphy,BOTTOM,"Called Strike, Ball, Ball, 8 Dayson Croes advancesto 2nd (1), 8 Dayson Croes advances to 3rd (wildpitch), Foul, Foul, Ball, 8 Dayson Croes Scores Earned (13), 13 Max Murphy putout (4-3) for out number 2",3,2,,,1,,DJ Sharabi
9,20,Jacob Bockelie,BOTTOM,"Swinging Strike, Swinging Strike, Ball, Ball, 20 Jacob Bockelie putout (dropped 3rd strike: KS 2-3)for out number 3",2,2,,,1,,DJ Sharabi
10,3,Jordan Barth,TOP,"Ball, Foul, Swinging Strike, 3 Jordan Barth advances to 1st (single)",1,2,1,,,L Bourassa,
11,16,Hunter Clanin,TOP,"Called Strike, Ball, Ball, Swinging Strike, 16 Hunter Clanin putout (strike out swinging) for out number 1",2,2,,1,,L Bourassa,
12,0,Osvaldo Martinez,TOP,"Called Strike, Pickoff attempt at 1st base (pitcher to first baseman), Called Strike, 3 Jordan Barthadvances to 2nd (stolen base), 0 Osvaldo Martinezputout (4-3) for out number 2",0,2,,1,,L Bourassa,
13,5,Trevor Achenbach,TOP,"Called Strike, 3 Jordan Barth advances to 3rd (0),Ball, Ball, Ball, 5 Trevor Achenbach advances to1st (walk)",3,1,,,,L Bourassa,
14,2,Marshall Rich,TOP,"Ball, Ball, 2 Marshall Rich putout (4-3) for out number 3",2,0,,1,,L Bourassa,
15,14,Andrew Shaps,BOTTOM,"Ball, Ball, Ball, Called Strike, Foul, 14 Andrew Shaps advances to 1st (walk)",3,2,,,,,DJ Sharabi
16,4,Chris Burgess,BOTTOM,"Ball, 14 Andrew Shaps advances to 2nd (4), 4 ChrisBurgess putout (G3) for out number 1",1,0,,,1,,DJ Sharabi
17,39,Tommy McCarthy,BOTTOM,"14 Andrew Shaps advances to 3rd (39), 39 Tommy McCarthy putout (4-1) for out number 2",0,0,,,1,,DJ Sharabi
18,3,Javeyan Williams,BOTTOM,"Ball, Ball, Ball, Called Strike, Foul, Foul, 3 Javeyan Williams putout (fly out to left field) for out number 3",3,2,,,1,,DJ Sharabi
19,1,Wyatt Ulrich,TOP,"Ball, Swinging Strike, Foul, 1 Wyatt Ulrich putout(4-3) for out number 1",1,2,,1,,L Bourassa,
20,21,Darnell Sweeney,TOP,"Foul, Foul, 21 Darnell Sweeney putout (strike outswinging) for out number 2",0,2,,1,,L Bourassa,
21,15,Welington Dotel,TOP,"Ball, 15 Welington Dotel putout (4-3) for out number 3",1,0,,1,,L Bourassa,
22,19,Brynn Martinez,BOTTOM,"Foul, 19 Brynn Martinez advances to 1st (hit by pitch)",0,1,,,,,DJ Sharabi
23,8,Dayson Croes,BOTTOM,"Pickoff attempt at 1st base (pitcher to first baseman), Ball, Called Strike, Foul, Foul, Foul, Foul,19 Brynn Martinez advances to 2nd (stolen base),19 Brynn Martinez advances to 3rd (error by the catcher), Ball, Foul, Ball, 19 Brynn Martinez ScoresUnearned (8), 8 Dayson Croes putout (6-3) for outnumber 1",3,2,,,1,,DJ Sharabi
24,1,Andy Armstrong,BOTTOM,"Ball, Ball, Ball, Called Strike, Foul, Foul, 1 Andy Armstrong putout (fly out to right field) for out number 2",3,2,,,1,,DJ Sharabi
25,13,Max Murphy,BOTTOM,"Foul, Ball, Foul, Foul, Ball, Ball, 13 Max Murphyadvances to 1st (walk)Pitching Substitution    26 Angel Lebron subs for D.J. Sharabi Pitcher.",3,2,,,,,DJ Sharabi
26,20,Jacob Bockelie,BOTTOM,"Ball, Called Strike, 20 Jacob Bockelie putout (flyout to the third baseman) for out number 3",1,1,,,1,,Angel Lebron
27,11,Jabari Henry,TOP,"Swinging Strike, 11 Jabari Henry putout (4-3) forout number 1",0,1,,1,,L Bourassa,
28,3,Jordan Barth,TOP,3 Jordan Barth putout (6-3) for out number 2,0,0,,1,,L Bourassa,
29,16,Hunter Clanin,TOP,"Ball, Swinging Strike, Ball, Called Strike, 16 Hunter Clanin putout (strike out swinging) for out number 3",2,2,,1,,L Bourassa,
30,14,Andrew Shaps,BOTTOM,"Ball, Ball, Ball, 14 Andrew Shaps advances to 1st(walk)",3,0,,,,,Angel Lebron
31,4,Chris Burgess,BOTTOM,"Ball, Ball, Called Strike, Pickoff attempt at 1stbase (pitcher to first baseman), Swinging Strike,4 Chris Burgess putout (strike out swinging) for out number 1, 14 Andrew Shaps putout (caught stealing: CS 1-3-4-3) for out number 2",2,2,,,1,,Angel Lebron
32,39,Tommy McCarthy,BOTTOM,"Foul, Ball, Called Strike, Foul, Ball, Foul, 39 Tommy McCarthy advances to 1st (single to right field)",2,2,1,,,,Angel Lebron
33,3,Javeyan Williams,BOTTOM,"Foul, Pickoff attempt at 1st base (pitcher to first baseman), Ball, Called Strike, 3 Javeyan Williams putout (fly out to center field) for out number3",1,2,,,1,,Angel Lebron
34,0,Osvaldo Martinez,TOP,"Called Strike, Ball, Foul, Ball, Foul, Foul, Ball,0 Osvaldo Martinez advances to 1st (walk)",3,2,,,,L Bourassa,
35,5,Trevor Achenbach,TOP,"Called Strike, Ball, Foul, 5 Trevor Achenbach advances to 2nd (double), 0 Osvaldo Martinez advancesto 3rd (5), 0 Osvaldo Martinez Scores Earned (5)",1,2,1,,,L Bourassa,
36,2,Marshall Rich,TOP,"Ball, Called Strike, 2 Marshall Rich advances to 1st (single), 5 Trevor Achenbach advances to 3rd (2), 5 Trevor Achenbach Scores Earned (2)",1,1,1,,,L Bourassa,
37,1,Wyatt Ulrich,TOP,"Called Strike, Ball, Foul, 2 Marshall Rich putout(8-4) for out number 1, 1 Wyatt Ulrich advances to1st (single to center field)",1,2,1,1,,L Bourassa,
38,21,Darnell Sweeney,TOP,"Swinging Strike, 21 Darnell Sweeney advances to 2nd (double to left field), 1 Wyatt Ulrich advancesto 3rd (21)",0,1,1,,,L Bourassa,
39,15,Welington Dotel,TOP,"Ball, Swinging Strike, Ball, Ball, 15 Welington Dotel advances to 1st (walk)",3,1,,,,L Bourassa,
40,11,Jabari Henry,TOP,"Foul, Swinging Strike, Ball, 11 Jabari Henry putout (strike out swinging) for out number 2",1,2,,1,,L Bourassa,
41,3,Jordan Barth,TOP,"Called Strike, Foul, Foul, 3 Jordan Barth putout (3-1) for out number 3",0,2,,1,,C Opp,
