Index,Number,Name,Inning,Description,Balls,Strikes,Hits,Out # TOP,Out # BOTTOM,Pitcher Top,Pitcher Bottom
1,82,Aaron Whitefield,TOP,"Called Strike, Swinging Strike, Foul, Ball, 82 Aaron Whitefield putout (strike out swinging) for outnumber 1",1,2,,1,,R Martinez,
2,3,Jordan Barth,TOP,"Ball, 3 Jordan Barth putout (FP3) for out number 2",1,0,,1,,R Martinez,
3,11,Jabari Henry,TOP,"Ball, Ball, Called Strike, Called Strike, Ball, Foul, 11 Jabari Henry advances to 1st (walk)",3,2,,,,R Martinez,
4,20,Mike Hart,TOP,"Ball, Called Strike, 20 Mike Hart putout (P8) forout number 3",1,1,,1,,R Martinez,
5,8,Dayson Croes,BOTTOM,"Ball, Called Strike, 8 Dayson Croes putout (FP5) for out number 1",1,1,,,1,,Akeem Bostick
6,1,Andy Armstrong,BOTTOM,"Called Strike, 1 Andy Armstrong advances to 1st (single to center field)",0,1,1,,,,Akeem Bostick
7,13,Max Murphy,BOTTOM,"Ball, Ball, 13 Max Murphy advances to 1st (fielder's choice), 13 Max Murphy advances to 2nd (error by the second baseman), 1 Andy Armstrong putout (5-4) for out number 2",2,0,,,1,,Akeem Bostick
8,14,Miles Simington,BOTTOM,"Ball, Ball, Swinging Strike, Foul, Ball, Foul, 14Miles Simington putout (fly out to left field) forout number 3",3,2,,,1,,Akeem Bostick
9,21,Darnell Sweeney,TOP,"Called Strike, Called Strike, 21 Darnell Sweeney advances to 2nd (double to right field)",0,2,1,,,R Martinez,
10,5,Trevor Achenbach,TOP,"Called Strike, Foul, 5 Trevor Achenbach putout (6-3) for out number 1",0,2,,1,,R Martinez,
11,16,Hunter Clanin,TOP,"Foul, Ball, 21 Darnell Sweeney advances to 3rd (16), 16 Hunter Clanin putout (fly out to right field) for out number 2",1,1,,1,,R Martinez,
12,29,Spencer Sarringar,TOP,"Ball, Swinging Strike, 29 Spencer Sarringar advances to 1st (single to center field), 21 Darnell Sweeney Scores Earned (29)",1,1,1,,,R Martinez,
13,0,Osvaldo Martinez,TOP,"Called Strike, Ball, 0 Osvaldo Martinez putout (P9) for out number 3",1,1,,1,,R Martinez,
14,39,Tommy McCarthy,BOTTOM,"Ball, Swinging Strike, 39 Tommy McCarthy putout (5-3) for out number 1",1,1,,,1,,Akeem Bostick
15,27,Hidekel Gonzalez,BOTTOM,"Called Strike, Ball, Swinging Strike, Foul, 27 Hidekel Gonzalez advances to 1st (single to shortstop)",1,2,1,,,,Akeem Bostick
16,3,Javeyan Williams,BOTTOM,"Called Strike, Ball, Ball, 3 Javeyan Williams putout (fly out to left field) for out number 2",2,1,,,1,,Akeem Bostick
17,19,Brynn Martinez,BOTTOM,"Called Strike, Ball, Ball, 27 Hidekel Gonzalez advances to 2nd (stolen base), Pickoff attempt at 2ndbase (pitcher to shortstop), Foul, Ball, 19 BrynnMartinez putout (fly out to left field) for out number 3",3,2,,,1,,Akeem Bostick
18,82,Aaron Whitefield,TOP,"Ball, Swinging Strike, Swinging Strike, 82 Aaron Whitefield putout (dropped 3rd strike: KS 2-3) forout number 1",1,2,,1,,R Martinez,
19,3,Jordan Barth,TOP,"Ball, Ball, Foul, 3 Jordan Barth putout (4-3) forout number 2",2,1,,1,,R Martinez,
20,11,Jabari Henry,TOP,"Called Strike, Foul, Ball, Ball, 11 Jabari Henry putout (P7) for out number 3",2,2,,1,,R Martinez,
21,2,Tra Holmes,BOTTOM,"Foul, Foul, Foul, Ball, 2 Tra Holmes putout (dropped 3rd strike: KS 2) for out number 1",1,2,,,1,,Akeem Bostick
22,8,Dayson Croes,BOTTOM,"Ball, Ball, Called Strike, Ball, 8 Dayson Croes advances to 1st (walk)",3,1,,,,,Akeem Bostick
23,1,Andy Armstrong,BOTTOM,"Called Strike, Foul, Foul, Pickoff attempt at 1stbase (pitcher to first baseman), 1 Andy Armstrongputout (P4) for out number 2",0,2,,,1,,Akeem Bostick
24,13,Max Murphy,BOTTOM,"Swinging Strike, Ball, Ball, Called Strike, Ball,Foul, 13 Max Murphy advances to 1st (walk), 8 Dayson Croes advances to 2nd (13)",3,2,,,,,Akeem Bostick
25,14,Miles Simington,BOTTOM,"Foul, Ball, 14 Miles Simington putout (P5) for outnumber 3",1,1,,,1,,Akeem Bostick
26,20,Mike Hart,TOP,"Ball, 20 Mike Hart putout (P8) for out number 1",1,0,,1,,R Martinez,
27,21,Darnell Sweeney,TOP,"Called Strike, Ball, Swinging Strike, 21 Darnell Sweeney putout (strike out swinging) for out number2",1,2,,1,,R Martinez,
28,5,Trevor Achenbach,TOP,5 Trevor Achenbach putout (P6) for out number 3,0,0,,1,,R Martinez,
29,39,Tommy McCarthy,BOTTOM,39 Tommy McCarthy putout (P5) for out number 1,0,0,,,1,,Akeem Bostick
30,27,Hidekel Gonzalez,BOTTOM,"Called Strike, Called Strike, Ball, Foul, Foul, Foul, Foul, 27 Hidekel Gonzalez putout (strike out swinging) for out number 2",1,2,,,1,,Akeem Bostick
31,3,Javeyan Williams,BOTTOM,3 Javeyan Williams advances to 1st (single to first base),0,0,1,,,,Akeem Bostick
