Index,Number,Name,Inning,Description,Balls,Strikes,Hits,Out # TOP,Out # BOTTOM,Pitcher Top,Pitcher Bottom
1,5,Scott Ota,TOP,"Ball, 5 Scott Ota advances to 1st (single)",1,0,1,,,Ty Culbreth,
2,7,Matt Lloyd,TOP,"7 Matt Lloyd advances to 1st (fielder's choice), 5Scott Ota putout (4-6) for out number 1",0,0,,1,,Ty Culbreth,
3,25,John Nogowski,TOP,"Ball, Called Strike, 25 John Nogowski advances to2nd (double), 7 Matt Lloyd advances to 3rd (25)",1,1,1,,,Ty Culbreth,
4,6,Tyler Rando,TOP,"Foul, Ball, Ball, Ball, 7 Matt Lloyd Scores Earned(6), 6 Tyler Rando putout (sacrifice fly to leftfielder) for out number 2",3,1,,1,,Ty Culbreth,
5,8,Vince Fernandez,TOP,"Ball, Ball, Swinging Strike, Swinging Strike, Ball, 8 Vince Fernandez putout (4-3) for out number 3",3,2,,1,,Ty Culbreth,
6,15,Logan Eickhoff,BOTTOM,"Ball, Foul, Ball, 15 Logan Eickhoff putout (P1) for out number 1",2,1,,,1,,M Verburg
7,3,Jordan Barth,BOTTOM,"Swinging Strike, Foul, Ball, 3 Jordan Barth putout(6-3) for out number 2",1,2,,,1,,M Verburg
8,11,Jabari Henry,BOTTOM,"Called Strike, Ball, 11 Jabari Henry putout (fly out to center field) for out number 3",1,1,,,1,,M Verburg
9,37,Kyle Kasser,TOP,"Foul, Called Strike, 37 Kyle Kasser putout (5-3) for out number 1",0,2,,1,,Ty Culbreth,
10,4,Miguel Sierra,TOP,"Called Strike, 4 Miguel Sierra putout (fly out toright field) for out number 2",0,1,,1,,Ty Culbreth,
11,33,Jake Ortega,TOP,"Called Strike, Foul, 33 Jake Ortega putout (strikeout) for out number 3",0,2,,1,,Ty Culbreth,
12,20,Mike Hart,BOTTOM,"Ball, Called Strike, Ball, Called Strike, 20 MikeHart putout (strike out swinging) for out number 1",2,2,,,1,,M Verburg
13,5,Trevor Achenbach,BOTTOM,"Called Strike, 5 Trevor Achenbach putout (fly outto right field) for out number 2",0,1,,,1,,M Verburg
14,16,Hunter Clanin,BOTTOM,"Called Strike, Called Strike, Ball, 16 Hunter Clanin putout (fly out to right field) for out number3",1,2,,,1,,M Verburg
15,1,Chase Harris,TOP,"Ball, Foul, Foul, 1 Chase Harris advances to 2nd (double)",1,2,1,,,Ty Culbreth,
16,5,Scott Ota,TOP,"Called Strike, Ball, Ball, 1 Chase Harris advancesto 3rd (error by the pitcher), 1 Chase Harris Scores Earned (5), 5 Scott Ota putout (sacrifice flyto right fielder) for out number 1",2,1,,1,,Ty Culbreth,
17,7,Matt Lloyd,TOP,"Ball, Swinging Strike, 7 Matt Lloyd advances to 1st (single)",1,1,1,,,Ty Culbreth,
18,25,John Nogowski,TOP,"Ball, 7 Matt Lloyd putout (5-4) for out number 2,25 John Nogowski putout (5-4-3 DP) for out number3",1,0,,1,,Ty Culbreth,
