Index,Number,Name,Inning,Description,Balls,Strikes,Hits,Out # TOP,Out # BOTTOM
71,24,David Maberry,BOTTOM,"Swinging Strike, Ball, Ball, 24 David Maberry advances to 1st (single to left field)",2,1,1,,
72,5,Luke Mangieri,BOTTOM,"Ball, 5 Luke Mangieri putout (3U) for out number 3",1,0,,,1
73,3,Jordan Barth,TOP,3 Jordan Barth putout (1-3) for out number 1,0,0,,1,
74,11,Jabari Henry,TOP,"Ball, Ball, 11 Jabari Henry putout (fly out to center field) for out number 2",2,0,,1,
75,20,Mike Hart,TOP,"Ball, Foul, Ball, 20 Mike Hart putout (fly out tocenter field) for out number 3",2,1,,1,
76,6,Cody Bohanek,BOTTOM,"Ball, Called Strike, Ball, Ball, 6 Cody Bohanek advances to 1st (single to right field)",3,1,1,,
77,8,Taylor Jackson,BOTTOM,"Ball, Foul, Ball, Foul, Ball, 8 Taylor Jackson putout (strike out swinging) for out number 1",3,2,,,1
78,19,Matt Bottcher,BOTTOM,"Ball, Foul, Ball, Foul, 19 Matt Bottcher putout (strike out swinging) for out number 2",2,2,,,1
79,4,General McArthur,BOTTOM,"IV  Ball, Called Strike, Swinging Strike, 6 Cody Bohanek advances to 2nd (DI 4), Foul, 4 General McArthur IV advances to 1st (single to center field), 4 General McArthur IV advances to 2nd (error by the center fielder), 6 Cody Bohanek Scores Earned (4)",1,2,1,,
80,15,Ryan Lidge,BOTTOM,"Swinging Strike, Ball, Foul, Foul, Ball, Ball, Foul, 15 Ryan Lidge putout (strike out) for out number 3",3,2,,,1
