Index,Number,Name,Inning,Description,Balls,Strikes,Hits,Out # TOP,Out # BOTTOM
1,16,Zane Zurbrugg,TOP,"Called Strike, 16 Zane Zurbrugg putout (fly out toleft field) for out number 1",0,1,,1,
2,5,Nate Samson,TOP,"Called Strike, 5 Nate Samson putout (fly out to left field) for out number 2",0,1,,1,
3,11,Connor Panas,TOP,"Swinging Strike, Foul, Ball, Foul, Ball, Foul, Foul, 11 Connor Panas putout (fly out to right field)for out number 3",2,2,,1,
4,1,Wyatt Ulrich,BOTTOM,"Ball, Ball, Ball, Called Strike, 1 Wyatt Ulrich advances to 1st (walk)",3,1,,,
5,21,Darnell Sweeney,BOTTOM,"Ball, Ball, Ball, 21 Darnell Sweeney advances to 1st (walk), 1 Wyatt Ulrich advances to 2nd (21)",3,0,,,
6,15,Welington Dotel,BOTTOM,"Called Strike, Swinging Strike, 15 Welington Doteladvances to 1st (single), 21 Darnell Sweeney advances to 2nd (15), 1 Wyatt Ulrich advances to 3rd (15)",0,2,1,,
7,11,Jabari Henry,BOTTOM,"Swinging Strike, Ball, Swinging Strike, Foul, 11 Jabari Henry advances to 1st (single), 15 WelingtonDotel advances to 2nd (11), 1 Wyatt Ulrich ScoresEarned (11), 21 Darnell Sweeney Scores Earned (11)",1,2,1,,
8,20,Mike Hart,BOTTOM,"Ball, 15 Welington Dotel Scores Earned (20), 11 Jabari Henry Scores Earned (20), 20 Mike Hart ScoresEarned (home run)",1,0,1,,
9,16,Hunter Clanin,BOTTOM,"Called Strike, Ball, 16 Hunter Clanin putout (flyout to right field) for out number 1",1,1,,,1
10,3,Jordan Barth,BOTTOM,"Ball, 3 Jordan Barth advances to 1st (single)",1,0,1,,
11,0,Osvaldo Martinez,BOTTOM,"Ball, Called Strike, Ball, Foul, 0 Osvaldo Martinez advances to 1st (fielder's choice), 3 Jordan Barth putout (3-6) for out number 2",2,2,,,1
12,2,Marshall Rich,BOTTOM,"Ball, 2 Marshall Rich advances to 1st (single), 0Osvaldo Martinez advances to 3rd (2)",1,0,1,,
13,1,Wyatt Ulrich,BOTTOM,"Ball, Ball, 1 Wyatt Ulrich advances to 1st (hit bypitch), 2 Marshall Rich advances to 2nd (1)",2,0,,,
14,21,Darnell Sweeney,BOTTOM,21 Darnell Sweeney putout (fly out to right field)for out number 3,0,0,,,1
15,25,Luke Roskam,TOP,"Ball, Ball, Called Strike, Called Strike, Ball, 25Luke Roskam advances to 1st (walk)",3,2,,,
16,7,Nick Anderson,TOP,"Ball, Called Strike, Ball, Foul, 7 Nick Anderson advances to 1st (single), 25 Luke Roskam advances to 2nd (7)",2,2,1,,
17,9,Matt Goodheart,TOP,"Ball, Called Strike, Called Strike, 9 Matt Goodheart putout (fly out to left field) for out number 1",1,2,,1,
