Index,Number,Name,Inning,Description,Balls,Strikes,Hits,Out # TOP,Out # BOTTOM
1,15,Cam Touchette,TOP,15 Cam Touchette putout (6-3) for out number 1,0,0,,1,
2,5,Nate Samson,TOP,"Called Strike, 5 Nate Samson putout (6-3) for outnumber 2",0,1,,1,
3,11,Connor Panas,TOP,"Called Strike, Ball, 11 Connor Panas advances to 2nd (double)",1,1,1,,
4,9,Matt Goodheart,TOP,"Ball, Foul, 9 Matt Goodheart putout (3un) for outnumber 3",1,1,,1,
5,1,Wyatt Ulrich,BOTTOM,"Ball, Ball, 1 Wyatt Ulrich advances to 1st (single)",2,0,1,,
6,21,Darnell Sweeney,BOTTOM,"Ball, Ball, Ball, 21 Darnell Sweeney advances to 1st (walk), 1 Wyatt Ulrich advances to 2nd (21)",3,0,,,
7,15,Welington Dotel,BOTTOM,"15 Welington Dotel advances to 1st (single), 21 Darnell Sweeney advances to 2nd (15), 1 Wyatt Ulrichadvances to 3rd (15)",0,0,1,,
8,11,Jabari Henry,BOTTOM,"Called Strike, Called Strike, Ball, 11 Jabari Henry putout (strike out swinging) for out number 1",1,2,,,1
9,20,Mike Hart,BOTTOM,"1 Wyatt Ulrich Scores Earned (20), 20 Mike Hart putout (sacrifice fly to left fielder) for out number 2",0,0,,,1
10,16,Hunter Clanin,BOTTOM,"Foul, Swinging Strike, 16 Hunter Clanin advances to 2nd (double), 15 Welington Dotel advances to 3rd(16), 21 Darnell Sweeney Scores Earned (16)",0,2,1,,
11,5,Trevor Achenbach,BOTTOM,"Ball, Ball, Called Strike, Foul, Ball, 5 Trevor Achenbach putout (strike out swinging) for out number 3",3,2,,,1
12,7,Nick Anderson,TOP,"Called Strike, Ball, Called Strike, 7 Nick Anderson putout (strike out swinging) for out number 1",1,2,,1,
13,25,Luke Roskam,TOP,"Foul, Foul, Ball, 25 Luke Roskam advances to 1st (single)",1,2,1,,
14,10,Aaron Takacs,TOP,"10 Aaron Takacs putout (8 Dp) for out number 2, 25Luke Roskam putout (8-8-6 DP) for out number 3",0,0,,1,
15,3,Jordan Barth,BOTTOM,3 Jordan Barth putout (fly out to center field) for out number 1,0,0,,,1
16,23,Marshall Rich,BOTTOM,"Ball, Swinging Strike, Called Strike, Foul, Foul,Ball, 23 Marshall Rich advances to 1st (error by the third baseman)",2,2,,,
17,1,Wyatt Ulrich,BOTTOM,"Ball, Ball, Foul, Ball, 1 Wyatt Ulrich advances to1st (walk), 23 Marshall Rich advances to 2nd (1)",3,1,,,
18,21,Darnell Sweeney,BOTTOM,"Ball, Called Strike, Swinging Strike, 21 Darnell Sweeney advances to 1st (single), 1 Wyatt Ulrich advances to 2nd (21), 23 Marshall Rich advances to 3rd (21)",1,2,1,,
19,15,Welington Dotel,BOTTOM,"Called Strike, 15 Welington Dotel advances to 1st(single), 21 Darnell Sweeney advances to 2nd (15),1 Wyatt Ulrich advances to 3rd (15), 23 MarshallRich Scores Unearned (15)",0,1,1,,
20,11,Jabari Henry,BOTTOM,"Foul, Ball, Ball, 15 Welington Dotel putout (6-4)for out number 2, 11 Jabari Henry putout (6-4-3 DP) for out number 3",2,1,,,1
21,3,Drew Devine,TOP,"Ball, 3 Drew Devine advances to 1st (single)",1,0,1,,
22,16,Zane Zurbrugg,TOP,"Foul, Foul, 3 Drew Devine putout (4) for out number 1, 16 Zane Zurbrugg putout (4-3 DP) for out number 2",0,2,,1,
23,15,Cam Touchette,TOP,"Called Strike, 15 Cam Touchette putout (3-1) for out number 3",0,1,,1,
24,20,Mike Hart,BOTTOM,"Ball, Ball, Foul, Ball, 20 Mike Hart advances to 1st (walk)",3,1,,,
25,16,Hunter Clanin,BOTTOM,"Called Strike, 16 Hunter Clanin advances to 2nd (double), 20 Mike Hart advances to 3rd (16)",0,1,1,,
26,5,Trevor Achenbach,BOTTOM,"Foul, Foul, Ball, Ball, Foul, Foul, Foul, Foul, 5Trevor Achenbach putout (strike out swinging) forout number 1Pitching Substitution    17 Walter Borkovich subs for Tanner Brown Pitcher.",2,2,,,1
27,3,Jordan Barth,BOTTOM,"Ball, Ball, Foul, Foul, Ball, 3 Jordan Barth advances to 1st (walk)",3,2,,,
28,23,Marshall Rich,BOTTOM,"Swinging Strike, Ball, Called Strike, Ball, Ball,23 Marshall Rich advances to 1st (walk), 3 JordanBarth advances to 2nd (23), 16 Hunter Clanin advances to 3rd (23), 20 Mike Hart Scores Earned (23)",3,2,,,
29,1,Wyatt Ulrich,BOTTOM,"Called Strike, 1 Wyatt Ulrich putout (fly out to the catcher) for out number 2",0,1,,,1
30,21,Darnell Sweeney,BOTTOM,"Called Strike, 21 Darnell Sweeney advances to 1st(fielder's choice), 23 Marshall Rich putout (4-6)for out number 3",0,1,,,1
31,5,Nate Samson,TOP,"Ball, 5 Nate Samson putout (fly out to left field)for out number 1",1,0,,1,
32,11,Connor Panas,TOP,"Ball, Called Strike, Ball, Foul, 11 Connor Panas putout (strike out swinging) for out number 2",2,2,,1,
33,9,Matt Goodheart,TOP,"Ball, Called Strike, Foul, 9 Matt Goodheart advances to 1st (single)",1,2,1,,
34,7,Nick Anderson,TOP,7 Nick Anderson putout (L7) for out number 3,0,0,,1,
35,15,Welington Dotel,BOTTOM,"Called Strike, Ball, Called Strike, Ball, Foul, 15Welington Dotel putout (6-3) for out number 1",2,2,,,1
36,11,Jabari Henry,BOTTOM,"Called Strike, Ball, Ball, Foul, Foul, Ball, 11 Jabari Henry putout (strike out) for out number 2",3,2,,,1
37,20,Mike Hart,BOTTOM,"Ball, Swinging Strike, 20 Mike Hart putout (fly out to the third baseman) for out number 3",1,1,,,1
38,25,Luke Roskam,TOP,"Called Strike, 25 Luke Roskam advances to 1st (single)",0,1,1,,
39,10,Aaron Takacs,TOP,"Ball, 10 Aaron Takacs advances to 1st (single), 25Luke Roskam advances to 2nd (10)",1,0,1,,
40,3,Drew Devine,TOP,"Ball, Called Strike, 3 Drew Devine putout (fly outto left field) for out number 1",1,1,,1,
41,16,Zane Zurbrugg,TOP,"Ball, Ball, Foul, 16 Zane Zurbrugg putout (9 Dp) for out number 2, 25 Luke Roskam putout (9-9-3-6 DP) for out number 3",2,1,,1,
42,16,Hunter Clanin,BOTTOM,"Ball, Ball, Called Strike, Ball, Called Strike, 16Hunter Clanin putout (5) for out number 1",3,2,,,1
43,5,Trevor Achenbach,BOTTOM,"Ball, Foul, Swinging Strike, Foul, 5 Trevor Achenbach putout (strike out swinging) for out number 2",1,2,,,1
44,3,Jordan Barth,BOTTOM,"Called Strike, 3 Jordan Barth putout (fly out to center field) for out number 3",0,1,,,1
45,15,Cam Touchette,TOP,"Ball, 15 Cam Touchette advances to 1st (single)",1,0,1,,
46,5,Nate Samson,TOP,"Foul, 5 Nate Samson putout (4) for out number 1",0,1,,1,
47,11,Connor Panas,TOP,"Foul, Swinging Strike, 11 Connor Panas putout (4)for out number 2",0,2,,1,
48,9,Matt Goodheart,TOP,"Called Strike, Ball, Ball, Ball, 9 Matt Goodheartputout (3un) for out number 3",3,1,,1,
49,23,Marshall Rich,BOTTOM,"Ball, Ball, Foul, Called Strike, 23 Marshall Richputout (5-3) for out number 1",2,2,,,1
50,1,Wyatt Ulrich,BOTTOM,"Ball, Foul, 1 Wyatt Ulrich putout (fly out to center field) for out number 2",1,1,,,1
51,21,Darnell Sweeney,BOTTOM,"Ball, Foul, Foul, Ball, Ball, 21 Darnell Sweeney putout (strike out swinging) for out number 3",3,2,,,1
52,7,Nick Anderson,TOP,"Called Strike, Ball, Foul, Ball, 7 Nick Anderson advances to 1st (hit by pitch)",2,2,,,
53,25,Luke Roskam,TOP,"Ball, 25 Luke Roskam advances to 1st (single), 7 Nick Anderson advances to 2nd (25)Pitching Substitution    8 Bret Barnett subs for Colby Wyatt Pitcher.",1,0,1,,
54,10,Aaron Takacs,TOP,"Ball, Ball, Called Strike, Foul, 10 Aaron Takacs putout (6) for out number 1",2,2,,1,
55,3,Drew Devine,TOP,"Called Strike, Ball, 25 Luke Roskam putout (5-4) for out number 2, 3 Drew Devine putout (5-4-3 DP) for out number 3",1,1,,1,
56,15,Welington Dotel,BOTTOM,"Ball, Ball, Foul, Ball, Foul, Foul, Foul, 15 Welington Dotel advances to 1st (single)",3,2,1,,
57,11,Jabari Henry,BOTTOM,"Ball, 15 Welington Dotel advances to 2nd (stolen base), Ball, Foul, Foul, 15 Welington Dotel advances to 3rd (stolen base), 11 Jabari Henry putout (dropped 3rd strike: KS 2-1-3) for out number 1",2,2,,,1
58,20,Mike Hart,BOTTOM,"Swinging Strike, Ball, Ball, 15 Welington Dotel Scores Earned (20), 20 Mike Hart putout (sacrifice fly to right fielder) for out number 2",2,1,,,1
59,16,Hunter Clanin,BOTTOM,"Called Strike, Ball, Ball, Ball, Swinging Strike,16 Hunter Clanin advances to 1st (walk)",3,2,,,
60,5,Trevor Achenbach,BOTTOM,"Foul, Foul, 5 Trevor Achenbach putout (dropped 3rdstrike: KS 2-3) for out number 3",0,2,,,1
