Index,Number,Name,Inning,Description,Balls,Strikes,Hits,Out # TOP,Out # BOTTOM
1,0,Osvaldo Martinez,TOP,"Called Strike, Ball, 0 Osvaldo Martinez putout (fly out to center field) for out number 1",1,1,,1,
2,21,Darnell Sweeney,TOP,"Swinging Strike, Ball, Ball, Ball, Foul, 21 Darnell Sweeney advances to 1st (walk)",3,2,,,
3,3,Jordan Barth,TOP,"Called Strike, 21 Darnell Sweeney putout (6-4) forout number 2, 3 Jordan Barth putout (6-4-3 DP) for out number 3",0,1,,1,
4,99,Olivier Basabe,BOTTOM,"Ball, Foul, Ball, Ball, Foul, 99 Olivier Basabe advances to 1st (walk)",3,2,,,
5,8,Armond Upshaw,BOTTOM,"Ball, Foul, Ball, Ball, Swinging Strike, 8 ArmondUpshaw putout (fly out to right field) for out number 1",3,2,,,1
6,27,J.D. Osborne,BOTTOM,"Ball, Foul, Ball, 99 Olivier Basabe putout (5-4) for out number 2, 27 J.D. Osborne putout (5-4-3 DP)for out number 3",2,1,,,1
7,11,Jabari Henry,TOP,"Ball, Ball, Ball, 11 Jabari Henry advances to 1st(walk)",3,0,,,
8,20,Mike Hart,TOP,"Called Strike, Ball, Ball, Foul, 20 Mike Hart putout (fly out to the shortstop) for out number 1",2,2,,1,
9,5,Trevor Achenbach,TOP,"Ball, 5 Trevor Achenbach advances to 3rd (triple),11 Jabari Henry Scores Earned (5)",1,0,1,,
10,15,Welington Dotel,TOP,"Ball, Ball, 15 Welington Dotel putout (fly out tocenter field) for out number 2",2,0,,1,
11,35,Shamoy Christopher,TOP,"Ball, Swinging Strike, Swinging Strike, Ball, 35 Shamoy Christopher putout (strike out swinging) forout number 3",2,2,,1,
12,14,Jonah Davis,BOTTOM,"Ball, Ball, Called Strike, 14 Jonah Davis Scores Earned (home run)",2,1,1,,
13,66,Donivan Williams,BOTTOM,"Called Strike, Ball, Called Strike, 66 Donivan Williams putout (strike out swinging) for out number1",1,2,,,1
14,33,Todd Lott,BOTTOM,"Called Strike, Foul, Ball, 33 Todd Lott putout (5-3) for out number 2",1,2,,,1
15,3,Jimmy Kerrigan,BOTTOM,"Swinging Strike, 3 Jimmy Kerrigan putout (fly outto right field) for out number 3",0,1,,,1
16,16,Hunter Clanin,TOP,"Ball, Called Strike, Swinging Strike, Ball, Ball,16 Hunter Clanin advances to 1st (walk)",3,2,,,
17,0,Osvaldo Martinez,TOP,"Ball, Called Strike, 16 Hunter Clanin advances to2nd (stolen base), Foul, 16 Hunter Clanin advancesto 3rd (0), 0 Osvaldo Martinez putout (5-3) for out number 1",1,2,,1,
18,21,Darnell Sweeney,TOP,"Ball, Ball, Swinging Strike, Called Strike, 21 Darnell Sweeney advances to 1st (single), 16 Hunter Clanin Scores Earned (21)",2,2,1,,
19,3,Jordan Barth,TOP,"Swinging Strike, Swinging Strike, 21 Darnell Sweeney advances to 2nd (balk), Ball, 21 Darnell Sweeney advances to 3rd (pass ball), 3 Jordan Barth advances to 1st (fielder's choice), 21 Darnell Sweeneyputout (6-2) for out number 2",1,2,,1,
20,11,Jabari Henry,TOP,"Called Strike, Called Strike, 11 Jabari Henry advances to 1st (single), 3 Jordan Barth advances to 3rd (11)",0,2,1,,
21,20,Mike Hart,TOP,"Called Strike, 20 Mike Hart putout (3U) for out number 3",0,1,,1,
22,10,Daniel Wasinger,BOTTOM,"Ball, Foul, Ball, Ball, Foul, 10 Daniel Wasinger putout (strike out swinging) for out number 1",3,2,,,1
23,1,Galli Cribbs,BOTTOM,"Jr.     Ball, Swinging Strike, Ball, Ball, 1 Galli CribbsJr. Scores Earned (home run)",3,1,1,,
24,99,Olivier Basabe,BOTTOM,"Ball, 99 Olivier Basabe putout (6-3) for out number 2",1,0,,,1
25,8,Armond Upshaw,BOTTOM,"Ball, Foul, 8 Armond Upshaw advances to 1st (errorby the first baseman)",1,1,,,
26,27,J.D. Osborne,BOTTOM,27 J.D. Osborne putout (fly out to right field) for out number 3,0,0,,,1
27,5,Trevor Achenbach,TOP,"Called Strike, Foul, Ball, Ball, 5 Trevor Achenbach putout (5-3) for out number 1",2,2,,1,
28,15,Welington Dotel,TOP,"Called Strike, Ball, Ball, Ball, Called Strike, 15Welington Dotel putout (4-3) for out number 2",3,2,,1,
