Index,Number,Name,Inning,Description,Balls,Strikes,Hits,Out # TOP,Out # BOTTOM
1,21,Darnell Sweeney,TOP,"Called Strike, Ball, Ball, Ball, Swinging Strike,Foul, 21 Darnell Sweeney advances to 1st (single to right field)",3,2,1,,
2,3,Jordan Barth,TOP,"Ball, 3 Jordan Barth advances to 1st (single to center field), 21 Darnell Sweeney advances to 2nd (3)",1,0,1,,
3,1,Wyatt Ulrich,TOP,"1 Wyatt Ulrich advances to 1st (fielder's choice),21 Darnell Sweeney advances to 3rd (1), 3 JordanBarth putout (4-6) for out number 1",0,0,,1,
4,11,Jabari Henry,TOP,"Foul, 21 Darnell Sweeney Scores Earned (11), 1 Wyatt Ulrich Scores Earned (11), 11 Jabari Henry Scores Earned (home run)",0,1,1,,
5,20,Mike Hart,TOP,"Called Strike, Foul, Foul, Foul, 20 Mike Hart advances to 1st (hit by pitch)",0,2,,,
6,5,Trevor Achenbach,TOP,"Called Strike, Ball, 5 Trevor Achenbach putout (fly out to left field) for out number 2",1,1,,1,
7,16,Hunter Clanin,TOP,"Ball, Foul, Ball, Ball, 16 Hunter Clanin advancesto 1st (walk), 20 Mike Hart advances to 2nd (16)",3,1,,,
8,35,Shamoy Christopher,TOP,"Ball, Foul, Ball, 35 Shamoy Christopher putout (fly out to right field) for out number 3",2,1,,1,
9,1,Chase Harris,BOTTOM,"Called Strike, Ball, Ball, Called Strike, Ball, 1Chase Harris advances to 1st (walk)",3,2,,,
10,8,Vince Fernandez,BOTTOM,"Swinging Strike, Ball, Ball, Called Strike, Foul,Pickoff attempt at 1st base (pitcher to first baseman), 8 Vince Fernandez putout (fly out to left field) for out number 1",2,2,,,1
11,26,John Nogowski,BOTTOM,"Ball, 1 Chase Harris putout (5-4) for out number 2, 26 John Nogowski putout (5-4-3 DP) for out number 3",1,0,,,1
12,2,Carson Clowers,TOP,"Ball, Swinging Strike, Foul, Ball, 2 Carson Clowers putout (strike out swinging) for out number 1",2,2,,1,
13,21,Darnell Sweeney,TOP,"Ball, Swinging Strike, Foul, Foul, Ball, 21 Darnell Sweeney putout (strike out swinging) for out number 2",2,2,,1,
14,3,Jordan Barth,TOP,"Ball, 3 Jordan Barth putout (6-3) for out number 3",1,0,,1,
15,7,Matt Lloyd,BOTTOM,"Foul, 7 Matt Lloyd advances to 1st (single to center field)",0,1,1,,
16,4,Miguel Sierra,BOTTOM,"Called Strike, Foul, Ball, Ball, Pickoff attempt at 1st base (pitcher to first baseman), Pickoff attempt at 1st base (pitcher to first baseman), 7 Matt Lloyd Scores Earned (4), 4 Miguel Sierra ScoresEarned (home run)",2,2,1,,
17,18,Daniel Perez,BOTTOM,"Ball, Ball, Called Strike, Foul, Ball, Foul, 18 Daniel Perez putout (3-1) for out number 1",3,2,,,1
18,24,Wilfredo Gimenez,BOTTOM,"Foul, 24 Wilfredo Gimenez putout (fly out to center field) for out number 2",0,1,,,1
19,17,Jake Sanford,BOTTOM,"Foul, Ball, 17 Jake Sanford putout (fly out to left field) for out number 3",1,1,,,1
20,1,Wyatt Ulrich,TOP,"Ball, Called Strike, Foul, 1 Wyatt Ulrich putout (fly out to left field) for out number 1",1,2,,1,
