Index,Number,Name,Inning,Description,Balls,Strikes,Hits,Out # TOP,Out # BOTTOM
1,1,Wyatt Ulrich,TOP,"Swinging Strike, Ball, Swinging Strike, 1 Wyatt Ulrich putout (strike out swinging) for out number 1",1,2,,1,
2,0,Osvaldo Martinez,TOP,"Swinging Strike, Foul, 0 Osvaldo Martinez putout (fly out to right field) for out number 2",0,2,,1,
3,21,Darnell Sweeney,TOP,"Swinging Strike, Swinging Strike, Ball, Ball, Ball, 21 Darnell Sweeney advances to 1st (walk)",3,2,,,
4,11,Jabari Henry,TOP,11 Jabari Henry putout (fly out to right field) for out number 3,0,0,,1,
5,11,Evan Alexander,BOTTOM,"Foul, Ball, 11 Evan Alexander putout (fly out to left field) for out number 1",1,1,,,1
6,13,Manuel Boscan,BOTTOM,"Swinging Strike, Swinging Strike, Ball, Foul, 13 Manuel Boscan putout (fly out to center field) forout number 2",1,2,,,1
7,22,Dillon Thomas,BOTTOM,"Ball, Foul, Swinging Strike, 22 Dillon Thomas putout (strike out) for out number 3",1,2,,,1
8,20,Mike Hart,TOP,"Ball, Ball, Ball, Swinging Strike, Swinging Strike, 20 Mike Hart advances to 1st (walk)",3,2,,,
9,3,Jordan Barth,TOP,"20 Mike Hart advances to 2nd (3), 3 Jordan Barth putout (5-3 SH) for out number 1",0,0,,1,
10,16,Hunter Clanin,TOP,"Swinging Strike, Swinging Strike, Ball, 16 HunterClanin putout (5-3) for out number 2",1,2,,1,
11,5,Trevor Achenbach,TOP,"Ball, Foul, Ball, Ball, 5 Trevor Achenbach putout(fly out to left field) for out number 3",3,1,,1,
12,4,Leobaldo Pina,BOTTOM,"Ball, Foul, Ball, Swinging Strike, 4 Leobaldo Pinaadvances to 1st (single to left field)",2,2,1,,
13,24,John Silviano,BOTTOM,"Swinging Strike, 4 Leobaldo Pina advances to 2nd (error by the pitcher), Foul, Ball, Ball, 24 John Silviano putout (strike out) for out number 1",2,2,,,1
14,16,Correlle Prime,BOTTOM,"Foul, Foul, Ball, 16 Correlle Prime advances to 1st (single to center field), 16 Correlle Prime advances to 2nd (error by the center fielder), 4 Leobaldo Pina Scores Earned (16)",1,2,1,,
