Index,Number,Name,Inning,Description,Balls,Strikes,Hits,Out # TOP,Out # BOTTOM,Pitcher Top,Pitcher Bottom
1,37,Kyle Kasser,TOP,"Ball, 37 Kyle Kasser advances to 1st (single)",1,0,1,,,Ty Culbreth,
2,1,Chase Harris,TOP,"1 Chase Harris advances to 1st (SAC E1), 37 Kyle Kasser advances to 2nd (1)",0,0,,,,Ty Culbreth,
3,8,Vince Fernandez,TOP,"8 Vince Fernandez advances to 1st (single), 37 Kyle Kasser advances to 3rd (8)",0,0,1,,,Ty Culbreth,
4,4,Miguel Sierra,TOP,"Ball, Foul, 8 Vince Fernandez advances to 2nd (4),Swinging Strike, 4 Miguel Sierra putout (strike out) for out number 1",1,2,,1,,Ty Culbreth,
5,7,Matt Lloyd,TOP,"Swinging Strike, Swinging Strike, Ball, Foul, Ball, Foul, Ball, 7 Matt Lloyd advances to 1st (single), 1 Chase Harris advances to 2nd (7), 37 Kyle Kasser Scores Earned (7), 8 Vince Fernandez Scores Earned (7)",3,2,1,,,Ty Culbreth,
6,24,Wilfredo Gimenez,TOP,"Called Strike, Called Strike, Ball, Ball, Ball, 24Wilfredo Gimenez putout (fly out to right field)for out number 2",3,2,,1,,Ty Culbreth,
7,18,Daniel Perez,TOP,"Called Strike, Called Strike, 18 Daniel Perez advances to 1st (single), 7 Matt Lloyd advances to 2nd(18), 1 Chase Harris advances to 3rd (18)",0,2,1,,,Ty Culbreth,
8,5,Eury Perez,TOP,"Foul, Foul, 1 Chase Harris Scores Unearned (5), 7Matt Lloyd Scores Unearned (5), 18 Daniel Perez Scores Unearned (5), 5 Eury Perez Scores Unearned (home run)",0,2,1,,,Ty Culbreth,
9,33,Jake Ortega,TOP,"Called Strike, 33 Jake Ortega putout (6) for out number 3",0,1,,1,,Ty Culbreth,
10,1,Wyatt Ulrich,BOTTOM,"Ball, Called Strike, 1 Wyatt Ulrich advances to 1st (single)",1,1,1,,,,S Bates
11,21,Darnell Sweeney,BOTTOM,"Called Strike, Ball, Ball, 21 Darnell Sweeney advances to 2nd (double), 1 Wyatt Ulrich Scores Earned(error by the right fielder)",2,1,1,,,,S Bates
12,15,Welington Dotel,BOTTOM,"Ball, 21 Darnell Sweeney advances to 3rd (15), 15Welington Dotel putout (4-3) for out number 1",1,0,,,1,,S Bates
13,11,Jabari Henry,BOTTOM,"Ball, Called Strike, Called Strike, Ball, 11 Jabari Henry putout (strike out swinging) for out number 2",2,2,,,1,,S Bates
14,3,Jordan Barth,BOTTOM,"Ball, Called Strike, Foul, Foul, 3 Jordan Barth advances to 1st (single), 21 Darnell Sweeney ScoresEarned (3)",1,2,1,,,,S Bates
15,16,Hunter Clanin,BOTTOM,"Foul, Foul, Ball, 3 Jordan Barth advances to 2nd (stolen base), 3 Jordan Barth advances to 3rd (error by the catcher), Ball, 16 Hunter Clanin advancesto 2nd (double), 3 Jordan Barth Scores Earned (16)",2,2,1,,,,S Bates
16,0,Osvaldo Martinez,BOTTOM,"Called Strike, Foul, Foul, Ball, 0 Osvaldo Martinez putout (6) for out number 3",1,2,,,1,,S Bates
17,37,Kyle Kasser,TOP,"Called Strike, Swinging Strike, 37 Kyle Kasser advances to 1st (single)",0,2,1,,,Ty Culbreth,
18,1,Chase Harris,TOP,"1 Chase Harris advances to 1st (fielder's choice),37 Kyle Kasser putout (5-4) for out number 1",0,0,,1,,Ty Culbreth,
19,8,Vince Fernandez,TOP,"Ball, 1 Chase Harris advances to 2nd (stolen base), Foul, Ball, Foul, Foul, Ball, 1 Chase Harris advances to 3rd (8), 8 Vince Fernandez putout (1-3) for out number 2",3,2,,1,,Ty Culbreth,
20,4,Miguel Sierra,TOP,"Called Strike, Called Strike, 4 Miguel Sierra putout (strike out) for out number 3",0,2,,1,,Ty Culbreth,
21,5,Trevor Achenbach,BOTTOM,"Ball, Called Strike, Ball, Called Strike, 5 TrevorAchenbach putout (fly out to left field) for outnumber 1",2,2,,,1,,S Bates
22,33,Tyler Ryan,BOTTOM,"Ball, Called Strike, Swinging Strike, 33 Tyler Ryan putout (strike out swinging) for out number 2",1,2,,,1,,S Bates
23,1,Wyatt Ulrich,BOTTOM,"Ball, Called Strike, Ball, Ball, Called Strike, 1Wyatt Ulrich putout (fly out to left field) for out number 3",3,2,,,1,,S Bates
24,7,Matt Lloyd,TOP,"Ball, Ball, Ball, Called Strike, 7 Matt Lloyd putout (fly out to center field) for out number 1",3,1,,1,,Ty Culbreth,
25,24,Wilfredo Gimenez,TOP,"Ball, 24 Wilfredo Gimenez putout (1-3) for out number 2",1,0,,1,,Ty Culbreth,
26,18,Daniel Perez,TOP,"Ball, Ball, Ball, 18 Daniel Perez advances to 1st(walk)",3,0,,,,Ty Culbreth,
27,5,Eury Perez,TOP,"Foul, 5 Eury Perez putout (fly out to left field)for out number 3",0,1,,1,,Ty Culbreth,
28,21,Darnell Sweeney,BOTTOM,21 Darnell Sweeney advances to 1st (single),0,0,1,,,,S Bates
29,15,Welington Dotel,BOTTOM,"Called Strike, Ball, Foul, 21 Darnell Sweeney advances to 2nd (15), 15 Welington Dotel putout (6-3)for out number 1",1,2,,,1,,S Bates
30,11,Jabari Henry,BOTTOM,"Called Strike, Called Strike, Ball, Ball, 11 Jabari Henry putout (3) for out number 2",2,2,,,1,,S Bates
31,3,Jordan Barth,BOTTOM,"Foul, Foul, 3 Jordan Barth putout (3un) for out number 3",0,2,,,1,,S Bates
32,33,Jake Ortega,TOP,"Ball, Called Strike, Foul, Ball, 33 Jake Ortega putout (6) for out number 1",2,2,,1,,Ty Culbreth,
33,37,Kyle Kasser,TOP,37 Kyle Kasser putout (fly out to right field) forout number 2,0,0,,1,,Ty Culbreth,
34,1,Chase Harris,TOP,"Called Strike, Called Strike, Ball, Ball, Foul, 1Chase Harris advances to 1st (single)",2,2,1,,,Ty Culbreth,
35,8,Vince Fernandez,TOP,"Called Strike, Foul, Ball, Foul, Foul, Ball, 8 Vince Fernandez putout (fly out to center field) forout number 3",2,2,,1,,Ty Culbreth,
36,16,Hunter Clanin,BOTTOM,"Ball, Ball, Ball, 16 Hunter Clanin advances to 1st(walk)",3,0,,,,,S Bates
37,0,Osvaldo Martinez,BOTTOM,"Ball, Called Strike, Foul, 16 Hunter Clanin putout(6-4) for out number 1, 0 Osvaldo Martinez putout(6-4-3 DP) for out number 2",1,2,,,1,,S Bates
38,5,Trevor Achenbach,BOTTOM,5 Trevor Achenbach putout (fly out to right field)for out number 3,0,0,,,1,,S Bates
39,4,Miguel Sierra,TOP,"Ball, Ball, Called Strike, 4 Miguel Sierra advances to 2nd (double)",2,1,1,,,Ty Culbreth,
40,7,Matt Lloyd,TOP,"Ball, Called Strike, 4 Miguel Sierra Scores Earned(7), 7 Matt Lloyd Scores Earned (home run)",1,1,1,,,Ty Culbreth,
41,24,Wilfredo Gimenez,TOP,"Ball, Ball, Ball, Called Strike, 24 Wilfredo Gimenez putout (fly out to right field) for out number1",3,1,,1,,Ty Culbreth,
42,18,Daniel Perez,TOP,"Ball, Ball, Called Strike, Foul, 18 Daniel Perez putout (strike out swinging) for out number 2",2,2,,1,,Ty Culbreth,
