Index,Number,Name,Inning,Description,Balls,Strikes,Hits,Out # TOP,Out # BOTTOM,Pitcher Top,Pitcher Bottom
43,15,Welington Dotel,TOP,"Ball, Ball, 15 Welington Dotel putout (6-3) for out number 1",2,0,,1,,Christian Johnson,
44,11,Jabari Henry,TOP,"Ball, Ball, 11 Jabari Henry putout (P4) for out number 2",2,0,,1,,Christian Johnson,
45,5,Trevor Achenbach,TOP,"Swinging Strike, Ball, Swinging Strike, Ball, 5 Trevor Achenbach putout (strike out swinging) for out number 3",2,2,,1,,Christian Johnson,
46,18,Daniel Perez,BOTTOM,"Called Strike, 18 Daniel Perez putout (6-3) for out number 1",0,1,,,1,,A Drury
47,33,Jake Ortega,BOTTOM,"Ball, Ball, Ball, 33 Jake Ortega advances to 1st (walk)",3,0,,,,,A Drury
48,1,Chase Harris,BOTTOM,"Ball, 33 Jake Ortega advances to 2nd (stolen base), Foul, 1 Chase Harris advances to 1st (single toright field), 33 Jake Ortega Scores Earned (1)",1,1,1,,,,N Gercken
49,17,Jake Sanford,BOTTOM,"Ball, Ball, 1 Chase Harris advances to 2nd (1), 1Chase Harris advances to 3rd (wild pitch), 17 JakeSanford advances to 1st (single to center field),1 Chase Harris Scores Earned (17)",2,0,1,,,,N Gercken
50,11,Delvin Zinn,BOTTOM,"Called Strike, 11 Delvin Zinn advances to 1st (single to left field), 17 Jake Sanford advances to 2nd (11)Pitching Substitution    27 Brady Stover subs for Christian Johnson Pitcher.",0,1,1,,,,C Diaz
51,37,Kyle Kasser,BOTTOM,"Called Strike, Ball, 37 Kyle Kasser putout (P6) for out number 2",1,1,,,1,,C Diaz
52,7,Matt Lloyd,BOTTOM,"Called Strike, Swinging Strike, Ball, 7 Matt Lloydputout (3u) for out number 3",1,2,,,1,,C Diaz
53,0,Osvaldo Martinez,TOP,"Ball, Called Strike, Ball, Called Strike, Ball, Foul, 0 Osvaldo Martinez advances to 1st (single tocenter field)Pitching Substitution    36 Nate Gercken subs for Austin Drury Pitcher.",3,2,1,,,Christian Johnson,
54,16,Hunter Clanin,TOP,"Ball, 0 Osvaldo Martinez advances to 2nd (balk), Ball, Called Strike, Ball, Called Strike, 16 HunterClanin putout (fly out to center field) for out number 1, 0 Osvaldo Martinez advances to 3rd (16)",3,2,,1,,Christian Johnson,
55,2,Marshall Rich,TOP,"Called Strike, Swinging Strike, Ball, Ball, Foul,2 Marshall Rich putout (dropped 3rd strike: KS 2-3) for out number 2Pitching Substitution    27 Carlos Diaz subs for Nate Gercken Pitcher.",2,2,,1,,Christian Johnson,
56,1,Wyatt Ulrich,TOP,"Ball, Ball, Called Strike, 1 Wyatt Ulrich advancesto 1st (single to left field), 0 Osvaldo MartinezScores Earned (1)",2,1,1,,,Christian Johnson,
57,21,Darnell Sweeney,TOP,"Called Strike, Pickoff attempt at 1st base (pitcher to first baseman), Ball, 1 Wyatt Ulrich advancesto 2nd (stolen base), Ball, 21 Darnell Sweeney Scores Earned (home run), 1 Wyatt Ulrich Scores Earned (21)",2,1,1,,,Brady Stover,
