Index,Number,Name,Inning,Description,Balls,Strikes,Hits,Out # TOP,Out # BOTTOM,Pitcher Top,Pitcher Bottom
1,11,Evan Alexander,TOP,"Ball, Called Strike, Swinging Strike, Ball, 11 Evan Alexander putout (3U) for out number 1",2,2,,1,,Ty Culbreth,
2,13,Manuel Boscan,TOP,"Ball, Foul, Swinging Strike, Foul, 13 Manuel Boscan putout (3U) for out number 2",1,2,,1,,Ty Culbreth,
3,22,Dillon Thomas,TOP,"Swinging Strike, Ball, Swinging Strike, 22 DillonThomas putout (strike out swinging) for out number3",1,2,,1,,Ty Culbreth,
4,21,Darnell Sweeney,BOTTOM,"Ball, 21 Darnell Sweeney putout (1-4-3) for out number 1",1,0,,,1,,T Grauer
5,1,Wyatt Ulrich,BOTTOM,"Called Strike, Swinging Strike, 1 Wyatt Ulrich putout (6-3) for out number 2",0,2,,,1,,T Grauer
6,15,Welington Dotel,BOTTOM,"Called Strike, Ball, 15 Welington Dotel putout (P4) for out number 3",1,1,,,1,,T Grauer
7,4,Leobaldo Pina,TOP,"Ball, Swinging Strike, Ball, Called Strike, 4 Leobaldo Pina Scores Earned (home run)",2,2,1,,,Ty Culbreth,
8,24,John Silviano,TOP,"Called Strike, Called Strike, Ball, 24 John Silviano advances to 2nd (double)",1,2,1,,,Ty Culbreth,
9,16,Correlle Prime,TOP,"Called Strike, Called Strike, Foul, Ball, 16 Correlle Prime advances to 1st (single), 24 John Silviano advances to 3rd (16)",1,2,1,,,Ty Culbreth,
10,2,Sam Dexter,TOP,"Called Strike, Foul, Foul, Foul, 16 Correlle Primeadvances to 2nd (2), 24 John Silviano Scores Earned (2), 2 Sam Dexter putout (sacrifice fly to leftfielder) for out number 1",0,2,,1,,Ty Culbreth,
11,14,B.J. Lopez,TOP,"Foul, Ball, Called Strike, 16 Correlle Prime Scores Earned (14), 14 B.J. Lopez Scores Earned (home run)",1,2,1,,,Ty Culbreth,
12,1,Alec Olund,TOP,"Called Strike, Ball, 1 Alec Olund advances to 1st(single)",1,1,1,,,Ty Culbreth,
13,11,Evan Alexander,TOP,"Ball, 11 Evan Alexander advances to 1st (single),1 Alec Olund advances to 2nd (11)",1,0,1,,,Ty Culbreth,
14,13,Manuel Boscan,TOP,"Ball, Foul, Ball, Ball, 13 Manuel Boscan advancesto 1st (walk), 11 Evan Alexander advances to 2nd (13), 1 Alec Olund advances to 3rd (13)",3,1,,,,Ty Culbreth,
15,22,Dillon Thomas,TOP,"22 Dillon Thomas advances to 1st (single), 13 Manuel Boscan advances to 2nd (22), 11 Evan Alexanderadvances to 3rd (22), 1 Alec Olund Scores Earned (22)",0,0,1,,,Ty Culbreth,
16,4,Leobaldo Pina,TOP,"Swinging Strike, Ball, 22 Dillon Thomas putout (4)for out number 2, 4 Leobaldo Pina putout (4-3 DP)for out number 3",1,1,,1,,Ty Culbreth,
17,20,Mike Hart,BOTTOM,"Called Strike, Ball, Called Strike, Ball, Ball, 20Mike Hart putout (strike out swinging) for out number 1",3,2,,,1,,T Grauer
18,11,Jabari Henry,BOTTOM,"Ball, Ball, Ball, Called Strike, 11 Jabari Henry advances to 1st (walk)",3,1,,,,,T Grauer
19,3,Jordan Barth,BOTTOM,"Called Strike, Ball, 3 Jordan Barth putout (fly out to center field) for out number 2",1,1,,,1,,T Grauer
20,5,Trevor Achenbach,BOTTOM,"Foul, Ball, 5 Trevor Achenbach putout (fly out toleft field) for out number 3",1,1,,,1,,T Grauer
