Index,Number,Name,Inning,Description,Balls,Strikes,Hits,Out # TOP,Out # BOTTOM,Pitcher Top,Pitcher Bottom
1,21,Darnell Sweeney,TOP,"Ball, Ball, Ball, Called Strike, Called Strike, 21Darnell Sweeney putout (strike out swinging) forout number 1",3,2,,1,,Z Matson,
2,1,Wyatt Ulrich,TOP,"Called Strike, Foul, 1 Wyatt Ulrich putout (4-3) for out number 2",0,2,,1,,Z Matson,
3,3,Jordan Barth,TOP,"Foul, Swinging Strike, 3 Jordan Barth putout (flyout to right field) for out number 3",0,2,,1,,Z Matson,
4,9,Odubel Herrera,BOTTOM,9 Odubel Herrera putout (5-3) for out number 1,0,0,,,1,,Akeem Bostick
5,6,Peter Maris,BOTTOM,"Ball, Ball, Foul, 6 Peter Maris putout (4-3) for out number 2",2,1,,,1,,Akeem Bostick
6,7,Chris Herrmann,BOTTOM,"Called Strike, 7 Chris Herrmann advances to 1st (single)",0,1,1,,,,Akeem Bostick
7,17,Gavin Collins,BOTTOM,"Ball, Ball, 17 Gavin Collins advances to 2nd (ground rule double), 7 Chris Herrmann advances to 3rd(17)",2,0,1,,,,Akeem Bostick
8,16,Brian OGrady,BOTTOM,"Ball, Ball, Ball, 16 Brian OGrady advances to 1st(walk)",3,0,,,,,Akeem Bostick
9,12,Aaron Whitefield,BOTTOM,"Called Strike, Ball, Ball, Ball, Foul, Foul, 12 Aaron Whitefield putout (strike out swinging) for out number 3",3,2,,,1,,Akeem Bostick
10,11,Jabari Henry,TOP,"Ball, Ball, Ball, 11 Jabari Henry advances to 1st(walk)",3,0,,,,Z Matson,
11,20,Mike Hart,TOP,20 Mike Hart putout (fly out to right field) for out number 1,0,0,,1,,Z Matson,
12,5,Trevor Achenbach,TOP,"Foul, Called Strike, 5 Trevor Achenbach putout (strike out swinging) for out number 2",0,2,,1,,Z Matson,
13,0,Osvaldo Martinez,TOP,"Called Strike, 0 Osvaldo Martinez putout (5-3) forout number 3",0,1,,1,,Z Matson,
14,47,Jacob Robson,BOTTOM,"Called Strike, Foul, 47 Jacob Robson putout (strike out swinging) for out number 1",0,2,,,1,,Akeem Bostick
15,1,Justin Wylie,BOTTOM,"Called Strike, Ball, 1 Justin Wylie advances to 2nd (double)",1,1,1,,,,Akeem Bostick
16,4,L.J. Hatch,BOTTOM,"Ball, Foul, Ball, Ball, 1 Justin Wylie advances to3rd ( CS 1E5), Foul, Foul, 4 L.J. Hatch advancesto 1st (single), 1 Justin Wylie Scores Unearned (4)",3,2,1,,,,Akeem Bostick
17,9,Odubel Herrera,BOTTOM,"Ball, Ball, 4 L.J. Hatch advances to 2nd (wild pitch), Ball, Called Strike, 4 L.J. Hatch advances to3rd (9), 9 Odubel Herrera putout (4-3) for out number 2",3,1,,,1,,Akeem Bostick
18,6,Peter Maris,BOTTOM,"Foul, Called Strike, Ball, Foul, Ball, Foul, 6 Peter Maris putout (strike out swinging) for out number 3",2,2,,,1,,Akeem Bostick
19,59,Spencer Sarringar,TOP,"Ball, Swinging Strike, Called Strike, Ball, 59 Spencer Sarringar putout (6-3) for out number 1",2,2,,1,,Z Matson,
20,2,Carson Clowers,TOP,"Foul, Ball, Foul, 2 Carson Clowers putout (P4) forout number 2",1,2,,1,,Z Matson,
21,21,Darnell Sweeney,TOP,"Ball, 21 Darnell Sweeney putout (fly out to centerfield) for out number 3",1,0,,1,,Z Matson,
22,7,Chris Herrmann,BOTTOM,"Called Strike, Swinging Strike, Ball, 7 Chris Herrmann putout (strike out) for out number 1",1,2,,,1,,Akeem Bostick
23,17,Gavin Collins,BOTTOM,"Foul, Foul, Foul, Ball, Ball, Foul, Foul, Ball, 17Gavin Collins advances to 1st (walk)",3,2,,,,,Akeem Bostick
