Index,Number,Name,Inning,Description,Balls,Strikes,Hits,Out # TOP,Out # BOTTOM
53,25,Curtis Terry,BOTTOM,"Ball, Called Strike, Called Strike, 25 Curtis Terry putout (6-3) for out number 3",1,2,,,1
54,11,Jabari Henry,TOP,"Ball, Foul, Called Strike, Ball, 11 Jabari Henry advances to 1st (single)",2,2,1,,
55,20,Mike Hart,TOP,"20 Mike Hart advances to 1st (single), 11 Jabari Henry advances to 2nd (20)",0,0,1,,
56,5,Trevor Achenbach,TOP,"Swinging Strike, 5 Trevor Achenbach advances to 1st (single), 20 Mike Hart advances to 2nd (5), 11 Jabari Henry advances to 3rd (5)",0,1,1,,
57,15,Welington Dotel,TOP,"Ball, Called Strike, Foul, 15 Welington Dotel putout (strike out swinging) for out number 1",1,2,,1,
58,35,Shamoy Christopher,TOP,"Ball, Swinging Strike, Ball, Ball, 35 Shamoy Christopher advances to 1st (walk), 5 Trevor Achenbachadvances to 2nd (35), 20 Mike Hart advances to 3rd(35), 11 Jabari Henry Scores Earned (35)",3,1,,,
59,0,Osvaldo Martinez,TOP,"Swinging Strike, Foul, 35 Shamoy Christopher putout (4) for out number 2, 0 Osvaldo Martinez putout(4-3 DP) for out number 3",0,2,,1,
60,15,Kevin Maitan,BOTTOM,"Ball, Ball, Foul, Foul, Ball, 15 Kevin Maitan putout (strike out) for out number 1",3,2,,,1
61,13,Brian Rey,BOTTOM,"Ball, Ball, 13 Brian Rey advances to 1st (single)",2,0,1,,
62,12,Dustin Woodcock,BOTTOM,"Ball, Called Strike, 12 Dustin Woodcock putout (fly out to center field) for out number 2",1,1,,,1
63,11,Jaxx Groshans,BOTTOM,"Ball, Called Strike, Ball, 11 Jaxx Groshans putout(fly out to center field) for out number 3",2,1,,,1
64,21,Darnell Sweeney,TOP,"Ball, Ball, Ball, 21 Darnell Sweeney advances to 1st (walk)",3,0,,,
65,1,Wyatt Ulrich,TOP,"Ball, Called Strike, Foul, 1 Wyatt Ulrich putout (fly out to left field) for out number 1",1,2,,1,
66,3,Jordan Barth,TOP,"Called Strike, Called Strike, Pickoff attempt at 1st base (catcher to first baseman), Foul, Foul, 21Darnell Sweeney putout (6) for out number 2, 3 Jordan Barth putout (6-3 DP) for out number 3",0,2,,1,
67,20,Blake Tiberi,BOTTOM,"Ball, 20 Blake Tiberi putout (fly out to left field) for out number 1",1,0,,,1
68,17,Thomas Jones,BOTTOM,"Ball, Foul, 17 Thomas Jones putout (6-3) for out number 2",1,1,,,1
69,7,Demetrius Sims,BOTTOM,"Ball, Ball, Called Strike, Called Strike, Ball, Foul, 7 Demetrius Sims putout (strike out swinging)for out number 3",3,2,,,1
70,11,Jabari Henry,TOP,11 Jabari Henry advances to 1st (single),0,0,1,,
71,20,Mike Hart,TOP,"Ball, Ball, Foul, Called Strike, 20 Mike Hart putout (strike out swinging) for out number 1",2,2,,1,
72,5,Trevor Achenbach,TOP,"Called Strike, Swinging Strike, 5 Trevor Achenbachputout (strike out swinging) for out number 2",0,2,,1,
73,15,Welington Dotel,TOP,"Swinging Strike, Foul, 15 Welington Dotel putout (strike out swinging) for out number 3",0,2,,1,
74,9,Marcus Chiu,BOTTOM,"Called Strike, Foul, Ball, 9 Marcus Chiu advancesto 1st (single)",1,2,1,,
75,25,Curtis Terry,BOTTOM,"Swinging Strike, Pickoff attempt at 1st base (pitcher to first baseman), Called Strike, 25 Curtis Terry putout (fly out to the second baseman) for outnumber 1",0,2,,,1
76,15,Kevin Maitan,BOTTOM,15 Kevin Maitan putout (fly out to center field) for out number 2,0,0,,,1
77,13,Brian Rey,BOTTOM,"Foul, Swinging Strike, Foul, 13 Brian Rey putout (fly out to left field) for out number 3",0,2,,,1
78,35,Shamoy Christopher,TOP,"Ball, 35 Shamoy Christopher putout (5-3) for out number 1",1,0,,1,
79,0,Osvaldo Martinez,TOP,"Ball, Ball, Called Strike, Ball, 0 Osvaldo Martinez putout (fly out to center field) for out number2",3,1,,1,
80,21,Darnell Sweeney,TOP,"Called Strike, Ball, Ball, Called Strike, Ball, 21Darnell Sweeney putout (strike out swinging) forout number 3",3,2,,1,
81,12,Dustin Woodcock,BOTTOM,"Ball, 12 Dustin Woodcock putout (3U) for out number 1",1,0,,,1
82,11,Jaxx Groshans,BOTTOM,"Foul, Foul, Ball, 11 Jaxx Groshans putout (L7) forout number 2",1,2,,,1
83,20,Blake Tiberi,BOTTOM,"Ball, Called Strike, Called Strike, 20 Blake Tiberi putout (fly out to left field) for out number 3",1,2,,,1
