Index,Number,Name,Inning,Description,Balls,Strikes,Hits,Out # TOP,Out # BOTTOM
1,21,Darnell Sweeney,TOP,"Foul, 21 Darnell Sweeney advances to 1st (hit by pitch)",0,1,,,
2,3,Jordan Barth,TOP,"Ball, Foul, 3 Jordan Barth advances to 2nd (doubleto center field), 21 Darnell Sweeney advances to3rd (3)",1,1,1,,
3,11,Jabari Henry,TOP,"Foul, Ball, Ball, Ball, Foul, 11 Jabari Henry advances to 1st (single to left field), 21 Darnell Sweeney Scores Earned (11), 3 Jordan Barth Scores Earned (11)",3,2,1,,
4,20,Mike Hart,TOP,"Called Strike, Called Strike, 20 Mike Hart putout(fly out to center field) for out number 1",0,2,,1,
5,15,Welington Dotel,TOP,"Called Strike, Ball, Ball, Called Strike, 15 Welington Dotel advances to 1st (single to left field),11 Jabari Henry advances to 2nd (15)",2,2,1,,
6,16,Hunter Clanin,TOP,"Called Strike, Ball, Ball, Swinging Strike, 16 Hunter Clanin putout (strike out swinging) for out number 2",2,2,,1,
7,5,Trevor Achenbach,TOP,"Ball, 5 Trevor Achenbach advances to 1st (hit by pitch), 15 Welington Dotel advances to 2nd (5), 11Jabari Henry advances to 3rd (5)",1,0,,,
8,33,Tyler Ryan,TOP,"Swinging Strike, Swinging Strike, Ball, 33 Tyler Ryan putout (strike out swinging) for out number 3",1,2,,1,
9,19,Matt Bottcher,BOTTOM,"Swinging Strike, 19 Matt Bottcher putout (fly outto left field) for out number 1",0,1,,,1
10,8,Taylor Jackson,BOTTOM,"Called Strike, 8 Taylor Jackson putout (1-3) for out number 2",0,1,,,1
11,16,Josh Altmann,BOTTOM,"Ball, Ball, Ball, Called Strike, 16 Josh Altmann putout (fly out to left field) for out number 3",3,1,,,1
12,2,Carson Clowers,TOP,"Ball, Called Strike, Swinging Strike, Ball, Ball,2 Carson Clowers putout (strike out swinging) forout number 1",3,2,,1,
13,21,Darnell Sweeney,TOP,"Ball, Foul, Ball, Swinging Strike, Ball, 21 Darnell Sweeney advances to 1st (single to left field)",3,2,1,,
14,3,Jordan Barth,TOP,"Foul, Ball, 21 Darnell Sweeney advances to 2nd (stolen base), Ball, Ball, 3 Jordan Barth advances to1st (single to center field), 21 Darnell Sweeneyadvances to 3rd (3)",3,1,1,,
15,11,Jabari Henry,TOP,"Foul, Ball, 3 Jordan Barth advances to 2nd (pass ball), Ball, Swinging Strike, 11 Jabari Henry putout (strike out swinging) for out number 2",2,2,,1,
16,20,Mike Hart,TOP,"Foul, 20 Mike Hart putout (fly out to left field)for out number 3",0,1,,1,
17,24,David Maberry,BOTTOM,"Foul, Swinging Strike, 24 David Maberry advances to 2nd (double to left field)",0,2,1,,
18,14,Jesus Lujano,BOTTOM,"Ball, Foul, Ball, Ball, 14 Jesus Lujano advances to 1st (fielder's choice), 24 David Maberry putout(1-5) for out number 1",3,1,,,1
19,6,Cody Bohanek,BOTTOM,"Ball, Ball, Ball, 6 Cody Bohanek advances to 1st (walk), 14 Jesus Lujano advances to 2nd (6)",3,0,,,
20,5,Luke Mangieri,BOTTOM,"Ball, Swinging Strike, Swinging Strike, Ball, Foul, Ball, 5 Luke Mangieri putout (strike out swinging) for out number 2",3,2,,,1
