Index,Number,Name,Inning,Description,Balls,Strikes,Hits,Out # TOP,Out # BOTTOM
1,21,Darnell Sweeney,TOP,"Foul, Foul, 21 Darnell Sweeney putout (strike outswinging) for out number 1",0,2,,1,
2,15,Welington Dotel,TOP,"Ball, Foul, Ball, Foul, Foul, Foul, 15 Welington Dotel putout (strike out) for out number 2",2,2,,1,
3,3,Jordan Barth,TOP,"Called Strike, Foul, Foul, 3 Jordan Barth putout (strike out swinging) for out number 3",0,2,,1,
4,1,Bryan Torres,BOTTOM,"Called Strike, 1 Bryan Torres putout (4-3) for outnumber 1",0,1,,,1
5,14,Cam Balego,BOTTOM,"Ball, Called Strike, Foul, 14 Cam Balego advancesto 3rd (triple to right field)",1,2,1,,
6,21,Gabriel Cancel,BOTTOM,"Called Strike, Foul, Foul, 14 Cam Balego Scores Earned (14), 21 Gabriel Cancel putout (6-3) for outnumber 2",0,2,,,1
7,13,Miguel Gomez,BOTTOM,"Ball, 13 Miguel Gomez putout (3U) for out number 3",1,0,,,1
8,20,Mike Hart,TOP,"Called Strike, Swinging Strike, 20 Mike Hart putout (strike out) for out number 1",0,2,,1,
9,11,Jabari Henry,TOP,"Called Strike, Called Strike, Ball, 11 Jabari Henry putout (fly out to left field) for out number 2",1,2,,1,
10,1,Wyatt Ulrich,TOP,"Ball, Ball, Ball, Called Strike, Foul, Foul, Foul,1 Wyatt Ulrich advances to 1st (single to first base)",3,2,1,,
11,16,Hunter Clanin,TOP,"Ball, Ball, Called Strike, Called Strike, Foul, Foul, Pickoff attempt at 1st base (pitcher to firstbaseman), Ball, 1 Wyatt Ulrich advances to 2nd (stolen base), 16 Hunter Clanin advances to 1st (walk)",3,2,,,
12,35,Shamoy Christopher,TOP,"Called Strike, 35 Shamoy Christopher putout (P6) for out number 3",0,1,,1,
13,5,Roy Morales,BOTTOM,"Ball, Ball, Called Strike, 5 Roy Morales putout (fly out to right field) for out number 1",2,1,,,1
14,26,Drew Ward,BOTTOM,"Ball, Ball, Foul, Ball, Foul, 26 Drew Ward putout(strike out) for out number 2",3,2,,,1
15,11,Aaron Hill,BOTTOM,"Ball, 11 Aaron Hill putout (fly out to left field)for out number 3",1,0,,,1
16,2,Carson Clowers,TOP,"Called Strike, 2 Carson Clowers putout (1-3) for out number 1",0,1,,1,
17,21,Darnell Sweeney,TOP,"Called Strike, Swinging Strike, Ball, 21 Darnell Sweeney putout (strike out) for out number 2",1,2,,1,
