Index,Number,Name,Inning,Description,Balls,Strikes,Hits,Out # TOP,Out # BOTTOM
1,1,Wyatt Ulrich,TOP,"Swinging Strike, Called Strike, 1 Wyatt Ulrich putout (6-3) for out number 1",0,2,,1,
2,21,Darnell Sweeney,TOP,"Ball, 21 Darnell Sweeney putout (1-3) for out number 2",1,0,,1,
3,15,Welington Dotel,TOP,"Foul, 15 Welington Dotel advances to 1st (single to center field)",0,1,1,,
4,11,Jabari Henry,TOP,"Ball, 15 Welington Dotel advances to 2nd (stolen base), Ball, Ball, 15 Welington Dotel putout (caught stealing: CS 2-5) for out number 3",3,0,,1,
5,8,Dayson Croes,BOTTOM,8 Dayson Croes advances to 2nd (double to left field),0,0,1,,
6,15,Keith Torres,BOTTOM,"Ball, Called Strike, Foul, Ball, Ball, 15 Keith Torres advances to 1st (walk), 8 Dayson Croes advances to 3rd (wild pitch)",3,2,,,
7,13,Max Murphy,BOTTOM,"Ball, Ball, 8 Dayson Croes Scores Earned (15), 15Keith Torres putout (6-4) for out number 1, 13 MaxMurphy putout (6-4-3 DP) for out number 2",2,0,,,1
8,20,Jacob Bockelie,BOTTOM,"Swinging Strike, Swinging Strike, 20 Jacob Bockelie putout (4-3) for out number 3",0,2,,,1
9,11,Jabari Henry,TOP,"Called Strike, Called Strike, Ball, Ball, Foul, Ball, 11 Jabari Henry putout (strike out swinging) for out number 1",3,2,,1,
10,20,Mike Hart,TOP,"Swinging Strike, Foul, Ball, 20 Mike Hart advancesto 1st (single to center field)",1,2,1,,
11,16,Hunter Clanin,TOP,"Called Strike, Swinging Strike, 16 Hunter Clanin putout (strike out swinging) for out number 2",0,2,,1,
12,3,Jordan Barth,TOP,"Called Strike, 3 Jordan Barth advances to 1st (single to shortstop), 20 Mike Hart advances to 2nd (3)",0,1,1,,
13,0,Osvaldo Martinez,TOP,"Ball, Foul, Ball, Ball, 0 Osvaldo Martinez putout(fly out to right field) for out number 3",3,1,,1,
14,39,Tommy McCarthy,BOTTOM,"Called Strike, Ball, 39 Tommy McCarthy putout (4-3) for out number 1",1,1,,,1
15,9,Jackson Smith,BOTTOM,"Ball, Ball, Foul, Called Strike, Foul, 9 Jackson Smith putout (strike out swinging) for out number 2",2,2,,,1
16,2,Tra Holmes,BOTTOM,"Called Strike, 2 Tra Holmes putout (P4) for out number 3",0,1,,,1
17,2,Marshall Rich,TOP,"Called Strike, Called Strike, Ball, Ball, Foul, Foul, 2 Marshall Rich putout (strike out) for out number 1",2,2,,1,
18,1,Wyatt Ulrich,TOP,"Called Strike, Ball, Swinging Strike, 1 Wyatt Ulrich putout (L1) for out number 2",1,2,,1,
19,21,Darnell Sweeney,TOP,"Ball, Swinging Strike, Ball, Ball, Swinging Strike, 21 Darnell Sweeney advances to 1st (walk)",3,2,,,
20,15,Welington Dotel,TOP,"Ball, Swinging Strike, 15 Welington Dotel putout (6-3) for out number 3",1,1,,1,
21,3,Javeyan Williams,BOTTOM,"Ball, 3 Javeyan Williams advances to 2nd (double to left field)",1,0,1,,
22,19,Brynn Martinez,BOTTOM,"Ball, 19 Brynn Martinez putout (FP5) for out number 1",1,0,,,1
23,8,Dayson Croes,BOTTOM,"Ball, Called Strike, Foul, 8 Dayson Croes advancesto 1st (single to left field), 3 Javeyan Williamsadvances to 3rd (8)",1,2,1,,
24,15,Keith Torres,BOTTOM,"Called Strike, Foul, Ball, Ball, Ball, 8 Dayson Croes advances to 2nd (15), 3 Javeyan Williams Scores Earned (15), 15 Keith Torres putout (4-3) for out number 2",3,2,,,1
25,13,Max Murphy,BOTTOM,"Called Strike, Foul, 13 Max Murphy putout (strikeout) for out number 3",0,2,,,1
26,11,Jabari Henry,TOP,"Ball, Called Strike, Foul, 11 Jabari Henry putout(strike out) for out number 1",1,2,,1,
27,20,Mike Hart,TOP,"Called Strike, 20 Mike Hart advances to 1st (single to left field)",0,1,1,,
28,16,Hunter Clanin,TOP,"Foul, Called Strike, Ball, Foul, Ball, 16 Hunter Clanin putout (strike out swinging) for out number2",2,2,,1,
29,3,Jordan Barth,TOP,"Called Strike, Foul, Foul, Ball, 3 Jordan Barth putout (P9) for out number 3",1,2,,1,
30,20,Jacob Bockelie,BOTTOM,"Ball, Ball, Ball, 20 Jacob Bockelie advances to 1st (walk)",3,0,,,
31,39,Tommy McCarthy,BOTTOM,"Ball, Ball, Ball, 39 Tommy McCarthy advances to 1st (walk), 20 Jacob Bockelie advances to 2nd (39)",3,0,,,
32,9,Jackson Smith,BOTTOM,"Called Strike, Foul, 9 Jackson Smith putout (strike out swinging) for out number 1",0,2,,,1
33,2,Tra Holmes,BOTTOM,"Ball, 39 Tommy McCarthy putout (5-4) for out number 2, 2 Tra Holmes putout (5-4-3 DP) for out number3",1,0,,,1
34,0,Osvaldo Martinez,TOP,"Called Strike, 0 Osvaldo Martinez putout (P5) forout number 1",0,1,,1,
35,2,Marshall Rich,TOP,"Ball, 2 Marshall Rich putout (4-3) for out number2",1,0,,1,
36,1,Wyatt Ulrich,TOP,"Ball, Called Strike, Called Strike, Foul, Ball, Foul, 1 Wyatt Ulrich putout (4-3) for out number 3",2,2,,1,
37,3,Javeyan Williams,BOTTOM,"Called Strike, Called Strike, 3 Javeyan Williams putout (strike out) for out number 1",0,2,,,1
38,19,Brynn Martinez,BOTTOM,"Foul, Swinging Strike, 19 Brynn Martinez advancesto 1st (single to left field)",0,2,1,,
